ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu
POOL-00042392,"InChI=1S/C10H7NO2/c12-9-6-5-7-3-1-2-4-8(7)10(9)11-13/h1-6,12H",O=Nc1c(O)ccc2ccccc12,465.4314410863231,False,"['131-91-9', '2636-79-5']",1.8460732897
POOL-00011956,"InChI=1S/C9H6N2O/c12-6-11-9-5-10-8-4-2-1-3-7(8)9/h1-5,10H",O=C=Nc1c[nH]c2ccccc12,452.2514042637,False,['57778-78-6'],1.8480074919
POOL-00008771,"InChI=1S/C8H5BrN2O2/c9-4-1-2-5-6(3-4)10-11-7(5)8(12)13/h1-3H,(H,10,11)(H,12,13)",O=C(O)c1n[nH]c2cc(Br)ccc12,477.94880433128606,False,['660823-36-9'],1.8791461179
POOL-00007522,"InChI=1S/C9H6N2O3/c12-5-7-3-6-4-8(11(13)14)1-2-9(6)10-7/h1-5,10H",O=Cc1cc2cc([N+](=O)[O-])ccc2[nH]1,515.7514657886744,False,['41019-02-7'],1.8529604523
POOL-00008780,"InChI=1S/C8H5BrN2O2/c9-4-1-5(8(12)13)6-3-10-11-7(6)2-4/h1-3H,(H,10,11)(H,12,13)",O=C(O)c1cc(Br)cc2[nH]ncc12,477.94880433128606,False,['885523-08-0'],1.8684877339
POOL-00041045,"InChI=1S/C10H7NO2/c12-10(13)8-5-7-3-1-2-4-9(7)11-6-8/h1-6H,(H,12,13)",O=C(O)c1cnc2ccccc2c1,465.18632858848656,False,['6480-68-8'],1.8433205351
POOL-00010870,"InChI=1S/C7H4N2O2S/c10-7(11)4-2-1-3-5-6(4)12-9-8-5/h1-3H,(H,10,11)",O=C(O)c1cccc2nnsc12,437.653925895611,False,['35272-27-6'],1.840442335
POOL-00007469,"InChI=1S/C9H6N2O3/c12-7(9(13)14)6-4-11-8-5(6)2-1-3-10-8/h1-4H,(H,10,11)(H,13,14)",O=C(O)C(=O)c1c[nH]c2ncccc12,515.506353290838,False,['478677-93-9'],1.8862195967
POOL-00035814,"InChI=1S/C8H5NO2S/c10-8(11)7-5-3-1-2-4-6(5)12-9-7/h1-4H,(H,10,11)",O=C(O)c1nsc2ccccc12,435.3054103500143,False,['40991-34-2'],1.827691252
POOL-00025518,"InChI=1S/C9H7BrN2/c10-6-1-2-9-7(5-6)8(11)3-4-12-9/h1-5H,(H2,11,12)",Nc1ccnc2ccc(Br)cc12,425.7980911891212,False,['65340-73-0'],1.8537933256
POOL-00043200,"InChI=1S/C8H5NO3/c10-7-5-3-1-2-4-6(5)12-8(11)9-7/h1-4H,(H,9,10,11)",O=c1nc(O)c2ccccc2o1,474.9318217953659,False,['2037-95-8'],1.8346273199
POOL-00025145,"InChI=1S/C7H4N2O2S/c10-7(11)4-1-2-6-5(3-4)8-9-12-6/h1-3H,(H,10,11)",O=C(O)c1ccc2snnc2c1,437.653925895611,False,['192948-09-7'],1.8341426398
POOL-00033479,"InChI=1S/C10H7NO2/c12-6-7-3-4-9(13)10-8(7)2-1-5-11-10/h1-6,13H",O=Cc1ccc(O)c2ncccc12,465.4314410863231,False,['2598-30-3'],1.8417493406
POOL-00041211,"InChI=1S/C10H7NO2/c12-10(13)8-3-4-9-7(6-8)2-1-5-11-9/h1-6H,(H,12,13)",O=C(O)c1ccc2ncccc2c1,465.18632858848656,False,['10349-57-2'],1.8524484035
POOL-00019611,"InChI=1S/C9H8N2O/c10-8-5-4-6-2-1-3-7(12)9(6)11-8/h1-5,12H,(H2,10,11)",N=c1ccc2cccc(O)c2[nH]1,473.15738428454847,False,['70125-16-5'],1.8713638296
POOL-00025792,"InChI=1S/C9H5BrN2O2/c10-6-4-11-3-5-1-2-7(9(13)14)12-8(5)6/h1-4H,(H,13,14)",O=C(O)c1ccc2cncc(Br)c2n1,513.13815563933,False,['197507-55-4'],1.8716448648
POOL-00014848,"InChI=1S/C8H5NO2S/c10-8(11)6-4-5-2-1-3-9-7(5)12-6/h1-4H,(H,10,11)",O=C(O)c1cc2cccnc2s1,402.3054103500143,False,['59944-76-2'],1.8308277366
POOL-00005397,"InChI=1S/C8H5BrN2O2/c9-5-3-1-2-4-6(5)10-11-7(4)8(12)13/h1-3H,(H,10,11)(H,12,13)",O=C(O)c1n[nH]c2c(Br)cccc12,477.94880433128606,False,['885278-71-7'],1.8615530041
POOL-00025144,"InChI=1S/C7H4N2O3/c10-7(11)4-1-2-5-6(3-4)9-12-8-5/h1-3H,(H,10,11)",O=C(O)c1ccc2nonc2c1,434.89903839344754,False,['19155-88-5'],1.8329457023
POOL-00005554,"InChI=1S/C9H6N2O3/c12-5-6-8(9(13)14)10-7-3-1-2-4-11(6)7/h1-5H,(H,13,14)",O=Cc1c(C(=O)O)nc2ccccn12,515.7514657886744,False,['1019111-51-3'],1.8389002082
POOL-00009496,"InChI=1S/C7H4F2N2S/c8-3-1-2-4(9)6-5(3)11-7(10)12-6/h1-2H,(H2,10,11)",N=c1[nH]c2c(F)ccc(F)c2s1,443.60229983295,False,['942473-94-1'],1.8551245229
POOL-00000479,"InChI=1S/C6H3BrN2OS/c7-3-1-11-5-4(3)8-2-9-6(5)10/h1-2H,(H,8,9,10)",Oc1ncnc2c(Br)csc12,400.3816551977199,False,['31169-25-2'],1.8223102577
POOL-00040210,"InChI=1S/C9H7NO2/c10-7-5-6-3-1-2-4-8(6)12-9(7)11/h1-5H,10H2",Nc1cc2ccccc2oc1=O,473.15738428454847,False,['1635-31-0'],1.8601153451
POOL-00042587,"InChI=1S/C8H5NO3/c10-7-5-3-1-2-4-6(5)8(11)9(7)12/h1-4,12H",O=C1c2ccccc2C(=O)N1O,337.32065170154243,False,"['524-38-9', '3229-40-1']",1.8456223089
POOL-00009088,"InChI=1S/C8H5NO3S/c10-7(11)4-1-2-5-6(3-4)13-8(12)9-5/h1-3H,(H,9,12)(H,10,11)",O=C(O)c1ccc2nc(O)sc2c1,477.1939168291226,False,['99615-68-6'],1.8901451228
POOL-00007108,"InChI=1S/C8H5NO3/c10-8(11)7-9-5-3-1-2-4-6(5)12-7/h1-4H,(H,10,11)",O=C(O)c1nc2ccccc2o1,399.5505228478508,False,['21598-08-3'],1.8107457271
POOL-00033300,"InChI=1S/C10H7NO2/c12-6-8-4-3-7-2-1-5-11-9(7)10(8)13/h1-6,13H",O=Cc1ccc2cccnc2c1O,465.4314410863231,False,['5683-78-3'],1.8484667101
POOL-00027758,"InChI=1S/C7H5BrN2S/c8-4-2-1-3-5-6(4)10-7(9)11-5/h1-3H,(H2,9,10)",N=c1[nH]c2c(Br)cccc2s1,442.88245407860506,False,['20358-02-5'],1.8371374088
POOL-00013025,"InChI=1S/C6H3BrN2O2/c7-3-1-4-5(8-2-3)9-6(10)11-4/h1-2H,(H,8,9,10)",Oc1nc2ncc(Br)cc2o1,398.3816551977199,False,['21594-52-5'],1.8307834567
POOL-00007754,"InChI=1S/C7H4BrNO2S/c8-3-2-12-5-1-4(7(10)11)9-6(3)5/h1-2,9H,(H,10,11)",O=C(O)c1cc2scc(Br)c2[nH]1,445.13180607185245,False,['332099-36-2'],1.8765133768
POOL-00000028,"InChI=1S/C9H6N2O3/c12-8-5-3-1-2-4-6(5)10-7(11-8)9(13)14/h1-4H,(H,13,14)(H,10,11,12)",O=C(O)c1nc(=O)c2ccccc2[nH]1,559.2307765753221,False,['29113-34-6'],1.8808410457
POOL-00014053,"InChI=1S/C8H5NO4/c10-7(11)4-1-2-6-5(3-4)9-8(12)13-6/h1-3H,(H,9,12)(H,10,11)",O=C(O)c1ccc2oc(O)nc2c1,473.94880433128606,False,['65422-72-2'],1.8758094623
POOL-00007559,"InChI=1S/C8H5NO2S/c10-8(11)7-4-5-6(12-7)2-1-3-9-5/h1-4H,(H,10,11)",O=C(O)c1cc2ncccc2s1,402.3054103500143,False,['347187-30-8'],1.8384450293
POOL-00011907,"InChI=1S/C6H3BrN2OS/c7-4-1-3-5(10)8-2-9-6(3)11-4/h1-2H,(H,8,9,10)",Oc1ncnc2sc(Br)cc12,400.3816551977199,False,['56844-40-7'],1.8222841673
POOL-00003814,"InChI=1S/C7H4BrFN2/c8-4-1-6-7(2-5(4)9)11-3-10-6/h1-3H,(H,10,11)",Fc1cc2[nH]cnc2cc1Br,360.2399457476436,False,['1008360-84-6'],1.8511309688
POOL-00013096,"InChI=1S/C7H5BrN2S/c8-4-1-2-6-5(3-4)10-7(9)11-6/h1-3H,(H2,9,10)",N=c1[nH]c2cc(Br)ccc2s1,442.88245407860506,False,['20358-03-6'],1.8433670945
POOL-00041995,"InChI=1S/C8H4N2O4/c11-7-5-2-1-4(10(13)14)3-6(5)8(12)9-7/h1-3H,(H,9,11,12)",O=C1N=C(O)c2ccc([N+](=O)[O-])cc21,478.2296653213732,False,['89-40-7'],1.8383630039
POOL-00012101,"InChI=1S/C7H4FNOS/c8-4-2-1-3-5-6(4)9-7(10)11-5/h1-3H,(H,9,10)",Oc1nc2c(F)cccc2s1,398.2399457476436,False,['63754-97-2'],1.824078573
POOL-00000109,"InChI=1S/C9H7NO/c11-8-4-3-7-2-1-5-10-9(7)6-8/h1-6,11H",Oc1ccc2cccnc2c1,383.9744463345712,False,['580-20-1'],1.8371301835
POOL-00043706,"InChI=1S/C7H6N2OS/c8-7-9-6-4(10)2-1-3-5(6)11-7/h1-3,10H,(H2,8,9)",N=c1[nH]c2c(O)cccc2s1,442.88245407860506,False,['7471-03-6'],1.8578540829
POOL-00034757,"InChI=1S/C8H6N2O2S/c9-5-4-2-1-3-10-7(4)13-6(5)8(11)12/h1-3H,9H2,(H,11,12)",Nc1c(C(=O)O)sc2ncccc12,477.94880433128606,False,['58327-75-6'],1.8957234235
POOL-00014853,"InChI=1S/C7H4N2O2S/c10-7(11)5-3-4-6(12-5)9-2-1-8-4/h1-3H,(H,10,11)",O=C(O)c1cc2nccnc2s1,404.653925895611,False,['59944-79-5'],1.8481145926
POOL-00019803,"InChI=1S/C8H4N2O4/c11-7-4-2-1-3-5(10(13)14)6(4)9-8(7)12/h1-3H,(H,9,11,12)",O=C1Nc2c(cccc2[N+](=O)[O-])C1=O,466.40912554155096,False,['112656-95-8'],1.8463441792
POOL-00028710,"InChI=1S/C8H6N2O3/c11-7(12)4-1-2-5-6(3-4)10-8(13)9-5/h1-3H,(H,11,12)(H2,9,10,13)",O=C(O)c1ccc2nc(O)[nH]c2c1,475.1939168291226,False,['23814-14-4'],1.9099835767
POOL-00003523,"InChI=1S/C8H5BrN2O2/c9-7-2-4-1-5(8(12)13)11-6(4)3-10-7/h1-3,11H,(H,12,13)",O=C(O)c1cc2cc(Br)ncc2[nH]1,477.94880433128606,False,['800401-71-2'],1.8740826351
POOL-00024064,"InChI=1S/C10H8N2O2/c11-9-5-7(10(13)14)6-3-1-2-4-8(6)12-9/h1-5H,(H2,11,12)(H,13,14)",N=c1cc(C(=O)O)c2ccccc2[nH]1,557.2957081415927,False,['157915-68-9'],1.9042547199
POOL-00037680,"InChI=1S/C7H4BrNOS/c8-4-1-2-5-6(3-4)11-7(10)9-5/h1-3H,(H,9,10)",Oc1nc2ccc(Br)cc2s1,398.2399457476436,False,['62266-82-4'],1.8284135579
POOL-00031170,"InChI=1S/C9H8N2O2/c10-7-5-3-1-2-4-6(5)13-8(7)9(11)12/h1-4H,10H2,(H2,11,12)",N=C(O)c1oc2ccccc2c1N,473.41947931830526,False,['54802-10-7'],1.8810356962
POOL-00035124,"InChI=1S/C8H6N2O2/c11-8-10-9-7(12-8)6-4-2-1-3-5-6/h1-5H,(H,10,11)",Oc1nnc(-c2ccccc2)o1,369.55670264906746,False,['1199-02-6'],1.8423042933
POOL-00012512,"InChI=1S/C8H6N2O2/c11-8-5-9-6(4-10-8)7-2-1-3-12-7/h1-5H,(H,10,11)",O=c1cnc(-c2ccco2)c[nH]1,396.3778335464831,False,['82619-62-3'],1.8494232089
POOL-00019755,"InChI=1S/C8H3BrN2O4/c9-5-1-3-4(2-6(5)11(14)15)8(13)10-7(3)12/h1-2H,(H,10,12,13)",O=C1N=C(O)c2cc(Br)c([N+](=O)[O-])cc21,523.618108856794,False,['64823-14-9'],1.8732353548
POOL-00009631,"InChI=1S/C8H7BrN2/c9-7-4-6(10)3-5-1-2-11-8(5)7/h1-4,11H,10H2",Nc1cc(Br)c2[nH]ccc2c1,391.8914302020468,False,['196205-07-9'],1.8577896852
POOL-00010707,"InChI=1S/C7H4FNOS/c8-4-1-2-6-5(3-4)9-7(11)10-6/h1-3H,(H,9,11)",Fc1ccc2oc(S)nc2c1,398.2399457476436,False,['13451-78-0'],1.8478220733
POOL-00032160,"InChI=1S/C9H7NOS/c11-9-10-8(6-12-9)7-4-2-1-3-5-7/h1-6H,(H,10,11)",Oc1nc(-c2ccccc2)cs1,369.0273776360866,False,['3884-31-9'],1.849822447
POOL-00029295,"InChI=1S/C7H6N2S2/c8-4-1-2-5-6(3-4)11-7(10)9-5/h1-3H,8H2,(H,9,10)",Nc1ccc2nc(S)sc2c1,394.2399457476436,False,['7442-07-1'],1.8844467694
POOL-00022520,"InChI=1S/C12H10N2O/c15-11-7-13-9-5-1-3-8-4-2-6-10(14-11)12(8)9/h1-6,13H,7H2,(H,14,15)",OC1=Nc2cccc3cccc(c23)NC1,555.3007166092971,False,['198069-22-6'],1.9392529885
,,,,,,
POOL-00034019,"InChI=1S/C14H10FNO3/c15-11-7-3-4-8-12(11)16-13(17)9-5-1-2-6-10(9)14(18)19/h1-8H,(H,16,17)(H,18,19)",O=C(O)c1ccccc1C(O)=Nc1ccccc1F,652.6442659022198,False,['19336-75-5'],1.9212741362
POOL-00028552,"InChI=1S/C15H13NO3/c1-10-6-2-5-9-13(10)16-14(17)11-7-3-4-8-12(11)15(18)19/h2-9H,1H3,(H,16,17)(H,18,19)",Cc1ccccc1N=C(O)c1ccccc1C(=O)O,647.3438758768984,False,['19336-68-6'],1.9301996493
POOL-00041377,"InChI=1S/C14H13NO2/c1-10-5-4-6-11(9-10)15-13-8-3-2-7-12(13)14(16)17/h2-9,15H,1H3,(H,16,17)",Cc1cccc(Nc2ccccc2C(=O)O)c1,549.4234028495392,False,['16524-22-4'],1.9389918939
POOL-00003817,"InChI=1S/C15H13NO3/c1-16-14(17)11-6-4-5-10(9-11)12-7-2-3-8-13(12)15(18)19/h2-9H,1H3,(H,16,17)(H,18,19)",CN=C(O)c1cccc(-c2ccccc2C(=O)O)c1,647.3438758768984,False,['1261941-21-2'],1.9210500912
POOL-00036781,"InChI=1S/C13H10FNO2/c14-9-5-7-10(8-6-9)15-12-4-2-1-3-11(12)13(16)17/h1-8,15H,(H,16,17)",O=C(O)c1ccccc1Nc1ccc(F)cc1,537.3706554225115,False,['54-60-4'],1.868806503
POOL-00012024,"InChI=1S/C12H8BrNO3/c13-8-3-5-9(6-4-8)17-11-10(12(15)16)2-1-7-14-11/h1-7H,(H,15,16)",O=C(O)c1cccnc1Oc1ccc(Br)cc1,539.7019342475284,False,['61532-37-4'],1.8900157949
POOL-00040036,"InChI=1S/C14H11NO3/c15-12-8-4-3-7-11(12)13(16)9-5-1-2-6-10(9)14(17)18/h1-8H,15H2,(H,17,18)",Nc1ccccc1C(=O)c1ccccc1C(=O)O,619.9410984790119,False,['1147-43-9'],1.973019705
POOL-00023418,"InChI=1S/C13H11NO4/c1-8-6-7-18-11(8)12(15)14-10-5-3-2-4-9(10)13(16)17/h2-7H,1H3,(H,14,15)(H,16,17)",Cc1ccoc1C(O)=Nc1ccccc1C(=O)O,612.958734546807,False,['424809-74-5'],1.9720606057
POOL-00006583,"InChI=1S/C13H11NO3/c15-12-8-11(13(16)17)6-7-14(12)9-10-4-2-1-3-5-10/h1-8H,9H2,(H,16,17)",O=C(O)c1ccn(Cc2ccccc2)c(=O)c1,587.1136120609381,False,['63987-74-6'],1.9215384229
POOL-00012700,"InChI=1S/C14H10F3NO/c15-14(16,17)10-6-7-12(18)11(8-10)13(19)9-4-2-1-3-5-9/h1-8H,18H2",Nc1ccc(C(F)(F)F)cc1C(=O)c1ccccc1,605.8332962041515,False,['732-34-3'],1.9560764401
POOL-00011500,"InChI=1S/C13H9NO3/c15-8-9-1-3-10(4-2-9)12-7-11(13(16)17)5-6-14-12/h1-8H,(H,16,17)",O=Cc1ccc(-c2cc(C(=O)O)ccn2)cc1,561.1321875173595,False,['566198-32-1'],1.918488851
POOL-00034661,"InChI=1S/C14H13NO3/c1-9-7-12(8-16)10(2)15(9)13-5-3-11(4-6-13)14(17)18/h3-8H,1-2H3,(H,17,18)",Cc1cc(C=O)c(C)n1-c1ccc(C(=O)O)cc1,608.7144961180746,False,['52034-38-5'],1.7625592937
POOL-00010411,"InChI=1S/C12H7BrFNO3/c13-9-6-7(14)3-4-10(9)18-11-8(12(16)17)2-1-5-15-11/h1-6H,(H,16,17)",O=C(O)c1cccnc1Oc1ccc(F)cc1Br,603.626436257062,False,['954563-46-3'],1.9380311816
POOL-00008583,"InChI=1S/C12H12F3NO3/c13-12(14,15)8-1-2-10(9(7-8)11(17)18)16-3-5-19-6-4-16/h1-2,7H,3-6H2,(H,17,18)",O=C(O)c1cc(C(F)(F)F)ccc1N1CCOCC1,481.5982191506872,False,['865471-20-1'],1.8201260296
POOL-00009758,"InChI=1S/C13H11NO3/c1-9-7-8-11(13(15)16)12(14-9)17-10-5-3-2-4-6-10/h2-8H,1H3,(H,15,16)",Cc1ccc(C(=O)O)c(Oc2ccccc2)n1,537.6157679203478,False,['54530-64-2'],1.9004785211
POOL-00027295,"InChI=1S/C13H11NO3/c1-8-4-2-3-5-10(8)12(15)9-6-11(13(16)17)14-7-9/h2-7,14H,1H3,(H,16,17)",Cc1ccccc1C(=O)c1c[nH]c(C(=O)O)c1,583.8554403208668,False,['478249-40-0'],1.8280772433
POOL-00011889,"InChI=1S/C12H8FNO3/c13-8-3-1-4-9(7-8)17-11-10(12(15)16)5-2-6-14-11/h1-7H,(H,15,16)",O=C(O)c1cccnc1Oc1cccc(F)c1,556.9519342475284,False,['54629-12-8'],1.941056149
POOL-00040920,"InChI=1S/C12H11NO3S/c14-11-8-6-10(7-9-11)13-17(15,16)12-4-2-1-3-5-12/h1-9,13-14H",O=S(=O)(Nc1ccc(O)cc1)c1ccccc1,591.4076847446767,False,['5471-90-9'],1.8476889302
POOL-00027188,"InChI=1S/C12H9NO4S/c1-17-11(15)8-4-2-7(3-5-8)6-9-10(14)13-12(16)18-9/h2-6H,1H3,(H,13,14,16)",COC(=O)c1ccc(C=C2SC(=O)N=C2O)cc1,559.9450719680672,False,['199167-77-6'],1.8634961451
POOL-00030795,"InChI=1S/C14H13NO2/c1-10-4-2-3-5-13(10)14(17)15-11-6-8-12(16)9-7-11/h2-9,16H,1H3,(H,15,17)",Cc1ccccc1C(=O)Nc1ccc(O)cc1,532.1734028495391,False,['22978-52-5'],1.9191119258
POOL-00025982,"InChI=1S/C13H10BrNO3/c14-11-6-10(13(17)18)8-15(12(11)16)7-9-4-2-1-3-5-9/h1-6,8H,7H2,(H,17,18)",O=C(O)c1cc(Br)c(=O)n(Cc2ccccc2)c1,634.4297707413987,False,['886361-76-8'],1.8846991229
POOL-00037757,"InChI=1S/C13H10N2O3/c16-12(9-4-3-7-14-8-9)15-11-6-2-1-5-10(11)13(17)18/h1-8H,(H,15,16)(H,17,18)",O=C(O)c1ccccc1N=C(O)c1cccnc1,594.1951687899709,False,['6188-02-9'],1.8536318792
POOL-00031878,"InChI=1S/C14H12N2O3/c1-9-6-7-15-12(8-9)16-13(17)10-4-2-3-5-11(10)14(18)19/h2-8H,1H3,(H,18,19)(H,15,16,17)",Cc1ccnc(N=C(O)c2ccccc2C(=O)O)c1,650.6442659022198,False,['200417-47-6'],1.9041952413
POOL-00029402,"InChI=1S/C14H13NO2/c16-14(17)10-11-6-4-5-9-13(11)15-12-7-2-1-3-8-12/h1-9,15H,10H2,(H,16,17)",O=C(O)Cc1ccccc1Nc1ccccc1,508.6404762859226,False,['70172-33-7'],1.8893197856
