,Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
25,C4,427.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
26,E4,430.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
27,G4,424.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
28,B4,278.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
29,D4,378.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
30,F4,387.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
31,H4,332.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
32,A5,316.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
33,C5,358.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
34,E5,394.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
35,G5,229.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
36,B5,298.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
37,D5,255.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
38,F5,369.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
39,H5,346.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
40,A6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
41,C6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
42,E6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
43,G6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
44,B6,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
45,D6,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
46,F6,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
47,H6,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
48,A7,445.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
49,C7,422.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
50,E7,433.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
51,G7,410.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
52,B7,324.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,50,Symyx_96_well_0003,,,,,,,
53,D7,331.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,50,Symyx_96_well_0003,,,,,,,
54,F7,288.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,50,Symyx_96_well_0003,,,,,,,
55,H7,300.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,50,Symyx_96_well_0003,,,,,,,
56,A8,361.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,50,Symyx_96_well_0003,,,,,,,
57,C8,251.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,50,Symyx_96_well_0003,,,,,,,
58,E8,348.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,50,Symyx_96_well_0003,,,,,,,
59,G8,397.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,50,Symyx_96_well_0003,,,,,,,
60,B8,355.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,50,Symyx_96_well_0003,,,,,,,
61,D8,312.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,50,Symyx_96_well_0003,,,,,,,
