'0415_LS003_wellLabel','0415_LS003_wallTag','0415_LS003_PL_pos','0415_LS003_PL_pos_s','0415_LS003_PL_FWHM','0415_LS003_PL_FWHM_s','0415_LS003_PL_height','0415_LS003_PL_height_s','0415_LS003_PL_area','0415_LS003_PL_area_s','0415_LS003_PL_sum','0415_LS003_PL_OD390','0415_LS003_PL_sum/OD390','0415_LS003_PL_ref','0415_LS003_PL_FOM'
A1,1,509.913,0.128804,21.6501,0.464991,4634.99,268.143,157626,6983.71,56057,1.63579,34269.1,35733.2,0.932162
A2,1,509.946,0.130694,21.874,0.473107,4672.79,272.396,160555,7170.86,56996,1.56554,36406.7,35098.1,0.990307
A3,1,509.931,0.129729,21.8103,0.469244,4821.14,279.515,165170,7335.97,58723,1.51864,38668.2,34828.9,1.05182
A4,1,509.953,0.12882,21.7595,0.465681,4942.51,285.002,168934,7461.88,60063,1.58846,37812.1,37483.1,1.02854
A5,1,510.047,0.133378,21.7671,0.482245,4858.94,290.057,166135,7597.03,58823,1.61751,36366.4,36660.2,0.989212
A6,3,510.148,0.13388,21.8137,0.484382,4855.3,290.542,166366,7626.75,58759,1.64438,35733.2,36458.3,0.971987
A7,1,509.996,0.129579,21.9018,0.46925,4781.48,276.13,164499,7278.82,58431,1.58503,36864.4,39210.4,1.00276
A8,1,509.906,0.131849,21.597,0.475678,6048.07,358.762,205178,9320.05,72628,1.6291,44581.7,38632.2,1.21268
A9,1,509.885,0.132534,21.5893,0.478096,5984.28,356.902,202941,9268.25,71859,1.56968,45779.3,,1.24525
A10,1,509.784,0.136537,21.5267,0.492114,6096.05,375.25,206132,9715.24,72875,1.54573,47145.9,,1.28243
A11,1,509.749,0.135664,21.5979,0.48937,6280.36,383.243,213066,9956.28,75211,1.6141,46596.1,,1.26747
A12,3,510.1,0.134831,21.7886,0.487652,4859.43,293.067,166316,7683.82,58729,1.67328,35098.1,,0.954712
B1,1,509.834,0.13177,21.7798,0.476407,4746.56,279.758,162387,7331.58,57665,1.56423,36864.8,,1.00277
B2,1,509.941,0.13081,21.8991,0.473667,4798.09,279.728,165050,7372.68,58579,1.52772,38344.1,,1.04301
B3,1,509.977,0.130734,21.8354,0.473045,4925.73,287.581,168948,7556.77,60024,1.58161,37951.1,,1.03232
B4,1,510.014,0.133684,21.7582,0.483284,4900.36,293.271,167483,7677.94,59272,1.57437,37648.2,,1.02408
B5,1,510.097,0.134816,21.7385,0.4873,4924.59,297.428,168159,7779.48,59498,1.58945,37433,,1.01822
B6,2,,,,,,,,,,,,,
B7,1,509.948,0.134857,21.7431,0.487406,5421.94,327.466,185181,8566.92,65341,1.61631,40426.1,,1.09964
B8,1,509.959,0.133718,21.6312,0.482643,5774.99,347.065,196224,9031.04,69353,1.5964,43443.5,,1.18171
B9,1,509.893,0.136349,21.6962,0.492493,6199.35,379.093,211276,9895.27,74477,1.62613,45800.1,,1.24582
B10,1,509.777,0.133101,21.5109,0.479635,6342.87,380.806,214320,9851.55,75807,1.59139,47635.8,,1.29575
B11,1,509.738,0.13742,21.597,0.495695,6696.27,413.919,227168,10752.8,80139,1.62709,49253,,1.33974
B12,2,,,,,,,,,,,,,
C1,1,509.902,0.131347,21.7929,0.474983,4603.3,270.351,157581,7089.57,55854,1.5752,35458.3,,0.964509
C2,1,509.896,0.129347,21.7726,0.467635,4986.68,288.59,170546,7560.5,60628,1.53463,39506.6,,1.07463
C3,1,509.989,0.129301,21.8499,0.467948,4947.32,285.552,169801,7508.62,60342,1.54238,39122.7,,1.06418
C4,1,510.019,0.129188,21.7946,0.467239,4950.43,285.982,169477,7500.12,60252,1.522,39587.3,,1.07682
C5,1,510.079,0.136408,21.905,0.494041,4862.63,295.615,167315,7793.69,59132,1.56299,37832.6,,1.02909
C6,3,510.209,0.135919,21.8378,0.49193,4682.31,284.262,160616,7470.54,56674,1.62721,34828.9,,0.947389
C7,1,510.074,0.132688,21.7761,0.479818,5332.66,316.611,182408,8296.13,64570,1.62125,39827.3,,1.08335
C8,1,509.934,0.135946,21.7109,0.491145,5703.42,347.593,194506,9079.45,68626,1.57922,43455.8,,1.18205
C9,1,509.93,0.134729,21.5981,0.486086,5975.85,362.218,202738,9410.33,71695,1.61045,44518.7,,1.21096
C10,1,509.852,0.135797,21.6507,0.49021,5888.1,359.101,200247,9352.9,70675,1.57204,44957.4,,1.2229
C11,1,509.764,0.134809,21.5416,0.485964,6388.89,388.107,216183,10055.3,76355,1.54129,49539.6,,1.34754
C12,3,510.097,0.137729,21.7958,0.498175,4974.1,306.36,170297,8035.11,60071,1.60261,37483.1,,1.01959
D1,1,509.891,0.128623,21.7818,0.465065,5035.45,289.695,172287,7592.8,61281,1.55883,39312.2,,1.06934
D2,1,509.973,0.128778,21.8451,0.466021,4933.39,283.633,169285,7456.45,60151,1.56333,38476.3,,1.0466
D3,1,509.952,0.129245,21.7931,0.467405,5236.17,302.613,179247,7935.68,63714,1.55011,41102.8,,1.11805
D4,1,510.007,0.127821,21.6875,0.461694,5331.65,305.764,181631,7977.93,64584,1.54533,41792.9,,1.13682
D5,1,510.06,0.135282,21.6941,0.488708,4952.24,300.539,168758,7844.12,59696,1.58589,37642,,1.02391
D6,2,,,,,,,,,,,,,
D7,1,510.016,0.133139,21.5991,0.480393,5916.65,354.418,200738,9208.18,70993,1.61611,43928.4,,1.19491
D8,1,509.923,0.132862,21.5749,0.479213,5796.17,346.711,196431,8997.38,69473,1.62269,42813.4,,1.16458
D9,1,509.907,0.133285,21.6017,0.480885,6282.65,376.68,213181,9787.71,75371,1.60863,46854,,1.27449
D10,1,509.776,0.132231,21.5622,0.476796,6592.01,392.538,223270,10180.3,79026,1.56585,50468.3,,1.3728
D11,1,509.715,0.134208,21.6174,0.484215,6304.95,380.366,214094,9890.79,75683,1.55243,48751.4,,1.3261
D12,2,,,,,,,,,,,,,
E1,1,509.924,0.130693,21.7353,0.472302,4357.84,255.127,148784,6671.94,52736,1.5555,33903,,0.922202
E2,1,509.94,0.129533,21.8373,0.468692,5081.35,293.912,174300,7723.78,61954,1.54575,40080.2,,1.09023
E3,1,510.024,0.128624,21.8259,0.465379,4964.96,285.294,170219,7493.26,60489,1.49603,40432.9,,1.09982
E4,1,510.046,0.131923,21.8701,0.47758,4970.43,292.538,170752,7699.77,60606,1.56888,38630.2,,1.05079
E5,1,510.043,0.13106,21.7564,0.473804,4824.91,283.114,164891,7411.42,58532,1.57784,37096.2,,1.00906
E6,3,510.193,0.136659,21.8057,0.49441,4868.86,297.49,166770,7806.19,58888,1.60632,36660.2,,0.997202
E7,1,510.188,0.129484,21.7503,0.468138,5152.56,298.809,176039,7820.09,62478,1.54804,40359.5,,1.09783
E8,1,510.018,0.136251,21.7236,0.492364,5617.6,343.026,191692,8965.7,67631,1.58327,42716,,1.16193
