'0415_LS003_wellLabel','0415_LS003_wallTag','0415_LS003_PL_pos','0415_LS003_PL_pos_s','0415_LS003_PL_FWHM','0415_LS003_PL_FWHM_s','0415_LS003_PL_height','0415_LS003_PL_height_s','0415_LS003_PL_area','0415_LS003_PL_area_s','0415_LS003_PL_sum','0415_LS003_PL_OD390','0415_LS003_PL_sum/OD390','0415_LS003_PL_ref','0415_LS003_PL_FOM'
E9,1,509.989,0.136854,21.7344,0.494591,5583.98,342.355,190639,8952.74,67257,1.51664,44346.1,,1.20627
E10,1,509.848,0.13369,21.6513,0.482607,6105.04,366.547,207631,9547.11,73420,1.4937,49153.2,,1.33703
E11,1,509.746,0.137134,21.6717,0.495114,6256.15,385.006,212970,10037.7,75090,1.46995,51083.5,,1.38953
E12,3,510.134,0.1352,21.8003,0.489072,4701.49,284.226,160997,7456.18,56830,1.55877,36458.3,,0.991709
F1,1,509.88,0.13176,21.8361,0.476716,4649.94,273.575,159493,7188.9,56531,1.56873,36036.1,,0.980226
F2,1,509.941,0.130476,21.8319,0.472073,4971.78,289.716,170500,7611.56,60530,1.54144,39268.6,,1.06815
F3,1,509.954,0.131739,21.8788,0.47692,4792.52,281.569,164706,7414.06,58430,1.51432,38584.9,,1.04956
F4,1,510.024,0.133306,21.8961,0.482727,4760.08,282.86,163719,7454.22,57974,1.51338,38307.7,,1.04202
F5,1,510.058,0.131644,21.7988,0.476164,4942.69,290.936,169245,7631.64,60001,1.54913,38732.2,,1.05356
F6,2,,,,,,,,,,,,,
F7,1,509.932,0.133099,21.6602,0.480564,6206.7,370.933,211175,9665.56,74660,1.56187,47801.7,,1.30026
F8,1,509.959,0.134981,21.6551,0.487342,6035.98,365.9,205318,9532.11,72550,1.53868,47150.7,,1.28256
F9,1,509.857,0.131633,21.6365,0.475101,6511.29,385.106,221296,10023.4,78323,1.62382,48233.9,,1.31202
F10,1,509.792,0.133543,21.6399,0.481986,6303.87,378.182,214280,9844.73,75725,1.51475,49991.7,,1.35984
F11,1,509.722,0.134179,21.6437,0.48427,6098.92,367.557,207350,9569.82,73280,1.46969,49861,,1.35628
F12,2,,,,,,,,,,,,,
G1,1,509.953,0.134564,21.7968,0.486665,4403.72,264.948,150776,6949.19,53316,1.56665,34031.9,,0.925708
G2,1,509.917,0.127211,21.7633,0.45987,4974.75,283.234,170065,7416.9,60533,1.50121,40322.8,,1.09683
G3,1,509.933,0.130506,21.8508,0.472285,4960.04,288.926,170244,7597.63,60464,1.43619,42100.3,,1.14518
G4,1,509.958,0.130263,21.839,0.471353,5040.5,293.184,172912,7705.28,61441,1.49804,41014.4,,1.11564
G5,1,510.006,0.136073,21.6503,0.491279,4707.22,287.718,160084,7493.66,56630,1.45965,38796.9,,1.05532
G6,3,510.132,0.133984,21.8093,0.484725,4976.73,298.074,170493,7822.84,60309,1.53809,39210.4,,1.06657
G7,1,509.955,0.13266,21.7363,0.479431,5400.04,320.901,184375,8392.46,65228,1.45256,44905.6,,1.22149
G8,1,509.898,0.134256,21.7154,0.485049,5375.7,323.489,183367,8451.62,64836,1.46204,44346.2,,1.20627
G9,1,509.892,0.134505,21.6739,0.485704,5322.47,321.297,181205,8377.66,64042,1.4426,44393.5,,1.20756
G10,1,509.829,0.13512,21.5995,0.487458,6033.46,366.715,204706,9527.73,72303,1.45832,49579.6,,1.34863
G11,1,509.718,0.133768,21.6012,0.482536,6232.25,374.94,211467,9742.14,74788,1.46647,50998.8,,1.38723
G12,3,510.088,0.136646,21.829,0.494453,5047.28,308.103,173066,8093.61,61055,1.58042,38632.2,,1.05084
H1,1,509.968,0.129702,21.7953,0.469081,4825.4,279.848,165202,7339.46,58695,1.53846,38151.9,,1.03778
H2,1,509.887,0.1308,21.8081,0.473084,4682.01,273.694,160387,7182.43,56985,1.44877,39333.2,,1.06991
H3,1,509.971,0.132747,21.8368,0.480332,5110.09,302.922,175282,7960.4,62167,1.50045,41432.2,,1.12701
H4,1,510.004,0.13376,21.7883,0.483732,4841.86,289.662,165712,7594.34,58678,1.46473,40060.7,,1.0897
H5,1,510.006,0.13154,21.7565,0.475523,5176.15,304.824,176895,7979.74,62748,1.53566,40860.6,,1.11146
H6,2,,,,,,,,,,,,,
H7,1,509.816,0.13595,21.6512,0.49075,6090.72,371.857,207143,9685.36,73157,1.49781,48842.6,,1.32858
H8,1,509.892,0.132814,21.6793,0.479627,5441.5,324.296,185304,8458.06,65553,1.44216,45454.6,,1.23642
H9,1,509.784,0.135945,21.6351,0.490622,6617.6,404.202,224894,10519.6,79414,1.49603,53083.2,,1.44393
H10,1,509.705,0.139279,21.6242,0.502547,6543.63,409.589,222268,10654.2,78314,1.48227,52834,,1.43715
H11,1,509.738,0.133672,21.5859,0.482113,6831.19,410.889,231625,10668.3,81856,1.52782,53577.1,,1.45736
H12,2,,,,,,,,,,,,,
