ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00013074,"InChI=1S/C12H10N2O2/c15-12(16)9-2-1-3-11(8-9)14-10-4-6-13-7-5-10/h1-8H,(H,13,14)(H,15,16)",O=C(O)c1cccc(N=c2cc[nH]cc2)c1,555.4863730454475,False,['89990-32-9'],1.7751752537,0,$49.40/50 mg,Ships in 21 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/ena321763715?context=bbe,,,
POOL-00037773,"InChI=1S/C12H10N2O2/c15-10-6-2-1-5-9(10)12(16)14-11-7-3-4-8-13-11/h1-8,15H,(H,13,14,16)",OC(=Nc1ccccn1)c1ccccc1O,509.4370268848194,False,"['13563-04-7', '5559-94-4']",1.9076516543,0,$50.60/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/chembridgecorporation/ch4005846333?context=bbe,,,
POOL-00036777,"InChI=1S/C11H10N2O2/c1-7-9(11(14)15)13-10(12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,12,13)(H,14,15)",Cc1nc(-c2ccccc2)[nH]c1C(=O)O,488.54395814897066,False,['28824-94-4'],1.8834968866,0,$77.00/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/chembridgecorporation/ch4182075328?context=bbe,,,
POOL-00030821,"InChI=1S/C12H10N2O2/c15-11-6-2-1-5-10(11)12(16)14-9-4-3-7-13-8-9/h1-8,15H,(H,14,16)",OC(=Nc1cccnc1)c1ccccc1O,509.4370268848194,False,['118623-71-5'],1.7974043636,0,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s201782,,,
POOL-00024303,"InChI=1S/C11H10N2O2/c1-7-3-2-4-8(5-7)9-6-10(11(14)15)13-12-9/h2-6H,1H3,(H,12,13)(H,14,15)",Cc1cccc(-c2cc(C(=O)O)n[nH]2)c1,502.7939581489706,False,['1037456-61-3'],1.7210044978,0,"$1,392.30/1 g",Ships in 30 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah304a241c?context=bbe,,,
POOL-00027206,"InChI=1S/C11H10N2O3/c1-16-8-4-2-3-7(5-8)9-6-10(11(14)15)13-12-9/h2-6H,1H3,(H,12,13)(H,14,15)",COc1cccc(-c2cc(C(=O)O)n[nH]2)c1,519.453156302315,False,"['834868-54-1', '1147417-27-3', '890591-64-7']",1.9553566176,0,$77.00/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/chembridgecorporation/ch4102149982?context=bbe,,,
POOL-00026021,"InChI=1S/C12H10N2O2/c13-12(16)10-6-9(7-14-10)11(15)8-4-2-1-3-5-8/h1-7,14H,(H2,13,16)",NC(=O)c1cc(C(=O)c2ccccc2)c[nH]1,528.9616057718628,False,['338976-94-6'],1.7888875964,0,,,,,,
POOL-00028661,"InChI=1S/C10H7BrN2O2/c11-7-3-1-6(2-4-7)9-8(10(14)15)5-12-13-9/h1-5H,(H,12,13)(H,14,15)",O=C(O)c1c[nH]nc1-c1ccc(Br)cc1,490.3784250051073,False,['618383-49-6'],1.7546195255,0,$172.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/l324620,,,
POOL-00020971,"InChI=1S/C11H10N2O2/c14-6-10-3-1-8(12-10)5-9-2-4-11(7-15)13-9/h1-4,6-7,12-13H,5H2",O=Cc1ccc(Cc2ccc(C=O)[nH]2)[nH]1,437.9991919913373,False,['4511-34-6'],1.7582816089,0,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/l158534,,,
POOL-00032126,"InChI=1S/C13H12N2O2/c1-9-6-7-12(14-8-9)15-13(17)10-4-2-3-5-11(10)16/h2-8,16H,1H3,(H,14,15,17)",Cc1ccc(N=C(O)c2ccccc2O)nc1,547.6008499644515,False,['312503-15-4'],1.9673733908,0,,,,,,
POOL-00027012,"InChI=1S/C11H10N2O3/c1-16-10-5-3-2-4-7(10)8-6-9(11(14)15)13-12-8/h2-6H,1H3,(H,12,13)(H,14,15)",COc1ccccc1-c1cc(C(=O)O)n[nH]1,519.453156302315,False,['890006-92-5'],1.9569612954,0,,,,,,
POOL-00005399,"InChI=1S/C12H10N2O2/c15-10-6-7-11(13-8-10)14-12(16)9-4-2-1-3-5-9/h1-8,15H,(H,13,14,16)",OC(=Nc1ccc(O)cn1)c1ccccc1,492.1870268848195,False,['69634-17-9'],1.7351923887,0,,,,,,
POOL-00001744,"InChI=1S/C11H10N2O2S/c1-7(14)12-11-13-9(6-16-11)8-4-2-3-5-10(8)15/h2-6,15H,1H3,(H,12,13,14)",CC(O)=Nc1nc(-c2ccccc2O)cs1,530.2857620219577,False,['78546-66-4'],1.9189776714,0,$201.00/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/bog00170,"$203.00
Each of 1/2g",Check Availability,https://www.fishersci.com/shop/products/2-acetamido-4-2-hydroxyphenyl-thiazole-97-thermo-scientific/AAH5809804#78546-66-4
POOL-00003628,"InChI=1S/C12H10FNO2/c1-7-10(12(15)16)6-11(14-7)8-2-4-9(13)5-3-8/h2-6,14H,1H3,(H,15,16)",Cc1[nH]c(-c2ccc(F)cc2)cc1C(=O)O,528.4518307675357,False,['1226237-47-3'],1.7852892375,0,,,,,,
POOL-00011882,"InChI=1S/C11H10N2O3/c1-16-8-4-2-3-7(5-8)10-9(11(14)15)6-12-13-10/h2-6H,1H3,(H,12,13)(H,14,15)",COc1cccc(-c2n[nH]cc2C(=O)O)c1,519.453156302315,False,['879996-71-1'],1.8015731801,0,$99.70/50 MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph017949,,,
POOL-00001551,"InChI=1S/C11H10N2O2S/c1-7(14)12-11-13-10(6-16-11)8-2-4-9(15)5-3-8/h2-6,15H,1H3,(H,12,13,14)",CC(O)=Nc1nc(-c2ccc(O)cc2)cs1,513.0357620219576,False,['64309-02-0'],1.7984594512,0,$201.00/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/bog00164,,,
POOL-00009838,"InChI=1S/C12H10N2O2/c15-11-5-3-9(4-6-11)12(16)14-10-2-1-7-13-8-10/h1-8,15H,(H,14,16)",O=C(Nc1cccnc1)c1ccc(O)cc1,480.13176398410815,False,['852980-64-4'],1.7774885161,0,$171.60/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/ena249152442?context=bbe,,,
POOL-00028976,"InChI=1S/C11H10N2O2/c1-7-2-4-8(5-3-7)9-6-10(11(14)15)13-12-9/h2-6H,1H3,(H,12,13)(H,14,15)",Cc1ccc(-c2cc(C(=O)O)n[nH]2)cc1,485.54395814897066,False,"['46413-67-6', '890007-12-2']",1.721566094,0,$132.00/1 g,Ships in 21 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/princetonbiomolecularresearchinc/pri424050242?context=bbe,,,
POOL-00028275,"InChI=1S/C12H12N2O2/c1-8-7-9(13)4-5-10(8)14-12(15)11-3-2-6-16-11/h2-7H,13H2,1H3,(H,14,15)",Cc1cc(N)ccc1N=C(O)c1ccco1,515.8199598183139,False,['404832-64-0'],1.9357967325,0,$25.30/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/chembridgecorporation/ch4182077313?context=bbe,,,
POOL-00023998,"InChI=1S/C11H10N2O2/c1-7-9(8-5-3-2-4-6-8)12-13-10(7)11(14)15/h2-6H,1H3,(H,12,13)(H,14,15)",Cc1c(C(=O)O)n[nH]c1-c1ccccc1,488.54395814897066,False,['879770-33-9'],1.789768397,0,$90.00/250 mg,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/lifechemicalsinc/lif090224784?context=bbe,,,
POOL-00026150,"InChI=1S/C13H14N2O/c14-15-12-8-4-5-9-13(12)16-10-11-6-2-1-3-7-11/h1-9,15H,10,14H2",NNc1ccccc1OCc1ccccc1,442.69539900432704,False,['247023-19-4'],1.8018733955,0,,,,,,
POOL-00025929,"InChI=1S/C12H12N2O3/c1-7-2-4-8(5-3-7)9-6-10(11(15)16)14-12(17)13-9/h2-6,9H,1H3,(H,15,16)(H2,13,14,17)",Cc1ccc(C2C=C(C(=O)O)NC(O)=N2)cc1,502.9869557174316,False,['446275-91-8'],1.7120348215,0,$102.00/500 mg,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/keyorganicsbionet/key007387377?context=bbe,,,
