ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url
POOL-00034018,"InChI=1S/C16H15NO3/c1-10-7-8-14(11(2)9-10)17-15(18)12-5-3-4-6-13(12)16(19)20/h3-9H,1-2H3,(H,17,18)(H,19,20)",Cc1ccc(N=C(O)c2ccccc2C(=O)O)c(C)c1,689.8713823028047,False,['19368-16-2'],1.8296776707,1,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s717428
POOL-00010411,"InChI=1S/C12H7BrFNO3/c13-9-6-7(14)3-4-10(9)18-11-8(12(16)17)2-1-5-15-11/h1-6H,(H,16,17)",O=C(O)c1cccnc1Oc1ccc(F)cc1Br,603.626436257062,False,['954563-46-3'],1.8485037599,1,,,
POOL-00003818,"InChI=1S/C16H15NO3/c1-2-17-15(18)12-7-5-6-11(10-12)13-8-3-4-9-14(13)16(19)20/h3-10H,2H2,1H3,(H,17,18)(H,19,20)",CCN=C(O)c1cccc(-c2ccccc2C(=O)O)c1,662.2764902860007,False,['1261915-41-6'],1.8866954609,1,,,
POOL-00034019,"InChI=1S/C14H10FNO3/c15-11-7-3-4-8-12(11)16-13(17)9-5-1-2-6-10(9)14(18)19/h1-8H,(H,16,17)(H,18,19)",O=C(O)c1ccccc1C(O)=Nc1ccccc1F,652.6442659022198,False,['19336-75-5'],1.8854777927,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s555339
POOL-00022789,"InChI=1S/C15H12F3NO2/c16-15(17,18)13(11-7-3-1-4-8-11)21-14(20)19-12-9-5-2-6-10-12/h1-10,13H,(H,19,20)",OC(=Nc1ccccc1)OC(c1ccccc1)C(F)(F)F,597.320724306083,False,['2648-11-5'],1.8226214175,1,$28.60/25MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s184691
POOL-00028055,"InChI=1S/C13H11NO2S/c1-9-4-6-10(7-5-9)17-12-11(13(15)16)3-2-8-14-12/h2-8H,1H3,(H,15,16)",Cc1ccc(Sc2ncccc2C(=O)O)cc1,537.3706554225115,False,['955-53-3'],1.8254998179,1,,,
POOL-00036812,"InChI=1S/C14H12F3NOS/c1-7-8(2)20-13(18)11(7)12(19)9-4-3-5-10(6-9)14(15,16)17/h3-6H,18H2,1-2H3",Cc1sc(N)c(C(=O)c2cccc(C(F)(F)F)c2)c1C,673.5439190102028,False,['132861-87-1'],1.8310942897,1,,,
POOL-00030292,"InChI=1S/C15H14FNO3/c1-19-10-7-8-14(20-2)13(9-10)17-15(18)11-5-3-4-6-12(11)16/h3-9H,1-2H3,(H,17,18)",COc1ccc(OC)c(N=C(O)c2ccccc2F)c1,640.7657944113673,False,['198139-95-6'],1.8378605622,1,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s694754
POOL-00020746,"InChI=1S/C14H9F2NO3/c15-8-5-6-12(11(16)7-8)17-13(18)9-3-1-2-4-10(9)14(19)20/h1-7H,(H,17,18)(H,19,20)",O=C(O)c1ccccc1C(O)=Nc1ccc(F)cc1F,698.5684133939982,False,['198124-09-3'],1.8429566207,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s739855
POOL-00024694,"InChI=1S/C12H10FNO2S/c1-7-14-12(10(17-7)6-11(15)16)8-2-4-9(13)5-3-8/h2-5H,6H2,1H3,(H,15,16)",Cc1nc(-c2ccc(F)cc2)c(CC(=O)O)s1,548.1333138297032,False,['568543-71-5'],1.8923023147,1,,,
POOL-00029039,"InChI=1S/C16H14FNO3/c1-2-21-16(20)11-7-9-12(10-8-11)18-15(19)13-5-3-4-6-14(13)17/h3-10H,2H2,1H3,(H,18,19)",CCOC(=O)c1ccc(NC(=O)c2ccccc2F)cc1,652.8265942666073,False,['314766-38-6'],1.8671551539,1,,,
POOL-00024459,"InChI=1S/C14H9BrF3NO/c15-11-5-2-6-12(8-11)19-13(20)9-3-1-4-10(7-9)14(16,17)18/h1-8H,(H,19,20)",OC(=Nc1cccc(Br)c1)c1cccc(C(F)(F)F)c1,652.8624300402118,False,['710310-54-6'],1.8264485481,1,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r130362
POOL-00034020,"InChI=1S/C16H15NO3/c1-10-7-8-11(2)14(9-10)17-15(18)12-5-3-4-6-13(12)16(19)20/h3-9H,1-2H3,(H,17,18)(H,19,20)",Cc1ccc(C)c(N=C(O)c2ccccc2C(=O)O)c1,689.8713823028047,False,['19368-17-3'],1.8711842816,1,,,
POOL-00030274,"InChI=1S/C14H9BrF3NO/c15-11-4-6-12(7-5-11)19-13(20)9-2-1-3-10(8-9)14(16,17)18/h1-8H,(H,19,20)",O=C(Nc1ccc(Br)cc1)c1cccc(C(F)(F)F)c1,623.0612969345251,False,['562080-79-9'],1.8415693836,1,$172.00/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r130257
POOL-00037662,"InChI=1S/C14H13NO2/c1-10(16)15-12-7-8-14(17)13(9-12)11-5-3-2-4-6-11/h2-9,17H,1H3,(H,15,16)",CC(O)=Nc1ccc(O)c(-c2ccccc2)c1,543.4035973914794,False,['29785-41-9'],1.8610146442,1,$81.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph007947
POOL-00032582,"InChI=1S/C15H12O4/c1-10(16)19-14-12(11-6-3-2-4-7-11)8-5-9-13(14)15(17)18/h2-9H,1H3,(H,17,18)",CC(=O)Oc1c(C(=O)O)cccc1-c1ccccc1,617.297630273375,False,['60821-26-3'],1.8439463355,1,,,
POOL-00024466,"InChI=1S/C15H14O3/c1-11-5-4-6-12(9-11)10-18-14-8-3-2-7-13(14)15(16)17/h2-9H,10H2,1H3,(H,16,17)",Cc1cccc(COc2ccccc2C(=O)O)c1,561.1701015887004,False,['744242-83-9'],1.9282366079,1,,,
POOL-00041858,"InChI=1S/C14H12O3S/c1-9(14(16)17)11-7-8-12(18-11)13(15)10-5-3-2-4-6-10/h2-9H,1H3,(H,16,17)",CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,571.7348569747639,False,['33005-95-7'],1.8974015667,1,$149.00/nan,"Estimated to ship on June 16, 2023
From MILWAUKEE",https://www.sigmaaldrich.com/US/en/product/sial/t1410900
POOL-00032287,"InChI=1S/C13H9BrFNO/c14-10-4-5-13(17)9(6-10)8-16-12-3-1-2-11(15)7-12/h1-8,17H",Oc1ccc(Br)cc1C=Nc1cccc(F)c1,569.0959624622881,False,['329935-95-7'],1.833909902,1,,,
POOL-00034032,"InChI=1S/C12H10FNO2S/c13-10-6-8-11(9-7-10)14-17(15,16)12-4-2-1-3-5-12/h1-9,14H",O=S(=O)(Nc1ccc(F)cc1)c1ccccc1,594.1625722468401,False,['312-63-0'],1.8554400189,1,,,
POOL-00027905,"InChI=1S/C14H12N2O3/c1-10-6-2-4-8-12(10)15-14(17)11-7-3-5-9-13(11)16(18)19/h2-9H,1H3,(H,15,17)",Cc1ccccc1N=C(O)c1ccccc1[N+](=O)[O-],650.6442659022198,False,['2385-25-3'],1.8290906231,1,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r588970
POOL-00022771,"InChI=1S/C14H12O3S/c15-14(16)12-8-4-5-9-13(12)18(17)10-11-6-2-1-3-7-11/h1-9H,10H2,(H,15,16)",O=C(O)c1ccccc1S(=O)Cc1ccccc1,578.6027923612364,False,['28175-35-1'],1.8228520511,1,,,
POOL-00037445,"InChI=1S/C15H11F3O2S/c16-15(17,18)11-6-7-13(12(8-11)14(19)20)21-9-10-4-2-1-3-5-10/h1-8H,9H2,(H,19,20)",O=C(O)c1cc(C(F)(F)F)ccc1SCc1ccccc1,639.1121439954974,False,['24156-14-7'],1.8760453945,1,$81.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph003289
POOL-00001512,"InChI=1S/C12H11BrN2O3/c1-2-17-12(16)10-9(11(14)18-15-10)7-3-5-8(13)6-4-7/h3-6H,2,14H2,1H3",CCOC(=O)c1noc(N)c1-c1ccc(Br)cc1,563.2015417499622,False,['925007-20-1'],1.9127212871,1,"$70.20
$21.06/1 G","Available to ship on May 26, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/717886
POOL-00008150,"InChI=1S/C15H13F2NO/c16-12-5-3-4-11(10-12)8-9-15(19)18-14-7-2-1-6-13(14)17/h1-7,10H,8-9H2,(H,18,19)",OC(CCc1cccc(F)c1)=Nc1ccccc1F,596.2043750653814,False,['853313-49-2'],1.836946837,1,$68.10/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/t103675
