ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,sigma-price,sigma-avail,sigma-url
POOL-00028806,"InChI=1S/C14H16N2OS/c17-13-11-8-4-5-9-12(11)15-14(18)16(13)10-6-2-1-3-7-10/h4-5,8-10H,1-3,6-7H2,(H,15,18)",O=c1c2ccccc2nc(S)n1C1CCCCC1,629.2168631828299,False,['13906-06-4'],0.219038537,2,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s541605
POOL-00039098,"InChI=1S/C13H18N2/c1-15(2)9-5-6-11-10-14-13-8-4-3-7-12(11)13/h3-4,7-8,10,14H,5-6,9H2,1-2H3",CN(C)CCCc1c[nH]c2ccccc12,428.78350293965394,False,['13117-35-6'],0.2259737655,2,$106.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s361003
POOL-00033142,"InChI=1S/C13H18N2/c1-9(2)15-10(3)12-8-14-13-7-5-4-6-11(12)13/h4-10,14-15H,1-3H3",CC(C)NC(C)c1c[nH]c2ccccc12,442.4876083306185,False,['20851-21-2'],0.1774760781,2,$134.00/25 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph008209
POOL-00033889,"InChI=1S/C15H13NO/c1-17-13-7-8-14-12(9-13)10-15(16-14)11-5-3-2-4-6-11/h2-10,16H,1H3",COc1ccc2[nH]c(-c3ccccc3)cc2c1,640.3355192660392,False,['5883-96-5'],0.2196985996,2,$172.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s547107
POOL-00000633,"InChI=1S/C14H14N2/c1-10-3-4-11(2)16(10)13-6-5-12-7-8-15-14(12)9-13/h3-9,15H,1-2H3",Cc1ccc(C)n1-c1ccc2cc[nH]c2c1,624.1064572795341,False,['1335101-83-1'],0.177102345,2,,,
POOL-00038727,"InChI=1S/C15H12N2/c1-2-6-13(7-3-1)16-10-12-11-17-15-9-5-4-8-14(12)15/h1-11,17H",C(=Nc1ccccc1)c1c[nH]c2ccccc12,650.7532491005147,False,['22394-31-6'],0.2431942215,2,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s333298
POOL-00042034,"InChI=1S/C14H12N2S/c1-9-2-7-12-13(8-9)17-14(16-12)10-3-5-11(15)6-4-10/h2-8H,15H2,1H3",Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,668.2549997559121,False,['92-36-4'],0.2164395695,2,,,
POOL-00038881,"InChI=1S/C12H16N2/c1-9-4-5-12-11(6-9)10(7-13-12)8-14(2)3/h4-7,13H,8H2,1-3H3",Cc1ccc2[nH]cc(CN(C)C)c2c1,440.5184971303141,False,['30218-58-7'],0.1778583308,2,$172.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph010380
POOL-00025260,"InChI=1S/C14H15NOS/c1-16-11-4-2-10(3-5-11)14-12-7-9-17-13(12)6-8-15-14/h2-5,7,9,14-15H,6,8H2,1H3",COc1ccc(C2NCCc3sccc32)cc1,503.195691001938,False,['213462-19-2'],0.1921294787,2,,,
POOL-00023189,"InChI=1S/C13H10N2S/c14-7-11-10-6-5-8-3-1-2-4-9(8)12(10)16-13(11)15/h1-4H,5-6,15H2",N#Cc1c(N)sc2c1CCc1ccccc1-2,604.8805345121914,False,['13145-86-3'],0.1861253157,2,,,
POOL-00024685,"InChI=1S/C14H11NO2/c1-9-6-7-10(17-9)8-12-11-4-2-3-5-13(11)15-14(12)16/h2-8H,1H3,(H,15,16)",Cc1ccc(C=C2C(=O)Nc3ccccc32)o1,622.6573768998592,False,['64259-05-8'],0.2245038459,2,,,
