,DIMRED_FEAT_nn=50;md=0[dot]3_x,DIMRED_FEAT_nn=50;md=0[dot]3_y,DIMRED_FEAT_nn=50;md=0[dot]7_x,DIMRED_FEAT_nn=50;md=0[dot]7_y,DIMRED_CHEM_nn=50;md=0[dot]3_x,DIMRED_CHEM_nn=50;md=0[dot]3_y,DIMRED_CHEM_nn=50;md=0[dot]7_x,DIMRED_CHEM_nn=50;md=0[dot]7_y,ligand_label
14388,-3.094776,2.7667599,-4.112257,3.0586863,5.2029986,8.361919,4.596402,3.3924513,POOL-00018764
14389,8.591038,9.047988,8.586737,9.861746,5.021322,8.363844,4.2602167,2.5309074,POOL-00011474
14390,8.336041,3.8723893,7.0285306,2.6519692,5.3360653,4.288351,4.4578896,5.3377414,POOL-00013293
14391,-2.6852953,11.650137,-3.5310802,12.109065,3.5722895,3.9416485,7.6226735,4.5080795,POOL-00009555
14392,9.592162,6.485633,9.643235,5.804923,4.1268196,8.619667,4.0391445,3.50583,POOL-00010411
14393,2.3984098,11.232789,2.693434,12.313429,6.35619,4.977829,5.5851865,2.7589774,POOL-00026223
14394,-1.8025647,10.10801,-1.9912487,10.2487955,3.4898782,6.009208,7.4117346,4.252743,POOL-00037174
14395,11.022209,5.3284874,9.660238,4.788403,4.5473228,3.999749,7.53374,3.7400093,POOL-00005004
14396,10.944137,8.172027,12.625267,8.071666,2.8765857,4.975392,7.611591,4.6631546,POOL-00025825
14397,8.587494,4.0347233,7.2716165,2.9617848,4.1407638,6.42231,4.8561354,3.973044,POOL-00036501
14398,8.485672,5.052148,7.5444245,4.1675196,3.587888,3.3034916,8.003313,4.622493,POOL-00027575
14399,12.443361,9.501198,10.413905,11.0469265,5.98152,6.7930975,4.668016,0.52286786,POOL-00026387
14400,14.169148,11.94522,14.071263,11.257142,5.893032,9.350503,5.633797,3.7643754,POOL-00032179
14401,9.082531,11.565432,8.778364,13.113665,5.2641625,9.50995,4.237668,3.7865217,POOL-00013447
14402,8.288609,11.932322,7.082834,13.55603,5.5288553,3.892571,2.5769205,1.6662472,POOL-00036967
14403,1.4239098,8.179082,2.357444,7.759969,3.5441978,3.5214353,7.893765,4.347263,POOL-00027407
14404,9.676981,5.1581225,8.6257715,4.632507,3.5260336,3.7304096,7.5799646,4.7224216,POOL-00027714
14405,8.682193,9.620669,7.918616,9.946657,3.6761465,3.174269,8.305712,4.728309,POOL-00017520
14406,8.032431,12.109848,7.1573486,13.225196,6.277749,9.3666315,6.0827403,3.9689925,POOL-00032806
14407,-0.9957603,2.2392092,-1.3222337,1.8547789,4.2939863,9.018839,3.9926739,4.6908107,POOL-00012424
14408,7.8847957,10.442726,7.494403,11.359569,6.258774,9.444405,6.4526043,2.8875449,POOL-00038696
