ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00041857,"InChI=1S/C15H24N2O4S/c1-5-17(6-2)10-9-16-15(18)13-11-12(22(4,19)20)7-8-14(13)21-3/h7-8,11H,5-6,9-10H2,1-4H3,(H,16,18)",CCN(CC)CCN=C(O)c1cc(S(C)(=O)=O)ccc1OC,622.4296598644225,False,['51012-32-9'],0.9664884866,7,,,,,,
POOL-00007734,"InChI=1S/C15H26N2O6/c1-14(2,3)22-12(20)16-9-7-8-10(11(18)19)17(16)13(21)23-15(4,5)6/h10H,7-9H2,1-6H3,(H,18,19)",CC(C)(C)OC(=O)N1CCCC(C(=O)O)N1C(=O)OC(C)(C)C,477.339223482285,False,['1219380-72-9'],0.9615161012,7,$68.10/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/t283339,,,
POOL-00011741,"InChI=1S/C16H20N2O4/c1-16(2,3)22-15(21)18-9-10(8-12(17)14(19)20)11-6-4-5-7-13(11)18/h4-7,9,12H,8,17H2,1-3H3,(H,19,20)",CC(C)(C)OC(=O)n1cc(CC(N)C(=O)O)c2ccccc21,712.4943724194472,False,['2074728-72-4'],0.9606583323,7,,,,,,
POOL-00004869,"InChI=1S/C15H16O5S/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(10-6-12)20-21(17,18)19/h3-10,16H,1-2H3,(H,17,18,19)",CC(C)(c1ccc(O)cc1)c1ccc(OS(=O)(=O)O)cc1,715.6642233703539,False,['267244-09-7'],0.9387067179,7,,,,,,
POOL-00011354,"InChI=1S/C15H26N2O6/c1-14(2,3)22-12(20)16-7-8-17(10(9-16)11(18)19)13(21)23-15(4,5)6/h10H,7-9H2,1-6H3,(H,18,19)",CC(C)(C)OC(=O)N1CCN(C(=O)OC(C)(C)C)C(C(=O)O)C1,477.339223482285,False,['181955-79-3'],0.9680069656,7,"$298.00
$89.40/1 G","Available to ship on April 12, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/756350,,,
POOL-00033109,"InChI=1S/C17H20O3/c1-13-3-7-16(8-4-13)19-11-15(18)12-20-17-9-5-14(2)6-10-17/h3-10,15,18H,11-12H2,1-2H3",Cc1ccc(OCC(O)COc2ccc(C)cc2)cc1,467.43630955141776,False,['14569-62-1'],0.9640739242,7,$398.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph001060,,,
POOL-00008979,"InChI=1S/C15H24N2O6/c1-6-9(2)12(16-14(21)22-15(3,4)5)13(20)23-17-10(18)7-8-11(17)19/h9,12H,6-8H2,1-5H3,(H,16,21)",CCC(C)C(N=C(O)OC(C)(C)C)C(=O)ON1C(=O)CCC1=O,492.5867160037749,False,['3392-08-3'],0.9635233473,7,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s776084,,,
POOL-00038720,"InChI=1S/C16H26N2O3/c1-20-16-6-3-2-5-15(16)18-10-8-17(9-11-18)7-4-13-21-14-12-19/h2-3,5-6,19H,4,7-14H2,1H3",COc1ccccc1N1CCN(CCCOCCO)CC1,406.2634916345231,False,['93162-31-3'],0.9911807093,7,$28.60/25MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s520586,,,
POOL-00035686,"InChI=1S/C16H21NO3/c1-11(2)17-9-12(18)10-20-16-8-7-15(19)13-5-3-4-6-14(13)16/h3-8,11-12,17-19H,9-10H2,1-2H3",CC(C)NCC(O)COc1ccc(O)c2ccccc12,568.6505820794071,False,"['10476-53-6', '69499-28-1']",0.956104721,7,"$541.00
$162.30/nan","Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/sial/00881,,,
POOL-00008174,"InChI=1S/C19H21NO5/c1-5-24-18(22)16-11-20(12(3)17(16)19(23)25-6-2)15-9-7-14(8-10-15)13(4)21/h7-11H,5-6H2,1-4H3",CCOC(=O)c1cn(-c2ccc(C(C)=O)cc2)c(C)c1C(=O)OCC,801.9670994560275,False,['853334-51-7'],0.9882766623,7,$68.10/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/t120774,,,
POOL-00022710,"InChI=1S/C17H20O6/c1-9(2)21-17(19)15-10(3)23-14-7-6-12(8-13(14)15)22-11(4)16(18)20-5/h6-9,11H,1-5H3",COC(=O)C(C)Oc1ccc2oc(C)c(C(=O)OC(C)C)c2c1,728.0039738683358,False,['300674-26-4'],0.9905736271,7,,,,,,
POOL-00033369,"InChI=1S/C16H14O4S/c17-15(18)13(11-7-3-1-4-8-11)21-14(16(19)20)12-9-5-2-6-10-12/h1-10,13-14H,(H,17,18)(H,19,20)",O=C(O)C(SC(C(=O)O)c1ccccc1)c1ccccc1,557.1888073347557,False,['14618-83-8'],0.9425429475,7,$28.60/25MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r161977,,,
POOL-00015352,"InChI=1S/C16H17NO4S2/c1-9(2)13(15(19)20)17-14(18)12(23-16(17)22)8-10-5-4-6-11(7-10)21-3/h4-9,13H,1-3H3,(H,19,20)",COc1cccc(C=C2SC(=S)N(C(C(=O)O)C(C)C)C2=O)c1,684.4127380602778,False,['300826-88-4'],0.9607079296,7,,,,,,
POOL-00025508,"InChI=1S/C15H26N2O5/c1-10(2)8-11-13(20)16(9-12(18)19)6-7-17(11)14(21)22-15(3,4)5/h10-11H,6-9H2,1-5H3,(H,18,19)",CC(C)CC1C(=O)N(CC(=O)O)CCN1C(=O)OC(C)(C)C,441.703985575812,False,"['1240589-16-5', '1260639-53-9']",0.9607660188,7,,,,,,
POOL-00033318,"InChI=1S/C15H20O5/c1-4-20-15(17)7-5-6-12(16)11-8-9-13(18-2)14(10-11)19-3/h8-10H,4-7H2,1-3H3",CCOC(=O)CCCC(=O)c1ccc(OC)c(OC)c1,467.3317191219271,False,['101499-71-2'],0.9849448163,7,$28.60/25MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r151793,,,
POOL-00032211,"InChI=1S/C17H20O5/c1-10-15(16(19)20-5)12-8-11(6-7-13(12)22-10)21-9-14(18)17(2,3)4/h6-8H,9H2,1-5H3",COC(=O)c1c(C)oc2ccc(OCC(=O)C(C)(C)C)cc12,718.4599040146081,False,['308298-04-6'],0.9878467141,7,,,,,,
POOL-00029763,"InChI=1S/C15H15BrO6/c1-4-20-13(17)7-21-12-5-9-11(6-10(12)16)22-8(2)14(9)15(18)19-3/h5-6H,4,7H2,1-3H3",CCOC(=O)COc1cc2c(C(=O)OC)c(C)oc2cc1Br,718.3812384809924,False,['315237-08-2'],0.9881644234,7,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l141526,,,
POOL-00010428,"InChI=1S/C18H25NO6/c1-18(2,3)25-17(22)19-7-6-11-8-14(23-4)15(24-5)9-12(11)13(19)10-16(20)21/h8-9,13H,6-7,10H2,1-5H3,(H,20,21)",COc1cc2c(cc1OC)C(CC(=O)O)N(C(=O)OC(C)(C)C)CC2,664.2655158385595,False,['282524-92-9'],0.9889127824,7,$55.00/100 mg,Ships in 30 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/bioblocksinc/b27066469700?context=bbe,,,
POOL-00018119,"InChI=1S/C16H17BrO6/c1-5-21-15(18)9(3)23-13-6-10-12(7-11(13)17)22-8(2)14(10)16(19)20-4/h6-7,9H,5H2,1-4H3",CCOC(=O)C(C)Oc1cc2c(C(=O)OC)c(C)oc2cc1Br,748.5986843064383,False,['315237-12-8'],0.9884808937,7,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l141658,,,
