PS0520_SL04_wellLabel,PS0520_SL04_wallTag,PS0520_SL04_PL_pos,PS0520_SL04_PL_pos_s,PS0520_SL04_PL_FWHM,PS0520_SL04_PL_FWHM_s,PS0520_SL04_PL_height,PS0520_SL04_PL_height_s,PS0520_SL04_PL_area,PS0520_SL04_PL_area_s,PS0520_SL04_PL_sum,PS0520_SL04_PL_OD390,'PS0520_SL04_PL_sum/OD390',PS0520_SL04_PL_ref_sum,PS0520_SL04_PL_ref_OD390,'PS0520_SL04_PL_ref_sum/OD390',PS0520_SL04_PL_FOM,PS0520_SL04_PL_sum_a,PS0520_SL04_PL_sum_b,PS0520_SL04_PL_OD390_a,PS0520_SL04_PL_OD390_b,'PS0520_SL04_PL_sum/OD390_a','PS0520_SL04_PL_sum/OD390_b',PS0520_SL04_PL_FOM_a,PS0520_SL04_PL_FOM_b,PS0520_SL04_conc
A1,1,509.209,0.148469,21.4833,0.5773,30697.5,2255.71,1.03591e+06,58903.9,349229,1.11597,312938,403367,1.14951,350904,0.900563,349229,,1.11597,,312938,,0.900563,,2
A2,1,509.244,0.141269,21.3226,0.547842,35184.3,2470.59,1.17844e+06,64008.6,399156,1.1685,341597,382899,1.17104,326975,0.983038,399156,,1.1685,,341597,,0.983038,,9.6
A3,1,509.346,0.140824,21.3375,0.546257,36195.3,2532.59,1.21315e+06,65663.1,410847,1.14352,359282,375181,1.15894,323728,1.03393,410847,,1.14352,,359282,,1.03393,,11.4
A4,1,509.279,0.140584,21.4111,0.545989,43711.1,3047.24,1.47011e+06,79292.7,498305,1.15302,432174,382415,1.12166,340937,1.2437,498305,,1.15302,,432174,,1.2437,,90
A5,1,509.632,0.145492,21.3158,0.564173,43943.7,3178.6,1.47136e+06,82324.4,497682,1.12239,443412,382641,1.04341,366721,1.27604,497682,,1.12239,,443412,,1.27604,,1050
A6,3,509.358,0.145996,21.4184,0.567079,35495.6,2569.29,1.19421e+06,66879.8,403367,1.14951,350904,384262,1.07792,356484,1.00982,403367,,1.14951,,350904,,1.00982,,0
A7,1,509.308,0.146594,21.521,0.570371,33688,2441.79,1.13882e+06,63880.5,383996,1.10974,346023,390272,1.08597,359378,0.995774,,383996,,1.10974,,346023,,0.995774,4.8
A8,1,508.908,0.137221,21.2827,0.531763,44838.2,3061.35,1.49898e+06,79158.1,510489,1.11982,455868,375069,1.05711,354805,1.31188,,510489,,1.11982,,455868,,1.31188,32.4
A9,1,508.869,0.141719,21.3384,0.549696,45981.9,3237.48,1.54123e+06,83941.8,523426,1.09623,477480,,,,1.37408,,523426,,1.09623,,477480,,1.37408,22.8
A10,1,508.901,0.141983,21.3804,0.551108,34688.3,2444.14,1.16498e+06,63503.3,396498,1.03498,383098,,,,1.10247,,396498,,1.03498,,383098,,1.10247,90
A11,1,509.255,0.147518,21.2548,0.571433,26210.6,1925.4,875093,49717.1,296831,1.02211,290411,,,,0.835737,,296831,,1.02211,,290411,,0.835737,1248
A12,3,509.278,0.144079,21.3592,0.559078,33720.8,2412.56,1.13136e+06,62617.6,382899,1.17104,326975,,,,0.940957,,382899,,1.17104,,326975,,0.940957,0
B1,1,509.224,0.144634,21.387,0.561491,35370.6,2538.45,1.18826e+06,65975.3,401968,1.13678,353602,,,,1.01759,401968,,1.13678,,353602,,1.01759,,6.8
B2,1,509.272,0.143285,21.4451,0.556794,36793.9,2611.94,1.23943e+06,68079.1,418999,1.10249,380049,,,,1.09369,418999,,1.10249,,380049,,1.09369,,19.2
B3,1,509.315,0.137272,21.3571,0.532651,43186.7,2944.02,1.44881e+06,76403.7,491968,1.10628,444705,,,,1.27976,491968,,1.10628,,444705,,1.27976,,66
B4,1,509.586,0.14444,21.2579,0.559555,42008.7,3021.36,1.40275e+06,78028.9,475217,1.06459,446385,,,,1.28459,475217,,1.06459,,446385,,1.28459,,1482
B5,1,509.385,0.143764,21.441,0.558622,43120.1,3071.64,1.45226e+06,80044.7,491208,1.03095,476462,,,,1.37115,491208,,1.03095,,476462,,1.37115,,312
B6,2,,,,,,,,,,,,,,,,,,,,,,,,0
B7,1,509.34,0.14204,21.4028,0.551569,36339.2,2560.14,1.2217e+06,66590.6,413109,1.1037,374295,,,,1.07713,,413109,,1.1037,,374295,,1.07713,3.4
