PS0520_SL06_wellLabel,PS0520_SL06_wallTag,PS0520_SL06_PL_pos,PS0520_SL06_PL_pos_s,PS0520_SL06_PL_FWHM,PS0520_SL06_PL_FWHM_s,PS0520_SL06_PL_height,PS0520_SL06_PL_height_s,PS0520_SL06_PL_area,PS0520_SL06_PL_area_s,PS0520_SL06_PL_sum,PS0520_SL06_PL_OD390,'PS0520_SL06_PL_sum/OD390',PS0520_SL06_PL_ref_sum,PS0520_SL06_PL_ref_OD390,'PS0520_SL06_PL_ref_sum/OD390',PS0520_SL06_PL_FOM,PS0520_SL06_PL_sum_a,PS0520_SL06_PL_sum_b,PS0520_SL06_PL_OD390_a,PS0520_SL06_PL_OD390_b,'PS0520_SL06_PL_sum/OD390_a','PS0520_SL06_PL_sum/OD390_b',PS0520_SL06_PL_FOM_a,PS0520_SL06_PL_FOM_b,PS0520_SL06_conc
A1,1,509.122,0.144971,21.1682,0.560749,24768,1792.17,823557,46078.9,279522,1.08066,258658,283162,1.14036,248310,0.985163,279522,,1.08066,,258658,,0.985163,,4
A2,1,508.998,0.141617,21.2519,0.548529,30674.2,2163.23,1.02398e+06,55850.2,347462,1.17624,295399,292582,1.13749,257217,1.1251,347462,,1.17624,,295399,,1.1251,,27.2
A3,1,509.194,0.144993,21.3533,0.562568,27868.1,2006.78,934745,52070.7,316203,1.13237,279241,296182,1.1214,264117,1.06356,316203,,1.13237,,279241,,1.06356,,13.6
A4,1,509.082,0.144685,21.4958,0.56269,32692.6,2340.26,1.10388e+06,61148.8,373094,1.13825,327778,295531,1.10087,268453,1.24842,373094,,1.13825,,327778,,1.24842,,108
A5,1,508.931,0.139961,21.5797,0.545068,41166.4,2844.28,1.39543e+06,74623.1,473460,1.18554,399362,282690,1.08441,260685,1.52107,473460,,1.18554,,399362,,1.52107,,1050
A6,3,509.328,0.150772,21.4456,0.585895,24931.7,1862.33,839867,48542.1,283162,1.14036,248310,261362,0.998093,261862,0.945752,283162,,1.14036,,248310,,0.945752,,0
A7,1,509.038,0.14597,21.4182,0.566956,32322.3,2339.1,1.08744e+06,60886.9,367761,1.19271,308341,298158,1.0756,277202,1.1744,,367761,,1.19271,,308341,,1.1744,4
A8,1,508.652,0.140942,21.288,0.546202,42863.6,3005.29,1.43332e+06,77728.3,487086,1.01981,477626,268129,1.02114,262579,1.81916,,487086,,1.01981,,477626,,1.81916,32.4
A9,1,508.867,0.14085,21.3218,0.546177,41505.1,2905.66,1.39009e+06,75276.8,470867,1.0842,434299,,,,1.65414,,470867,,1.0842,,434299,,1.65414,9.6
A10,1,509.207,0.145937,21.5361,0.56795,23026.9,1660.88,778974,43483,264431,0.879017,300826,,,,1.14577,,264431,,0.879017,,300826,,1.14577,156
A11,1,509.291,0.150775,21.2831,0.584327,20542.2,1541.15,686755,39850.9,233770,0.866895,269664,,,,1.02708,,233770,,0.866895,,269664,,1.02708,1764
A12,3,509.316,0.145819,21.3461,0.565711,25809.1,1869.49,865387,48491.1,292582,1.13749,257217,,,,0.979677,,292582,,1.13749,,257217,,0.979677,0
B1,1,509.107,0.146973,21.3463,0.570176,24370.3,1779.18,817154,46149,276152,1.10071,250886,,,,0.955562,276152,,1.10071,,250886,,0.955562,,5.6
B2,1,509.045,0.144307,21.2965,0.559364,28987.5,2080.62,969704,53835.8,328490,1.07967,304250,,,,1.15881,328490,,1.07967,,304250,,1.15881,,22.8
B3,1,509.046,0.14523,21.5761,0.565565,34344.4,2462.55,1.16399e+06,64596.8,393405,1.08595,362270,,,,1.3798,393405,,1.08595,,362270,,1.3798,,156
B4,1,508.939,0.143577,21.8618,0.561781,41049.1,2888.26,1.40964e+06,76818.1,476597,1.14758,415306,,,,1.5818,476597,,1.14758,,415306,,1.5818,,882
B5,1,508.985,0.140305,21.7708,0.548152,41797.5,2880.65,1.42937e+06,76280.7,484938,1.10539,438705,,,,1.67092,484938,,1.10539,,438705,,1.67092,,1248
B6,2,,,,,,,,,,,,,,,,,,,,,,,,0
B7,1,509.067,0.140627,21.3127,0.545247,30924.7,2162.12,1.03529e+06,55989.3,351204,1.08256,324418,,,,1.23563,,351204,,1.08256,,324418,,1.23563,5.6
B8,1,508.688,0.139839,21.243,0.541527,40980.9,2854.29,1.36746e+06,73659,465308,0.962792,483290,,,,1.84073,,465308,,0.962792,,483290,,1.84073,38.4
B9,1,508.662,0.139569,21.2971,0.540966,27700.7,1922.79,926682,49753.2,315451,0.920526,342686,,,,1.30521,,315451,,0.920526,,342686,,1.30521,90
B10,1,509.422,0.149279,21.5454,0.581061,23496.5,1733.19,795203,45396.7,269472,0.846936,318173,,,,1.21184,,269472,,0.846936,,318173,,1.21184,312
B11,1,509.319,0.147592,21.4579,0.573654,23988.6,1753.51,808558,45733.1,274415,0.859054,319439,,,,1.21666,,274415,,0.859054,,319439,,1.21666,366
B12,2,,,,,,,,,,,,,,,,,,,,,,,,0
C1,1,509.089,0.147521,21.2625,0.571504,25658.3,1884.42,856960,48677.3,290052,1.05754,274271,,,,1.04463,290052,,1.05754,,274271,,1.04463,,4.8
