PS0520_SL03_wellLabel,PS0520_SL03_wallTag,PS0520_SL03_PL_pos,PS0520_SL03_PL_pos_s,PS0520_SL03_PL_FWHM,PS0520_SL03_PL_FWHM_s,PS0520_SL03_PL_height,PS0520_SL03_PL_height_s,PS0520_SL03_PL_area,PS0520_SL03_PL_area_s,PS0520_SL03_PL_sum,PS0520_SL03_PL_OD390,'PS0520_SL03_PL_sum/OD390',PS0520_SL03_PL_ref_sum,PS0520_SL03_PL_ref_OD390,'PS0520_SL03_PL_ref_sum/OD390',PS0520_SL03_PL_FOM,PS0520_SL03_PL_sum_a,PS0520_SL03_PL_sum_b,PS0520_SL03_PL_OD390_a,PS0520_SL03_PL_OD390_b,'PS0520_SL03_PL_sum/OD390_a','PS0520_SL03_PL_sum/OD390_b',PS0520_SL03_PL_FOM_a,PS0520_SL03_PL_FOM_b,PS0520_SL03_conc
A1,1,509.144,0.14167,21.2145,0.548404,34274.8,2420.55,1.14216e+06,62378.4,387429,1.15372,335809,382643,1.12842,339098,0.934527,387429,,1.15372,,335809,,0.934527,,2.4
A2,1,508.912,0.141746,21.2195,0.548726,38123.1,2693.31,1.2707e+06,69424.5,430971,1.20488,357688,407303,1.11543,365153,0.995415,430971,,1.20488,,357688,,0.995415,,32.4
A3,1,509.074,0.141484,21.2422,0.54793,37429.9,2637.9,1.24893e+06,68072.5,423609,1.17736,359795,398918,1.2131,328841,1.00128,423609,,1.17736,,359795,,1.00128,,13.6
A4,1,508.717,0.145806,21.47,0.566772,42509.7,3068.45,1.43364e+06,80074.6,483578,1.22521,394691,439885,1.15747,380042,1.09839,483578,,1.22521,,394691,,1.09839,,156
A5,1,508.716,0.142144,21.6538,0.554226,47555.5,3330.33,1.61753e+06,87690.1,544709,1.30302,418036,390121,1.12245,347561,1.16336,544709,,1.30302,,418036,,1.16336,,738
A6,3,509.308,0.147327,21.4252,0.572314,33692,2460.53,1.13389e+06,64070.1,382643,1.12842,339098,410312,1.08687,377516,0.94368,382643,,1.12842,,339098,,0.94368,,0
A7,1,509.261,0.144291,21.3353,0.559678,36374.2,2607.89,1.21902e+06,67607.9,412308,1.15793,356072,372122,1.02434,363279,0.990918,,412308,,1.15793,,356072,,0.990918,4
A8,1,509.246,0.142323,21.386,0.552508,40163.3,2836.42,1.34921e+06,73716.1,457001,1.19518,382369,383695,1.02814,373194,1.0641,,457001,,1.19518,,382369,,1.0641,22.8
A9,1,509.318,0.141072,21.3967,0.547756,42693.5,2987.8,1.43493e+06,77691.1,485660,1.21755,398883,,,,1.11006,,485660,,1.21755,,398883,,1.11006,19.2
A10,1,509.071,0.140085,21.3177,0.543193,48093.3,3349.08,1.61044e+06,86747.7,546567,1.14867,475824,,,,1.32418,,546567,,1.14867,,475824,,1.32418,132
A11,1,509.347,0.143156,21.3568,0.555479,46991.1,3340.68,1.57642e+06,86697.1,534739,1.04963,509454,,,,1.41777,,534739,,1.04963,,509454,,1.41777,438
