PS0520_SL08_wellLabel,PS0520_SL08_wallTag,PS0520_SL08_PL_pos,PS0520_SL08_PL_pos_s,PS0520_SL08_PL_FWHM,PS0520_SL08_PL_FWHM_s,PS0520_SL08_PL_height,PS0520_SL08_PL_height_s,PS0520_SL08_PL_area,PS0520_SL08_PL_area_s,PS0520_SL08_PL_sum,PS0520_SL08_PL_OD390,'PS0520_SL08_PL_sum/OD390',PS0520_SL08_PL_ref_sum,PS0520_SL08_PL_ref_OD390,'PS0520_SL08_PL_ref_sum/OD390',PS0520_SL08_PL_FOM,PS0520_SL08_PL_sum_a,PS0520_SL08_PL_sum_b,PS0520_SL08_PL_OD390_a,PS0520_SL08_PL_OD390_b,'PS0520_SL08_PL_sum/OD390_a','PS0520_SL08_PL_sum/OD390_b',PS0520_SL08_PL_FOM_a,PS0520_SL08_PL_FOM_b,PS0520_SL08_conc
D3,1,509.23,0.149781,21.0041,0.577791,37043.8,2781.87,1.22219e+06,70943.7,413702,0.858785,481729,,,,1.61831,413702,,0.858785,,481729,,1.61831,,132
D4,1,509.603,0.150289,22.924,0.598661,275.248,19.7553,9911.39,552.318,3944,0.00455315,,,,,,3944,,0.00455315,,,,,,738
D5,1,507.362,0.127953,22.5856,0.506471,14365.6,884.238,509653,24336.3,171288,0.550759,311004,,,,1.04478,171288,,0.550759,,311004,,1.04478,,438
D6,2,,,,,,,,,,,,,,,,,,,,,,,,0
D7,1,509.514,0.143826,21.3376,0.557912,31471,2249.01,1.05481e+06,58310.9,356888,1.22402,291571,,,,0.979499,,356888,,1.22402,,291571,,0.979499,2.4
D8,1,509.398,0.14391,21.4389,0.559172,34619.3,2468.74,1.16584e+06,64327,394097,1.1582,340266,,,,1.14308,,394097,,1.1582,,340266,,1.14308,11.4
D9,1,509.203,0.141063,21.5356,0.548979,37004.5,2579.95,1.25179e+06,67543.2,424301,1.14819,369540,,,,1.24143,,424301,,1.14819,,369540,,1.24143,156
D10,1,508.937,0.142495,21.654,0.555623,42233.3,2965.06,1.43652e+06,78073.5,488364,1.1067,441278,,,,1.48242,,488364,,1.1067,,441278,,1.48242,522
D11,1,508.758,0.141657,21.6821,0.552593,40636.7,2833.99,1.38401e+06,74723.8,471113,1.09525,430141,,,,1.44501,,471113,,1.09525,,430141,,1.44501,882
D12,2,,,,,,,,,,,,,,,,,,,,,,,,0
E1,1,509.155,0.144309,20.9798,0.556455,35143.9,2544.46,1.15817e+06,64810.6,392466,1.07575,364831,,,,1.22561,392466,,1.07575,,364831,,1.22561,,2.4
E2,1,509.434,0.143191,20.8019,0.550535,34925.9,2521.63,1.14122e+06,63657.8,387784,1.08091,358757,,,,1.2052,387784,,1.08091,,358757,,1.2052,,11.4
E3,1,509.527,0.145503,20.8833,0.560183,35932.7,2630.23,1.17872e+06,66672.3,399544,1.14609,348614,,,,1.17113,399544,,1.14609,,348614,,1.17113,,13.6
E4,1,509.309,0.147845,21.0114,0.570396,32770.5,2428.68,1.08158e+06,61959.4,366354,0.857387,427292,,,,1.43544,366354,,0.857387,,427292,,1.43544,,186
E5,1,509.368,0.170037,22.801,0.67591,222.775,18.1419,7978.87,504.345,3358,0.0779038,43104.5,,,,0.144805,3358,,0.0779038,,43104.5,,0.144805,,1764
E6,3,509.532,0.143878,21.2764,0.557548,30772.3,2203.49,1.02844e+06,56958.9,348130,1.22447,284310,,,,0.955107,348130,,1.22447,,284310,,0.955107,,0
E7,1,509.536,0.142796,21.2383,0.553005,30035.5,2136.75,1.00201e+06,55129.8,339494,1.24352,273010,,,,0.917147,,339494,,1.24352,,273010,,0.917147,2.8
E8,1,509.377,0.144245,21.5938,0.561917,34680.6,2468.75,1.17635e+06,64815.5,397103,1.25586,316199,,,,1.06224,,397103,,1.25586,,316199,,1.06224,13.6
E9,1,509.113,0.146404,21.8016,0.572285,43056.8,3094.04,1.47452e+06,82053.5,498958,1.13999,437688,,,,1.47036,,498958,,1.13999,,437688,,1.47036,32.4
E10,1,509.169,0.144004,21.5294,0.560363,34506.3,2456.33,1.16694e+06,64287.1,394754,1.13088,349069,,,,1.17266,,394754,,1.13088,,349069,,1.17266,90
E11,1,508.681,0.142025,21.556,0.55286,39690.8,2784.33,1.34393e+06,72965.9,458286,1.10773,413715,,,,1.38983,,458286,,1.10773,,413715,,1.38983,1482
E12,3,509.369,0.149063,21.4245,0.579052,29494.8,2179.43,992603,56748.6,334911,1.07959,310221,,,,1.04215,,334911,,1.07959,,310221,,1.04215,0
F1,1,509.18,0.14464,21.032,0.558212,35182.9,2549.45,1.16233e+06,65107.2,393538,1.12518,349755,,,,1.17496,393538,,1.12518,,349755,,1.17496,,2.8
F2,1,509.28,0.150565,21.1366,0.582095,35183.4,2646.38,1.16814e+06,67935.4,394700,1.04439,377925,,,,1.2696,394700,,1.04439,,377925,,1.2696,,22.8
F3,1,509.256,0.14563,20.8997,0.560811,38727.5,2835.91,1.27139e+06,71944.8,431754,0.895015,482399,,,,1.62056,431754,,0.895015,,482399,,1.62056,,90
