PS0525_SL09_wellLabel,PS0525_SL09_wallTag,PS0525_SL09_PL_pos,PS0525_SL09_PL_pos_s,PS0525_SL09_PL_FWHM,PS0525_SL09_PL_FWHM_s,PS0525_SL09_PL_height,PS0525_SL09_PL_height_s,PS0525_SL09_PL_area,PS0525_SL09_PL_area_s,PS0525_SL09_PL_sum,PS0525_SL09_PL_OD390,'PS0525_SL09_PL_sum/OD390',PS0525_SL09_PL_ref_sum,PS0525_SL09_PL_ref_OD390,'PS0525_SL09_PL_ref_sum/OD390',PS0525_SL09_PL_FOM,PS0525_SL09_PL_sum_a,PS0525_SL09_PL_sum_b,PS0525_SL09_PL_OD390_a,PS0525_SL09_PL_OD390_b,'PS0525_SL09_PL_sum/OD390_a','PS0525_SL09_PL_sum/OD390_b',PS0525_SL09_PL_FOM_a,PS0525_SL09_PL_FOM_b,PS0525_SL09_conc
A1,1,509.419,0.145021,21.4099,0.563218,49048.4,3527.42,1.64952e+06,91782,557758,1.82028,306413,581991,1.77267,328313,0.936848,557758,,1.82028,,306413,,0.936848,,2.4
A2,1,509.327,0.143607,21.4168,0.557785,55442.4,3947.6,1.86516e+06,102750,632197,1.90198,332390,598694,1.85418,322888,1.01627,632197,,1.90198,,332390,,1.01627,,54.4
A3,1,509.473,0.145259,21.5344,0.565312,56362.5,4046.73,1.90653e+06,105938,643830,1.83215,351408,579882,1.86782,310459,1.07442,643830,,1.83215,,351408,,1.07442,,45.8
A4,1,509.439,0.144545,21.51,0.562305,58806.8,4204.16,1.98696e+06,109928,672907,1.9004,354087,611368,1.74714,349925,1.08261,672907,,1.9004,,354087,,1.08261,,156
A5,1,509.405,0.145613,21.5721,0.567046,59026.1,4244.08,2.00012e+06,111308,676714,1.80186,375563,563311,1.87082,301103,1.14827,676714,,1.80186,,375563,,1.14827,,312
A6,3,509.579,0.145327,21.5474,0.565706,50967.4,3659.88,1.72507e+06,95871.2,581991,1.77267,328313,579988,1.71943,337315,1.00381,581991,,1.77267,,328313,,1.00381,,0
A7,1,509.614,0.144986,21.4825,0.56377,49949.7,3584.52,1.68553e+06,93599.9,569291,1.81387,313854,552090,1.68206,328223,0.959598,,569291,,1.81387,,313854,,0.959598,4
A8,1,509.557,0.142877,21.4362,0.555139,50329.6,3563.59,1.69469e+06,92842.9,573884,1.77883,322619,600530,1.77505,338317,0.986398,,573884,,1.77883,,322619,,0.986398,9.6
A9,1,509.529,0.147557,21.5817,0.574713,54069.2,3938.63,1.83297e+06,103346,618219,1.84782,334567,,,,1.02293,,618219,,1.84782,,334567,,1.02293,32.4
A10,1,509.405,0.144316,21.5328,0.561626,57759.5,4120.27,1.95364e+06,107854,661176,1.83651,360017,,,,1.10074,,661176,,1.83651,,360017,,1.10074,132
A11,1,509.263,0.145246,21.6398,0.566242,64904.1,4646.63,2.2062e+06,122267,746227,1.95334,382026,,,,1.16803,,746227,,1.95334,,382026,,1.16803,882
A12,3,509.511,0.150782,21.6323,0.587766,52352.4,3891.76,1.77893e+06,102367,598694,1.85418,322888,,,,0.98722,,598694,,1.85418,,322888,,0.98722,0
B1,1,509.437,0.148926,21.5901,0.580119,50415.3,3705.68,1.70977e+06,97272.9,575708,1.87937,306330,,,,0.936595,575708,,1.87937,,306330,,0.936595,,4
B2,1,509.512,0.139447,21.3633,0.541156,54759.4,3791.52,1.83758e+06,98428.2,623074,1.87228,332788,,,,1.01749,623074,,1.87228,,332788,,1.01749,,9.6
B3,1,509.505,0.143264,21.5242,0.557457,56355.6,3991.77,1.90539e+06,104447,644818,1.85548,347521,,,,1.06254,644818,,1.85548,,347521,,1.06254,,90
B4,1,509.355,0.147326,21.6885,0.574824,61703.8,4475.17,2.10213e+06,118034,710414,1.84954,384103,,,,1.17438,710414,,1.84954,,384103,,1.17438,,624
B5,1,509.296,0.14274,21.5966,0.556074,64494.5,4542.78,2.1879e+06,119284,742382,1.86504,398052,,,,1.21703,742382,,1.86504,,398052,,1.21703,,1764
B6,2,,,,,,,,,,,,,,,,,,,,,,,,0
B7,1,509.676,0.143267,21.4429,0.556723,53383.5,3789.52,1.79808e+06,98761.4,608163,1.78934,339881,,,,1.03918,,608163,,1.78934,,339881,,1.03918,3.4
B8,1,509.606,0.144516,21.5182,0.562275,52186.9,3729.4,1.76395e+06,97553.2,596070,1.79639,331815,,,,1.01451,,596070,,1.79639,,331815,,1.01451,16.2
B9,1,509.478,0.146579,21.593,0.571007,54397.2,3935.08,1.84505e+06,103309,623548,1.90088,328032,,,,1.00295,,623548,,1.90088,,328032,,1.00295,108
B10,1,509.291,0.146499,21.6188,0.570932,60965.7,4404.78,2.07032e+06,115785,700110,1.7888,391385,,,,1.19665,,700110,,1.7888,,391385,,1.19665,438
B11,1,509.239,0.147957,21.6153,0.576573,61731.4,4504.84,2.09598e+06,118395,708265,1.78197,397462,,,,1.21523,,708265,,1.78197,,397462,,1.21523,366
B12,2,,,,,,,,,,,,,,,,,,,,,,,,0
C1,1,509.396,0.144827,21.3299,0.561715,51947.5,3738.87,1.74049e+06,96902.2,589998,1.82714,322908,,,,0.98728,589998,,1.82714,,322908,,0.98728,,2
C2,1,509.453,0.144626,21.46,0.562153,58032.3,4156.61,1.95623e+06,108419,661691,1.86079,355597,,,,1.08723,661691,,1.86079,,355597,,1.08723,,27.2
C3,1,509.542,0.144771,21.4549,0.562675,54658.8,3919.5,1.84207e+06,102209,623206,1.87557,332276,,,,1.01592,623206,,1.87557,,332276,,1.01592,,22.8
C4,1,509.593,0.145492,21.5703,0.566566,55274,3971.27,1.87282e+06,104144,632601,1.84535,342807,,,,1.04812,632601,,1.84535,,342807,,1.04812,,78
C5,1,509.513,0.14423,21.6174,0.562088,59792.3,4253.36,2.03033e+06,111797,686982,1.89213,363074,,,,1.11009,686982,,1.89213,,363074,,1.11009,,366
C6,3,509.732,0.145179,21.475,0.564453,50836.4,3653.75,1.71485e+06,95372.8,579882,1.86782,310459,,,,0.949217,579882,,1.86782,,310459,,0.949217,,0
C7,1,509.809,0.14661,21.5936,0.571146,54809.2,3965.74,1.85908e+06,104117,626683,1.9046,329037,,,,1.00602,,626683,,1.9046,,329037,,1.00602,5.6
