PS0520_SL05_wellLabel,PS0520_SL05_wallTag,PS0520_SL05_PL_pos,PS0520_SL05_PL_pos_s,PS0520_SL05_PL_FWHM,PS0520_SL05_PL_FWHM_s,PS0520_SL05_PL_height,PS0520_SL05_PL_height_s,PS0520_SL05_PL_area,PS0520_SL05_PL_area_s,PS0520_SL05_PL_sum,PS0520_SL05_PL_OD390,'PS0520_SL05_PL_sum/OD390',PS0520_SL05_PL_ref_sum,PS0520_SL05_PL_ref_OD390,'PS0520_SL05_PL_ref_sum/OD390',PS0520_SL05_PL_FOM,PS0520_SL05_PL_sum_a,PS0520_SL05_PL_sum_b,PS0520_SL05_PL_OD390_a,PS0520_SL05_PL_OD390_b,'PS0520_SL05_PL_sum/OD390_a','PS0520_SL05_PL_sum/OD390_b',PS0520_SL05_PL_FOM_a,PS0520_SL05_PL_FOM_b,PS0520_SL05_conc
A1,1,509.06,0.1465,21.2553,0.567478,27146.8,1980.32,906370,51136.4,306768,1.04455,293683,258346,1.04893,246295,1.14477,306768,,1.04455,,293683,,1.14477,,2
A2,1,511.288,0.16052,21.4261,0.623511,183.055,14.5637,6160.89,379.24,2515,-0.028633,,274427,1.07076,256292,,2515,,-0.028633,,,,,,54.4
A3,1,510.718,0.149002,21.1282,0.57597,9917.95,738.417,329158,18948,111677,0.223541,499583,265413,1.10131,240997,1.94735,111677,,0.223541,,499583,,1.94735,,13.6
A4,1,511.208,0.153754,21.2873,0.595864,587.014,44.9008,19628.6,1161.27,7069,-0.025607,,304869,1.08015,282246,,7069,,-0.025607,,,,,,216
A5,1,511.094,0.153947,21.0351,0.594139,345.663,26.656,11421.3,680.836,4459,-0.0147945,,266765,1.11975,238235,,4459,,-0.0147945,,,,,,522
A6,3,509.311,0.147246,21.3088,0.570892,22838.9,1672.19,764459,43294.1,258346,1.04893,246295,252811,1.0078,250855,0.960048,258346,,1.04893,,246295,,0.960048,,0
A7,1,509.279,0.14581,21.2467,0.564742,24423.4,1773.73,815114,45782.4,275779,1.06646,258593,261064,0.994426,262527,1.00799,,275779,,1.06646,,258593,,1.00799,2.8
A8,1,509.219,0.146826,21.2687,0.568882,26194.8,1914.48,875136,49469.1,296157,1.11438,265759,288264,1.04858,274908,1.03592,,296157,,1.11438,,265759,,1.03592,45.8
A9,1,509.258,0.142829,21.1893,0.55267,26174.5,1864.93,871193,47999.9,295558,1.09254,270525,,,,1.0545,,295558,,1.09254,,270525,,1.0545,32.4
A10,1,509.119,0.148052,21.24,0.573349,25784.5,1901.67,860266,49068.4,291107,1.03746,280596,,,,1.09375,,291107,,1.03746,,280596,,1.09375,108
