'0421_SL1_wellLabel','0421_SL1_wallTag','0421_SL1_PL_pos','0421_SL1_PL_pos_s','0421_SL1_PL_FWHM','0421_SL1_PL_FWHM_s','0421_SL1_PL_height','0421_SL1_PL_height_s','0421_SL1_PL_area','0421_SL1_PL_area_s','0421_SL1_PL_sum','0421_SL1_PL_OD390','0421_SL1_PL_sum/OD390','0421_SL1_PL_ref','0421_SL1_PL_FOM','0421_SL1_PL_sum/OD390_a','0421_SL1_PL_sum/OD390_b','0421_SL1_PL_FOM_a','0421_SL1_PL_FOM_b','0421_SL1_conc'
G1,1,513.658,0.145119,20.084,0.515516,1310.97,90.2946,41358.1,2175.69,14637,1.22156,11982.2,,0.856051,11982.2,,0.856051,,5.6
G2,1,513.872,0.1464,20.1961,0.52085,1872.53,129.625,59403.8,3141.52,21007,1.24374,16890.2,,1.20669,16890.2,,1.20669,,27.6
G3,1,513.936,0.141106,20.0573,0.501183,2376.2,159.317,74864.4,3833.58,26547,1.18027,22492.4,,1.60694,22492.4,,1.60694,,39.8
G4,1,513.628,0.148301,20.2381,0.527806,2549.21,178.47,81038.9,4334.6,28619,1.10192,25971.9,,1.85552,25971.9,,1.85552,,86
G5,1,513.544,0.144158,20.1876,0.512718,3385.97,230.819,107371,5591.47,37968,1.01217,37511.5,,2.67996,37511.5,,2.67996,,184
G6,3,513.766,0.144779,20.1366,0.514674,1402.45,96.2004,44360,2324.31,15694,1.21788,12886.3,,0.920645,12886.3,,0.920645,,0
G7,1,513.681,0.145233,20.1387,0.516275,1505.02,103.546,47609.4,2502.06,16849,1.18288,14244,,1.01764,,14244,,1.01764,8
G8,1,513.641,0.144579,20.1571,0.514054,1744.5,119.403,55235.5,2887.94,19542,1.18681,16466,,1.17639,,16466,,1.17639,23.8
G9,1,513.652,0.142209,20.0395,0.504904,1673.17,113.107,52668.2,2719.1,18687,1.12525,16607,,1.18646,,16607,,1.18646,15.4
G10,1,513.416,0.146253,20.1879,0.520128,2305.27,159.416,73102.5,3861.79,25837,1.12294,23008.4,,1.64381,,23008.4,,1.64381,46
G11,1,513.146,0.143427,20.2236,0.510212,3712.79,251.428,117945,6101.86,41717,1.13116,36879.9,,2.63483,,36879.9,,2.63483,344
G12,3,513.738,0.143928,20.1568,0.511766,1222.03,83.2714,38692.1,2014.03,13724,1.09779,12501.5,,0.893154,,12501.5,,0.893154,0
H1,1,513.903,0.14363,20.1404,0.510656,1690.27,115.018,53474.1,2779.55,18926,1.24225,15235.2,,1.08846,15235.2,,1.08846,,30
H2,1,514.006,0.145873,20.2163,0.519149,1477.72,101.865,46926.1,2471.34,16590,1.1888,13955.3,,0.997016,13955.3,,0.997016,,17.8
H3,1,513.907,0.145417,20.1955,0.517362,2339.09,160.843,74202.9,3898,26233,1.19425,21966.1,,1.56933,21966.1,,1.56933,,40
H4,1,513.462,0.143892,20.1404,0.51145,3113.39,212.18,98496.8,5127.46,34880,1.03152,33814.3,,2.41582,33814.3,,2.41582,,126
H5,1,513.623,0.14537,20.2876,0.517689,3365.94,230.6,107264,5614.91,37857,0.895144,42291.5,,3.02146,42291.5,,3.02146,,344
H6,2,,,,,,,,,,,,,,,,,,0
H7,1,513.559,0.14353,20.158,0.510302,1791.07,121.69,56712.6,2943.38,20072,1.1254,17835.4,,1.27423,,17835.4,,1.27423,35
H8,1,513.601,0.142658,20.0753,0.506703,1838.24,124.497,57967.3,2998.46,20543,1.13663,18073.7,,1.29125,,18073.7,,1.29125,25.2
H9,1,513.37,0.145625,20.2294,0.518145,2789.61,191.8,88643.2,4656.19,31320,1.18721,26381.2,,1.88477,,26381.2,,1.88477,76
H10,1,513.186,0.14623,20.2731,0.520513,3669.85,252.954,116866,6154.5,41272,1.19218,34618.8,,2.47329,,34618.8,,2.47329,208
H11,1,513.148,0.14784,20.3217,0.526542,3830.77,266.498,122283,6500.19,43119,1.17398,36728.8,,2.62404,,36728.8,,2.62404,268
H12,2,,,,,,,,,,,,,,,,,,0
