'0421_SL5_wellLabel','0421_SL5_wallTag','0421_SL5_PL_pos','0421_SL5_PL_pos_s','0421_SL5_PL_FWHM','0421_SL5_PL_FWHM_s','0421_SL5_PL_height','0421_SL5_PL_height_s','0421_SL5_PL_area','0421_SL5_PL_area_s','0421_SL5_PL_sum','0421_SL5_PL_OD390','0421_SL5_PL_sum/OD390','0421_SL5_PL_ref','0421_SL5_PL_FOM','0421_SL5_PL_sum/OD390_a','0421_SL5_PL_sum/OD390_b','0421_SL5_PL_FOM_a','0421_SL5_PL_FOM_b','0421_SL5_conc'
A1,1,513.403,0.141155,20.0569,0.50119,2935.88,196.84,92495.9,4736.27,32800,1.46499,22389.2,22823.7,0.976456,22389.2,,0.976456,,5.6
A2,1,513.417,0.147835,20.2586,0.526211,2863.71,199.688,91129.2,4854.96,32146,1.41769,22675,22601.9,0.988919,22675,,0.988919,,25.2
A3,1,513.475,0.148715,20.2907,0.529572,2994.62,209.837,95446.1,5110.13,33667,1.43615,23442.5,22317.3,1.02239,23442.5,,1.02239,,17.8
A4,1,513.488,0.147187,20.2978,0.52418,3108.18,215.505,99099.8,5250.07,34956,1.50639,23205.2,23347.4,1.01204,23205.2,,1.01204,,60
A5,1,513.554,0.146579,20.3152,0.522147,3406.78,235.104,108714,5732.65,38357,1.55258,24705.3,22624.9,1.07747,24705.3,,1.07747,,144
A6,3,513.505,0.147489,20.2405,0.524892,3013.41,209.778,95807.6,5095.6,33845,1.48289,22823.7,22863.9,0.995404,22823.7,,0.995404,,0
A7,1,513.482,0.142929,20.1195,0.507901,3085.76,209.043,97521.1,5046.21,34551,1.46294,23617.5,22973,1.03003,,23617.5,,1.03003,5.6
A8,1,513.488,0.145993,20.1939,0.519266,3155.96,217.822,100109,5278.3,35408,1.50278,23561.7,23880.4,1.02759,,23561.7,,1.02759,37.2
A9,1,513.532,0.146299,20.2726,0.520871,3212.84,221.617,102310,5392.02,36116,1.53215,23572.2,,1.02805,,23572.2,,1.02805,15.4
A10,1,513.442,0.145058,20.2085,0.516017,3509.34,240.531,111398,5832.96,39398,1.57805,24966.2,,1.08885,,24966.2,,1.08885,76
A11,1,512.572,0.144922,20.2203,0.515311,4306.4,294.575,136779,7147.5,48359,1.63034,29662,,1.29364,,29662,,1.29364,268
A12,3,513.497,0.143814,20.1754,0.511404,3087.33,210.041,97841.9,5084.91,34658,1.53341,22601.9,,0.985732,,22601.9,,0.985732,0
B1,1,513.395,0.144841,20.189,0.515108,2802.84,191.943,88885.9,4650.01,31427,1.45758,21561,,0.940336,21561,,0.940336,,27.6
B2,1,513.432,0.144275,20.1951,0.513143,3136.89,213.94,99509.6,5184.54,35195,1.4846,23706.6,,1.03391,23706.6,,1.03391,,19
B3,1,513.492,0.146205,20.2434,0.520335,3162.63,218.225,100566,5301.55,35506,1.43221,24791.1,,1.08121,24791.1,,1.08121,,52
B4,1,513.495,0.145269,20.2096,0.516794,3308.05,227.064,105015,5506.73,37110,1.50017,24737.1,,1.07886,24737.1,,1.07886,,112
B5,1,513.604,0.14504,20.2454,0.51624,3194.16,218.648,101579,5312.4,35879,1.54174,23271.7,,1.01494,23271.7,,1.01494,,390
B6,2,,,,,,,,,,,,,,,,,,0
B7,1,513.635,0.145783,20.2944,0.519205,3140.97,215.748,100129,5255.14,35340,1.57015,22507.4,,0.981611,,22507.4,,0.981611,32.4
B8,1,513.575,0.143297,20.1907,0.509685,3190.66,216.187,101193,5237.86,35798,1.58151,22635.3,,0.987188,,22635.3,,0.987188,19
