'0421_SL4_wellLabel','0421_SL4_wallTag','0421_SL4_PL_pos','0421_SL4_PL_pos_s','0421_SL4_PL_FWHM','0421_SL4_PL_FWHM_s','0421_SL4_PL_height','0421_SL4_PL_height_s','0421_SL4_PL_area','0421_SL4_PL_area_s','0421_SL4_PL_sum','0421_SL4_PL_OD390','0421_SL4_PL_sum/OD390','0421_SL4_PL_ref','0421_SL4_PL_FOM','0421_SL4_PL_sum/OD390_a','0421_SL4_PL_sum/OD390_b','0421_SL4_PL_FOM_a','0421_SL4_PL_FOM_b','0421_SL4_conc'
D2,1,513.297,0.144979,20.1655,0.515417,3459.45,237.31,109581.0,5742.11,38756.0,1.36373,28419.1,,1.27127,28419.1,,1.27127,,25.2
D3,1,513.631,0.148133,20.3257,0.527777,3058.81,213.263,97660.4,5202.92,34435.0,1.45531,23661.6,,1.05845,23661.6,,1.05845,,98.0
D4,1,513.182,0.144684,20.2318,0.514746,4475.23,305.639,142223.0,7420.6,50251.0,1.23186,40792.8,,1.82478,40792.8,,1.82478,,390.0
D5,1,513.23,0.143789,20.211,0.511449,4227.74,287.166,134219.0,6964.7,47476.0,1.26141,37637.2,,1.68362,37637.2,,1.68362,,126.0
D6,2,,,,,,,,,,,,,,,,,,0.0
D7,1,513.686,0.148141,20.3639,0.528073,3321.8,231.318,106256.0,5654.44,37433.0,1.42567,26256.3,,1.17452,,26256.3,,1.17452,27.6
D8,1,513.631,0.144338,20.2359,0.513691,3563.8,242.854,113281.0,5897.67,40034.0,1.42171,28159.0,,1.25963,,28159.0,,1.25963,39.8
D9,1,513.525,0.145286,20.3117,0.517508,4414.49,301.988,140846.0,7362.2,49723.0,1.37911,36054.3,,1.61282,,36054.3,,1.61282,76.0
D10,1,513.35,0.144849,20.3473,0.516122,5503.75,374.867,175908.0,9155.5,62154.0,1.34032,46372.6,,2.07438,,46372.6,,2.07438,268.0
D11,1,513.354,0.145917,20.3257,0.519789,4645.35,318.969,148315.0,7781.69,52370.0,1.38201,37894.2,,1.69512,,37894.2,,1.69512,112.0
D12,2,,,,,,,,,,,,,,,,,,0.0
E1,1,513.39,0.14428,20.1831,0.513074,2682.97,183.06,85059.8,4433.46,30089.0,1.31559,22871.0,,1.02309,22871.0,,1.02309,,3.4
E2,1,513.389,0.145933,20.2156,0.519159,3135.54,216.146,99567.8,5243.53,35192.0,1.30185,27032.3,,1.20924,27032.3,,1.20924,,20.4
E3,1,513.4,0.144606,20.255,0.51469,3411.31,232.703,108536.0,5656.62,38351.0,1.33359,28757.7,,1.28642,28757.7,,1.28642,,35.0
E4,1,513.707,0.144664,20.2279,0.514822,2975.19,203.267,94533.5,4934.3,33410.0,1.4787,22594.1,,1.0107,22594.1,,1.0107,,46.0
E5,1,513.232,0.145781,20.2287,0.518646,4097.55,282.006,130200.0,6845.78,46031.0,1.24974,36832.4,,1.64762,36832.4,,1.64762,,112.0
E6,3,513.835,0.144725,20.2393,0.515152,2639.64,180.363,83919.0,4380.9,29634.0,1.36791,21663.7,,0.969079,21663.7,,0.969079,,0.0
E7,1,513.827,0.14386,20.2003,0.511828,2705.32,183.994,85841.1,4460.13,30363.0,1.3792,22015.0,,0.984795,,22015.0,,0.984795,3.4
E8,1,513.697,0.145576,20.3211,0.51866,3254.41,223.03,103882.0,5439.94,36665.0,1.41348,25939.6,,1.16035,,25939.6,,1.16035,37.2
E9,1,513.655,0.146844,20.3134,0.523113,3241.45,224.128,103429.0,5464.56,36494.0,1.40284,26014.5,,1.1637,,26014.5,,1.1637,25.2
E10,1,513.581,0.14335,20.2453,0.510216,3739.6,252.999,118924.0,6146.97,42029.0,1.3545,31029.1,,1.38802,,31029.1,,1.38802,40.0
E11,1,513.318,0.145626,20.3254,0.518738,5019.62,343.974,160261.0,8391.57,56614.0,1.33575,42383.8,,1.89595,,42383.8,,1.89595,144.0
E12,3,513.683,0.144237,20.1997,0.51312,2753.32,187.734,87361.6,4550.62,30910.0,1.35285,22848.1,,1.02206,,22848.1,,1.02206,0.0
F1,1,513.364,0.146519,20.2412,0.521399,2741.55,189.575,87167.1,4604.97,30790.0,1.37267,22430.7,,1.00339,22430.7,,1.00339,,15.4
F2,1,513.291,0.146039,20.2283,0.519583,3446.23,237.614,109503.0,5768.06,38682.0,1.3107,29512.5,,1.32018,29512.5,,1.32018,,30.0
F3,1,513.591,0.144858,20.2094,0.515361,3158.71,216.217,100273.0,5243.62,35430.0,1.47519,24017.2,,1.07436,24017.2,,1.07436,,68.0
F4,1,513.243,0.143399,20.2205,0.510125,4451.97,301.48,141405.0,7315.44,49986.0,1.29002,38748.2,,1.73332,38748.2,,1.73332,,208.0
F5,1,513.124,0.147235,20.266,0.524021,4178.81,290.071,133027.0,7054.99,46971.0,1.16454,40334.4,,1.80428,40334.4,,1.80428,,304.0
F6,2,,,,,,,,,,,,,,,,,,0.0
F7,1,513.691,0.145513,20.3051,0.51833,3293.25,225.716,105038.0,5500.94,37046.0,1.3998,26465.3,,1.18387,,26465.3,,1.18387,30.0
F8,1,513.629,0.147883,20.3036,0.526742,3044.69,212.08,97103.4,5168.21,34257.0,1.37543,24906.4,,1.11414,,24906.4,,1.11414,23.8
F9,1,513.457,0.14714,20.3395,0.524271,4308.56,298.206,137655.0,7280.3,48545.0,1.40216,34621.6,,1.54872,,34621.6,,1.54872,68.0
F10,1,513.406,0.144185,20.3588,0.513845,5178.26,350.956,165598.0,8576.56,58455.0,1.36704,42760.3,,1.91279,,42760.3,,1.91279,184.0
F11,1,513.312,0.144621,20.4009,0.515632,5676.9,385.333,181920.0,9436.84,64264.0,1.31242,48966.2,,2.1904,,48966.2,,2.1904,304.0
F12,2,,,,,,,,,,,,,,,,,,0.0
G1,1,513.387,0.145912,20.2395,0.519233,2449.46,168.687,77873.8,4097.24,27505.0,1.32489,20760.2,,0.928663,20760.2,,0.928663,,5.6
G2,1,513.461,0.144443,20.2087,0.513838,2843.5,194.069,90263.4,4706.3,31896.0,1.34215,23764.9,,1.06307,23764.9,,1.06307,,12.8
G3,1,513.409,0.143473,20.181,0.510196,3008.69,204.152,95376.0,4943.76,33749.0,1.31505,25663.6,,1.14801,25663.6,,1.14801,,22.6
G4,1,513.6,0.146749,20.251,0.522356,2750.84,190.482,87504.8,4629.4,30904.0,1.43538,21530.2,,0.963111,21530.2,,0.963111,,76.0
G5,1,513.085,0.143448,20.1999,0.510119,3895.05,264.015,123590.0,6399.5,43716.0,1.15315,37909.9,,1.69582,37909.9,,1.69582,,236.0
G6,3,513.696,0.145538,20.1976,0.517739,2619.75,180.253,83114.9,4368.8,29372.0,1.37132,21418.8,,0.958124,21418.8,,0.958124,,0.0
G7,1,513.733,0.144348,20.2864,0.514076,2598.46,176.789,82802.0,4304.42,29226.0,1.33465,21897.9,,0.979556,,21897.9,,0.979556,5.6
G8,1,513.651,0.143212,20.2144,0.509554,2950.02,199.611,93670.7,4842.14,33121.0,1.36645,24238.7,,1.08427,,24238.7,,1.08427,20.4
