Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
A1,445,5,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Temperature (C):,25.0,Reagent1,m-Xylene,,,mk_HighVolume_EtOH_DispenseJet_Empty
C1,410,40,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Stir Rate (rpm):,750.0,Reagent2,Octadecylamine,6.0,100.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
E1,433,17,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Mixing time1 (s):,600.0,Reagent3,Octadecylamine,6.0,1000.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
G1,422,28,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Mixing time2 (s):,600.0,Reagent4,Oleylamine,7.0,100.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
B1,348,0,0,0,0,102,0,0,0,50,Symyx_96_well_0003,Reaction time (s):,60.0,Reagent5,Oleylamine,7.0,1000.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
D1,288,0,0,0,0,162,0,0,0,50,Symyx_96_well_0003,,,Reagent6,Octadecylamine,6.0,100.0,mk_StandardVolume_EtOH_DispenseJet_Empty
F1,397,0,0,0,0,53,0,0,0,50,Symyx_96_well_0003,,,Reagent7,Octadecylamine,6.0,1000.0,mk_StandardVolume_EtOH_DispenseJet_Empty
H1,361,0,0,0,0,89,0,0,0,50,Symyx_96_well_0003,,,Reagent8,Oleylamine,7.0,100.0,mk_StandardVolume_EtOH_DispenseJet_Empty
A2,300,0,0,0,0,150,0,0,0,50,Symyx_96_well_0003,,,Reagent9,Oleylamine,7.0,1000.0,mk_StandardVolume_EtOH_DispenseJet_Empty
C2,355,0,0,0,0,95,0,0,0,50,Symyx_96_well_0003,,,Reagent10,CPB20220421001,,,mk_Tip_50ul_EtOH_DispenseJet_Empty
E2,251,0,0,0,0,199,0,0,0,50,Symyx_96_well_0003,,,,,,,
G2,275,0,0,0,0,175,0,0,0,50,Symyx_96_well_0003,,,,,,,
B2,380,0,0,0,0,70,0,0,0,50,Symyx_96_well_0003,,,,,,,
D2,312,0,0,0,0,138,0,0,0,50,Symyx_96_well_0003,,,,,,,
F2,331,0,0,0,0,119,0,0,0,50,Symyx_96_well_0003,,,,,,,
H2,337,0,0,0,0,113,0,0,0,50,Symyx_96_well_0003,,,,,,,
A3,386,0,0,0,0,64,0,0,0,50,Symyx_96_well_0003,,,,,,,
