'0421_SL2_wellLabel','0421_SL2_wallTag','0421_SL2_PL_pos','0421_SL2_PL_pos_s','0421_SL2_PL_FWHM','0421_SL2_PL_FWHM_s','0421_SL2_PL_height','0421_SL2_PL_height_s','0421_SL2_PL_area','0421_SL2_PL_area_s','0421_SL2_PL_sum','0421_SL2_PL_OD390','0421_SL2_PL_sum/OD390','0421_SL2_PL_ref','0421_SL2_PL_FOM','0421_SL2_PL_sum/OD390_a','0421_SL2_PL_sum/OD390_b','0421_SL2_PL_FOM_a','0421_SL2_PL_FOM_b','0421_SL2_conc'
A1,1,513.517,0.144757,20.1222,0.514427,1784.29,122.414,56397.4,2955.42,19967,1.26921,15731.9,16846.8,0.958623,15731.9,,0.958623,,1
A2,1,514.585,0.150985,20.2656,0.537851,121.697,8.6716,3873.98,210.92,1392,0.0423603,32860.9,16867.9,2.00239,32860.9,,2.00239,,19
A3,1,514.925,0.134595,19.5113,0.47512,87.2209,5.69098,2673.16,133.079,997,-0.0472548,-21098.4,15535.2,-1.28563,-21098.4,,-1.28563,,32.4
A4,1,515.373,0.144132,19.9952,0.511949,68.8319,4.72841,2161.9,113.42,805,-0.00695503,-115744,17330.7,-7.05286,-115744,,-7.05286,,52
A5,1,515.388,0.181493,20.3716,0.647666,26.405,2.25465,844.947,55.1399,345,-0.0225938,-15269.6,15630.9,-0.930458,-15269.6,,-0.930458,,268
A6,3,513.608,0.147381,20.269,0.524725,1856.54,129.031,59109.4,3138.82,20863,1.23839,16846.8,17010.6,1.02656,16846.8,,1.02656,,0
A7,1,513.722,0.142727,20.1908,0.507702,2052.29,138.516,65089.7,3356.06,23022,1.24557,18483.1,15634.3,1.12627,,18483.1,,1.12627,8
A8,1,513.795,0.147216,20.2971,0.52438,1878.99,130.337,59907.2,3175.17,21138,1.25908,16788.4,16430.6,1.02301,,16788.4,,1.02301,27.6
A9,1,513.782,0.14606,20.2475,0.51994,1947.01,134.222,61924.1,3261.51,21884,1.29285,16926.9,,1.03144,,16926.9,,1.03144,10.6
A10,1,513.762,0.145065,20.2105,0.516159,2033.87,139.431,64568.4,3381.65,22814,1.26638,18015.1,,1.09776,,18015.1,,1.09776,52
A11,1,513.51,0.145749,20.2184,0.51856,2397.86,165.084,76153.4,4005.4,26908,1.18911,22628.8,,1.37889,,22628.8,,1.37889,304
