'0421_SL3_wellLabel','0421_SL3_wallTag','0421_SL3_PL_pos','0421_SL3_PL_pos_s','0421_SL3_PL_FWHM','0421_SL3_PL_FWHM_s','0421_SL3_PL_height','0421_SL3_PL_height_s','0421_SL3_PL_area','0421_SL3_PL_area_s','0421_SL3_PL_sum','0421_SL3_PL_OD390','0421_SL3_PL_sum/OD390','0421_SL3_PL_ref','0421_SL3_PL_FOM','0421_SL3_PL_sum/OD390_a','0421_SL3_PL_sum/OD390_b','0421_SL3_PL_FOM_a','0421_SL3_PL_FOM_b','0421_SL3_conc'
A1,1,513.521,0.144002,20.1262,0.51177,2390.69,163.14,75579.6,3939.47,26755,1.30242,20542.6,23165.4,0.938815,20542.6,,0.938815,,1
A2,1,513.453,0.143901,20.1581,0.51159,3411.17,232.344,108012,5619.86,38217,1.29941,29410.9,21640.2,1.34411,29410.9,,1.34411,,30
A3,1,513.619,0.147375,20.3069,0.52495,3091.34,214.564,98607.6,5229.63,34775,1.28759,27007.8,20717.7,1.23428,27007.8,,1.23428,,12.8
A4,1,513.58,0.145839,20.2868,0.519339,3953.27,271.709,125977,6615.64,44462,1.25017,35564.9,22865.1,1.62535,35564.9,,1.62535,,40
A5,1,513.3,0.146617,20.4275,0.522917,4977.99,342.244,159730,8392.92,56334,0.977413,57635.8,21264.1,2.63401,57635.8,,2.63401,,390
A6,3,513.617,0.145247,20.1775,0.516549,2506.72,172.24,79449.9,4170.28,28090,1.21258,23165.4,22389.5,1.05868,23165.4,,1.05868,,0
A7,1,513.602,0.143583,20.1512,0.510462,2545.42,173.052,80571.2,4184.25,28516,1.24246,22951.2,22315.1,1.04889,,22951.2,,1.04889,1
A8,1,513.74,0.144192,20.2146,0.513071,2985.25,203.388,94790.3,4933.85,33502,1.36981,24457.5,20694.1,1.11773,,24457.5,,1.11773,15.4
A9,1,513.734,0.144904,20.2493,0.515821,3452.34,236.088,109810,5737.33,38799,1.37798,28156.4,,1.28677,,28156.4,,1.28677,32.4
A10,1,513.715,0.147195,20.3123,0.524376,3334.96,231.163,106407,5635.8,37532,1.3289,28242.8,,1.29072,,28242.8,,1.29072,40
A11,1,513.571,0.144588,20.2765,0.514816,5028.72,342.78,160166,8341.66,56565,1.41519,39969.9,,1.82666,,39969.9,,1.82666,236
A12,3,513.646,0.145689,20.2176,0.518387,2544.1,175.102,80794.9,4248.32,28573,1.32037,21640.2,,0.988977,,21640.2,,0.988977,0
B1,1,513.394,0.146741,20.254,0.522279,3012.6,208.545,95845.6,5069.1,33826,1.28243,26376.5,,1.20543,26376.5,,1.20543,,20.4
B2,1,513.581,0.141943,20.146,0.504595,3094.81,208.034,97935.7,5028.74,34692,1.32073,26267.4,,1.20044,26267.4,,1.20044,,14
B3,1,513.384,0.146566,20.385,0.52249,4246.27,292.276,135969,7152.1,47958,1.11963,42833.7,,1.95754,42833.7,,1.95754,,86
B4,1,513.31,0.147957,20.4524,0.527861,4860.68,336.951,156157,8273.59,54986,0.986206,55755.1,,2.54806,55755.1,,2.54806,,344
B5,1,513.332,0.147572,20.4442,0.526441,4264.79,294.959,136958,7239.52,48259,0.946175,51004.3,,2.33094,51004.3,,2.33094,,162
B6,2,,,,,,,,,,,,,,,,,,0
B7,1,513.865,0.145779,20.2885,0.519228,2917.28,200.452,92971.2,4881.13,32812,1.33502,24577.9,,1.12323,,24577.9,,1.12323,20.4
B8,1,513.726,0.147372,20.3073,0.524979,3024.24,209.916,96469.2,5116.47,34024,1.32316,25714.1,,1.17516,,25714.1,,1.17516,25.2
B9,1,513.771,0.147835,20.34,0.526853,3743.9,260.401,119617,6357.62,42175,1.33963,31482.5,,1.43878,,31482.5,,1.43878,60
B10,1,513.541,0.145592,20.2853,0.518437,5099.97,349.937,162506,8519.64,57378,1.31079,43773.6,,2.00049,,43773.6,,2.00049,268
B11,1,513.611,0.143779,20.2393,0.511716,4896.75,332.352,155677,8072.5,55031,1.30877,42047.8,,1.92162,,42047.8,,1.92162,184
B12,2,,,,,,,,,,,,,,,,,,0
C1,1,513.55,0.146318,20.1926,0.520432,2698.66,186.689,85597.5,4523.63,30245,1.32726,22787.5,,1.04141,22787.5,,1.04141,,8
C2,1,513.53,0.145722,20.1959,0.518329,3313.4,228.254,105113,5531.7,37161,1.23869,30000.2,,1.37104,30000.2,,1.37104,,19
