Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
B8,337,0,0,0,0,0,0,113,0,50,Symyx_96_well_0003,,,,,,,
D8,251,0,0,0,0,0,0,199,0,50,Symyx_96_well_0003,,,,,,,
F8,331,0,0,0,0,0,0,119,0,50,Symyx_96_well_0003,,,,,,,
H8,386,0,0,0,0,0,0,64,0,50,Symyx_96_well_0003,,,,,,,
A9,361,0,0,0,0,0,0,89,0,50,Symyx_96_well_0003,,,,,,,
C9,373,0,0,0,0,0,0,77,0,50,Symyx_96_well_0003,,,,,,,
E9,324,0,0,0,0,0,0,126,0,50,Symyx_96_well_0003,,,,,,,
G9,397,0,0,0,0,0,0,53,0,50,Symyx_96_well_0003,,,,,,,
B9,420,0,0,0,30,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
D9,412,0,0,0,38,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
F9,416,0,0,0,34,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
H9,424,0,0,0,26,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
A10,427,0,0,0,23,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
C10,407,0,0,0,43,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
E10,430,0,0,0,20,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
G10,401,0,0,0,49,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
B10,255,0,0,0,0,0,0,0,195,50,Symyx_96_well_0003,,,,,,,
D10,316,0,0,0,0,0,0,0,134,50,Symyx_96_well_0003,,,,,,,
F10,358,0,0,0,0,0,0,0,92,50,Symyx_96_well_0003,,,,,,,
H10,332,0,0,0,0,0,0,0,118,50,Symyx_96_well_0003,,,,,,,
A11,387,0,0,0,0,0,0,0,63,50,Symyx_96_well_0003,,,,,,,
C11,346,0,0,0,0,0,0,0,104,50,Symyx_96_well_0003,,,,,,,
E11,378,0,0,0,0,0,0,0,72,50,Symyx_96_well_0003,,,,,,,
G11,369,0,0,0,0,0,0,0,81,50,Symyx_96_well_0003,,,,,,,
B11,278,0,0,0,0,0,0,0,172,50,Symyx_96_well_0003,,,,,,,
D11,394,0,0,0,0,0,0,0,56,50,Symyx_96_well_0003,,,,,,,
F11,298,0,0,0,0,0,0,0,152,50,Symyx_96_well_0003,,,,,,,
H11,229,0,0,0,0,0,0,0,221,50,Symyx_96_well_0003,,,,,,,
A12,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
C12,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
E12,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
G12,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
B12,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
D12,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
F12,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
H12,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
