'0421_SL4_hp1_wellLabel','0421_SL4_hp1_wallTag','0421_SL4_hp1_PL_pos','0421_SL4_hp1_PL_pos_s','0421_SL4_hp1_PL_FWHM','0421_SL4_hp1_PL_FWHM_s','0421_SL4_hp1_PL_height','0421_SL4_hp1_PL_height_s','0421_SL4_hp1_PL_area','0421_SL4_hp1_PL_area_s','0421_SL4_hp1_PL_sum','0421_SL4_hp1_PL_OD390','0421_SL4_hp1_PL_sum/OD390','0421_SL4_hp1_PL_ref','0421_SL4_hp1_PL_FOM','0421_SL4_conc'
G1,1,513.358,0.143058,20.1677,0.50862,2731.91,184.913,86544.9,4474.79,30627,1.3591,22534.8,,0.984069,5.6
G2,1,513.394,0.143283,20.151,0.509329,3036.66,205.989,96119.9,4980.54,34042,1.43271,23760.6,,1.0376,12.8
G3,1,513.399,0.145295,20.2104,0.516858,3330.22,228.605,105722,5544.28,37369,1.37814,27115.5,,1.18411,22.6
G4,1,513.256,0.1474,20.335,0.5251,4090.68,283.628,130665,6922.74,46100,1.35653,33983.7,,1.48403,76
G5,1,513.164,0.143603,20.2458,0.510984,4306.26,291.757,136948,7088.67,48389,1.23234,39266,,1.7147,236
G6,3,513.677,0.145856,20.2628,0.519278,2926.71,201.357,93153.6,4896.67,32891,1.42255,23121.2,,1.00968,0
G7,0,,,,,,,,,,,,,,5.6
G8,0,,,,,,,,,,,,,,20.4
G9,0,,,,,,,,,,,,,,10.6
G10,0,,,,,,,,,,,,,,98
G11,0,,,,,,,,,,,,,,162
G12,0,,,,,,,,,,,,,,0
H1,1,513.37,0.149058,20.3342,0.531041,2955.57,207.253,94403.5,5058.42,33286,1.36916,24311.3,,1.06165,23.8
H2,1,513.38,0.14596,20.2809,0.519665,3311.49,227.802,105494,5544.81,37242,1.38482,26892.9,,1.17439,27.6
H3,1,513.322,0.14785,20.3998,0.527141,3791.27,263.099,121487,6442.95,42801,1.37783,31064.2,,1.35654,60
H4,1,513.21,0.146879,20.3313,0.523204,4450.83,307.536,142143,7504.84,50167,1.32956,37732.1,,1.64772,268
H5,1,513.21,0.147472,20.363,0.52552,4693.01,325.227,150111,7949.4,52927,1.30208,40648,,1.77505,442
H6,2,,,,,,,,,,,,,,0
H7,0,,,,,,,,,,,,,,35
H8,0,,,,,,,,,,,,,,12.8
H9,0,,,,,,,,,,,,,,52
H10,0,,,,,,,,,,,,,,236
H11,0,,,,,,,,,,,,,,442
H12,0,,,,,,,,,,,,,,0
