ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00016120,"InChI=1S/C15H18N2O2/c1-10-12(14(18)19)13(15(2,3)4)17(16-10)11-8-6-5-7-9-11/h5-9H,1-4H3,(H,18,19)",Cc1nn(-c2ccccc2)c(C(C)(C)C)c1C(=O)O,607.0660788222198,False,['956758-73-9'],1.011041374,0,$142.12/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/chemimpexinternationalinc/ch6371388294?context=bbe,,,
POOL-00029541,"InChI=1S/C13H18N2O2S/c16-18(17,13-10-6-3-7-11-13)15-14-12-8-4-1-2-5-9-12/h3,6-7,10-11,15H,1-2,4-5,8-9H2",O=S(=O)(NN=C1CCCCCC1)c1ccccc1,499.0525986324572,False,['6426-75-1'],0.9939456325,0,,,,,,
POOL-00033519,"InChI=1S/C14H20N2O2S/c1-12-8-10-14(11-9-12)19(17,18)16-15-13-6-4-2-3-5-7-13/h8-11,16H,2-7H2,1H3",Cc1ccc(S(=O)(=O)NN=C2CCCCCC2)cc1,537.3136257973811,False,['56382-69-5'],0.9978321281,0,$28.60/25MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s311588,,,
POOL-00031426,"InChI=1S/C14H22N2O2S/c1-12-4-2-3-11-16(12)19(17,18)14-7-5-13(6-8-14)9-10-15/h5-8,12H,2-4,9-11,15H2,1H3",CC1CCCCN1S(=O)(=O)c1ccc(CCN)cc1,510.75243128678784,False,['498530-53-3'],0.9930037308,0,,,,,,
POOL-00003585,"InChI=1S/C14H24N2O3/c1-13(2,3)19-12(18)16-9-6-14(7-10-16)5-4-8-15-11(14)17/h4-10H2,1-3H3,(H,15,17)",CC(C)(C)OC(=O)N1CCC2(CCCN=C2O)CC1,376.6425403966736,False,['1198284-94-4'],1.003973827,0,$293.00/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/phb00145,,,
POOL-00041795,"InChI=1S/C16H24N2O/c1-10-8-13(16(3,4)5)15(19)11(2)12(10)9-14-17-6-7-18-14/h8,19H,6-7,9H2,1-5H3,(H,17,18)",Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,524.530962684777,False,['1491-59-4'],0.998622431,0,,,,,,
POOL-00008548,"InChI=1S/C13H18N2O3/c1-13(2,3)12(16)15-10-8-14-5-4-9(10)11-17-6-7-18-11/h4-5,8,11H,6-7H2,1-3H3,(H,15,16)",CC(C)(C)C(O)=Nc1cnccc1C1OCCO1,445.7947330559605,False,['869735-24-0'],0.987357951,0,$201.00/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ade000328,,,
POOL-00005373,"InChI=1S/C15H18N2O2/c1-9(2)12-5-7-13(8-6-12)17-11(4)14(15(18)19)10(3)16-17/h5-9H,1-4H3,(H,18,19)",Cc1nn(-c2ccc(C(C)C)cc2)c(C)c1C(=O)O,609.8209663243832,False,['1171764-30-9'],0.9697870086,0,$264.00/500 mg,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/keyorganicsbionet/key183157250?context=bbe,,,
POOL-00022882,"InChI=1S/C14H18N2O3/c1-10-7-8-12(13(9-10)16(18)19)15-14(17)11-5-3-2-4-6-11/h7-9,11H,2-6H2,1H3,(H,15,17)",Cc1ccc(N=C(O)C2CCCCC2)c([N+](=O)[O-])c1,505.4125826913681,False,['305849-41-6'],0.9616481708,0,$28.60/25MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r371653,,,
POOL-00000021,"InChI=1S/C16H24N2O/c1-12-11-14(7-8-15(12)17-13(2)19)18-16(3)9-5-4-6-10-16/h7-8,11,18H,4-6,9-10H2,1-3H3,(H,17,19)",CC(O)=Nc1ccc(NC2(C)CCCCC2)cc1C,469.63731916799486,False,['2140866-89-1'],1.0045844258,0,,,,,,
POOL-00006272,"InChI=1S/C15H21FN2O2/c1-15(2,3)20-14(19)18-9-8-17-13(10-18)11-4-6-12(16)7-5-11/h4-7,13,17H,8-10H2,1-3H3",CC(C)(C)OC(=O)N1CCNC(c2ccc(F)cc2)C1,467.7570118740227,False,"['886767-25-5', '906003-87-0']",1.0110567454,0,$230.00/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/astatechinc/ate316038797?context=bbe,,,
POOL-00007493,"InChI=1S/C16H24N2O2/c1-16(2,3)20-15(19)18-10-8-13(9-11-18)12-4-6-14(17)7-5-12/h4-7,13H,8-11,17H2,1-3H3",CC(C)(C)OC(=O)N1CCC(c2ccc(N)cc2)CC1,454.3603708081505,False,['170011-57-1'],0.9830779655,0,$8.80/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6f828c?context=bbe,,,
POOL-00033517,"InChI=1S/C12H16N2O2S/c1-10-6-8-12(9-7-10)17(15,16)14-13-11-4-2-3-5-11/h6-9,14H,2-5H2,1H3",Cc1ccc(S(=O)(=O)NN=C2CCCC2)cc1,509.9415398862743,False,['17529-98-5'],0.9838794778,0,$39.90/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/t291854,,,
POOL-00005724,"InChI=1S/C14H22N2O/c1-12-4-3-5-14(13(12)2)16-8-6-15(7-9-16)10-11-17/h3-5,17H,6-11H2,1-2H3",Cc1cccc(N2CCN(CCO)CC2)c1C,370.4850010853379,False,['55300-58-8'],1.0089150497,0,$134.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph010073,,,
POOL-00004587,"InChI=1S/C13H20N2OS/c1-2-9-15(11-5-7-14-8-6-11)13(16)12-4-3-10-17-12/h3-4,10-11,14H,2,5-9H2,1H3",CCCN(C(=O)c1cccs1)C1CCNCC1,344.3112525037,False,['1179836-76-0'],1.000582255,0,"$1,094.60/1 g",Ships in 30 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah3045aa8e?context=bbe,,,
POOL-00006409,"InChI=1S/C15H21NO3/c17-15(18)13-7-2-3-8-14(13)19-12-6-11-16-9-4-1-5-10-16/h2-3,7-8H,1,4-6,9-12H2,(H,17,18)",O=C(O)c1ccccc1OCCCN1CCCCC1,413.6066431138223,False,['919036-82-1'],1.0008513266,0,$240.00/500 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/matrixscientific/mat184123616?context=bbe,,,
