ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,fisher-price,fisher-avail,fisher-url
POOL-00025386,"InChI=1S/C8H7NO/c10-7-3-1-2-6-4-5-9-8(6)7/h1-5,9-10H",Oc1cccc2cc[nH]c12,350.78507788066474,False,['2380-84-9'],0.1490802687,5,"$459.00
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/7-hydroxyindole-95-thermo-scientific/AC462290010#2380-84-9
POOL-00007737,"InChI=1S/C9H6N2O3/c12-4-7-8-5(9(13)14)2-1-3-6(8)10-11-7/h1-4H,(H,10,11)(H,13,14)",O=Cc1n[nH]c2cccc(C(=O)O)c12,515.7514657886744,False,['885519-78-8'],0.1612462188,5,,,
POOL-00001890,"InChI=1S/C11H7NO3/c13-6-7-4-5-12-10-8(7)2-1-3-9(10)11(14)15/h1-6H,(H,14,15)",O=Cc1ccnc2c(C(=O)O)cccc12,548.5243731611332,False,['91059-56-2'],0.1580352726,5,,,
POOL-00037565,InChI=1S/C10H7NO/c12-7-9-4-1-3-8-5-2-6-11-10(8)9/h1-7H,O=Cc1cccc2cccnc12,417.6130227553918,False,"['38707-70-9', '4122-88-7']",0.2015963152,5,"$122.00
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/8-quinolinecarbaldehyde-thermo-scientific/CC04304DA#38707-70-9
POOL-00031198,"InChI=1S/C7H4N2O2S/c10-7(11)4-1-2-5-6(3-4)9-12-8-5/h1-3H,(H,10,11)",O=C(O)c1ccc2nsnc2c1,437.653925895611,False,['16405-98-4'],0.1461449575,5,"$146.00
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/2-1-3-benzothiadiazole-5-carboxylic-acid-97-thermo-scientific/AAH3309503#16405-98-4
POOL-00023547,"InChI=1S/C12H12N2O/c13-8-12(15)14-11-6-5-9-3-1-2-4-10(9)7-11/h1-7H,8,13H2,(H,14,15)",NCC(O)=Nc1ccc2ccccc2c1,505.7032081711417,False,['716-94-9'],0.1632794637,5,,,
POOL-00011641,"InChI=1S/C9H11NO/c11-9-6-10-5-7-3-1-2-4-8(7)9/h1-4,9-11H,5-6H2",OC1CNCc2ccccc21,259.4945752240396,False,['51641-23-7'],0.1487442897,5,,,
POOL-00010801,"InChI=1S/C10H13NO/c11-9-6-5-7-3-1-2-4-8(7)10(9)12/h1-4,9-10,12H,5-6,11H2",NC1CCc2ccccc2C1O,284.9219978261821,False,"['90874-82-1', '3877-76-7']",0.1852735875,5,,,
POOL-00041302,"InChI=1S/C7H7NO2/c8-5-1-2-6-7(3-5)10-4-9-6/h1-3H,4,8H2",Nc1ccc2c(c1)OCO2,259.78306142431705,False,['14268-66-7'],0.1692240328,5,"$36.25
Each/10 g",Check Availability,https://www.fishersci.com/shop/products/3-4-methylenedioxy-aniline-98-thermo-scientific/AAA1297509#14268-66-7
POOL-00024064,"InChI=1S/C10H8N2O2/c11-9-5-7(10(13)14)6-3-1-2-4-8(6)12-9/h1-5H,(H2,11,12)(H,13,14)",N=c1cc(C(=O)O)c2ccccc2[nH]1,557.2957081415927,False,['157915-68-9'],0.1496201324,5,,,
POOL-00007218,"InChI=1S/C9H8BrN/c1-6-4-8(10)5-7-2-3-11-9(6)7/h2-5,11H,1H3",Cc1cc(Br)cc2cc[nH]c12,389.362105189066,False,['15936-81-9'],0.149107567,5,,,
POOL-00031448,"InChI=1S/C9H6Br2N2/c10-6-4-7(11)8(12)9-5(6)2-1-3-13-9/h1-4H,12H2",Nc1c(Br)cc(Br)c2cccnc12,468.3665095200525,False,['36107-02-5'],0.1667528367,5,,,
