ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu
POOL-00024686,"InChI=1S/C13H9FN2S/c14-9-5-7-10(8-6-9)15-13-16-11-3-1-2-4-12(11)17-13/h1-8H,(H,15,16)",Fc1ccc(Nc2nc3ccccc3s2)cc1,612.8331618643329,False,['348-45-8'],0.5099372279
POOL-00027956,"InChI=1S/C14H11BrN2O2/c1-18-12-4-2-8(6-10(12)15)14-17-11-7-9(16)3-5-13(11)19-14/h2-7H,16H2,1H3",COc1ccc(-c2nc3cc(N)ccc3o2)cc1Br,752.2858207752273,False,['293737-88-9'],0.4624119859
POOL-00005446,"InChI=1S/C15H10FNO/c16-12-6-7-14-11(8-12)9-13(15(18)17-14)10-4-2-1-3-5-10/h1-9H,(H,17,18)",O=c1[nH]c2ccc(F)cc2cc1-c1ccccc1,762.2956546799152,False,['1031928-37-6'],0.406374346
POOL-00033006,"InChI=1S/C14H10N2O2/c17-15-13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)14(13)16-18/h1-8,15,17H",O=Nc1c(NO)c2ccccc2c2ccccc12,753.2032567385127,False,"['14090-76-7', '7463-79-8']",0.3895082225
POOL-00042395,"InChI=1S/C16H11NO2/c18-16(19)13-10-15(11-6-2-1-3-7-11)17-14-9-5-4-8-12(13)14/h1-10H,(H,18,19)",O=C(O)c1cc(-c2ccccc2)nc2ccccc12,751.0486079861877,False,['132-60-5'],0.4730259918
POOL-00029658,"InChI=1S/C15H14N2OS/c1-10-8-11(6-7-12(10)16)18-9-15-17-13-4-2-3-5-14(13)19-15/h2-8H,9,16H2,1H3",Cc1cc(OCc2nc3ccccc3s2)ccc1N,687.9923610174826,False,['197364-75-3'],0.3602597653
POOL-00009978,"InChI=1S/C14H11NO3/c16-14-15-12-7-6-11(8-13(12)18-14)17-9-10-4-2-1-3-5-10/h1-8H,9H2,(H,15,16)",Oc1nc2ccc(OCc3ccccc3)cc2o1,661.1156458462149,False,['158822-84-5'],0.5437891847
POOL-00017610,"InChI=1S/C15H14N2O/c1-8-4-5-12-11(6-8)14(18)13-9(2)7-10(3)16-15(13)17-12/h4-7H,1-3H3,(H,16,17,18)",Cc1ccc2nc3nc(C)cc(C)c3c(O)c2c1,778.3847841093207,False,['82756-19-2'],0.3786286408
POOL-00010485,"InChI=1S/C15H11BrN2/c16-12-6-7-14-11(8-12)9-13(15(17)18-14)10-4-2-1-3-5-10/h1-9H,(H2,17,18)",N=c1[nH]c2ccc(Br)cc2cc1-c1ccccc1,760.2956546799152,False,['948293-20-7'],0.437764893
POOL-00004199,"InChI=1S/C15H18N2O2/c18-15(19)14-12-8-4-5-9-13(12)17(16-14)10-11-6-2-1-3-7-11/h4-5,8-9,11H,1-3,6-7,10H2,(H,18,19)",O=C(O)c1nn(CC2CCCCC2)c2ccccc12,597.2114233807362,False,['1271630-11-5'],0.4212774543
POOL-00033763,"InChI=1S/C14H11NO3/c16-12-4-2-1-3-11(12)15-8-10-5-6-13-14(7-10)18-9-17-13/h1-8,16H,9H2",Oc1ccccc1N=Cc1ccc2c(c1)OCO2,607.7381412126718,False,['60301-57-7'],0.4523095729
POOL-00024670,"InChI=1S/C12H7F3N2OS/c1-6-10-7(12(13,14)15)5-8(9-3-2-4-19-9)16-11(10)18-17-6/h2-5H,1H3",Cc1noc2nc(-c3cccs3)cc(C(F)(F)F)c12,731.3455093582644,False,['380419-64-7'],0.3787068587
POOL-00000603,"InChI=1S/C15H11FN2O/c16-12-6-8-13(9-7-12)18-10-14(19)15(17-18)11-4-2-1-3-5-11/h1-10,19H",Oc1cn(-c2ccc(F)cc2)nc1-c1ccccc1,689.9246874087536,False,['1202029-28-4'],0.4147298854
POOL-00029740,"InChI=1S/C14H10N2O2S/c17-14(18)11-9-16(10-5-2-1-3-6-10)15-13(11)12-7-4-8-19-12/h1-9H,(H,17,18)",O=C(O)c1cn(-c2ccccc2)nc1-c1cccs1,702.3934116405436,False,['372107-08-9'],0.4258156347
POOL-00014836,"InChI=1S/C16H14N2S/c1-11-15(12-6-3-2-4-7-12)18-16(19-11)13-8-5-9-14(17)10-13/h2-10H,17H2,1H3",Cc1sc(-c2cccc(N)c2)nc1-c1ccccc1,701.7780463428815,False,['886495-85-8'],0.5066276258
POOL-00024331,"InChI=1S/C11H8N2OS2/c1-6-12-10(14)9-7(5-16-11(9)13-6)8-3-2-4-15-8/h2-5H,1H3,(H,12,13,14)",Cc1nc(O)c2c(-c3cccs3)csc2n1,643.3556783833303,False,['243669-49-0'],0.4173979271
POOL-00028960,InChI=1S/C16H12N2/c1-3-7-13(8-4-1)15-11-16(18-12-17-15)14-9-5-2-6-10-14/h1-12H,c1ccc(-c2cc(-c3ccccc3)ncn2)cc1,578.7747155734701,False,['3977-48-8'],0.3689489517
POOL-00027776,"InChI=1S/C16H19NO2/c1-2-4-15-13-16(6-5-14(15)3-1)19-12-9-17-7-10-18-11-8-17/h1-6,13H,7-12H2",c1ccc2cc(OCCN3CCOCC3)ccc2c1,535.0149007087957,False,['29488-57-1'],0.3694795011
POOL-00042382,"InChI=1S/C14H10N2O2/c15-9-5-1-3-7-11(9)14(18)8-4-2-6-10(16)12(8)13(7)17/h1-6H,15-16H2",Nc1cccc2c1C(=O)c1cccc(N)c1C2=O,643.4353339687134,False,"['129-44-2', '111641-58-8']",0.3915004411
POOL-00042384,"InChI=1S/C14H10N2O2/c15-7-1-3-9-11(5-7)14(18)10-4-2-8(16)6-12(10)13(9)17/h1-6H,15-16H2",Nc1ccc2c(c1)C(=O)c1ccc(N)cc1C2=O,643.4353339687134,False,['131-14-6'],0.3730923206
,,,,,,
POOL-00028503,"InChI=1S/C15H12FNO2/c1-10(18)11-6-8-12(9-7-11)17-15(19)13-4-2-3-5-14(13)16/h2-9H,1H3,(H,17,19)",CC(=O)c1ccc(NC(=O)c2ccccc2F)cc1,620.2976302733751,False,['303091-98-7'],0.5522047402
POOL-00028552,"InChI=1S/C15H13NO3/c1-10-6-2-5-9-13(10)16-14(17)11-7-3-4-8-12(11)15(18)19/h2-9H,1H3,(H,16,17)(H,18,19)",Cc1ccccc1N=C(O)c1ccccc1C(=O)O,647.3438758768984,False,['19336-68-6'],0.3605543216
POOL-00034549,"InChI=1S/C15H12FNO3/c1-20-15(19)12-7-2-3-8-13(12)17-14(18)10-5-4-6-11(16)9-10/h2-9H,1H3,(H,17,18)",COC(=O)c1ccccc1N=C(O)c1cccc(F)c1,667.6731313518728,False,['67836-46-8'],0.431461261
POOL-00019227,"InChI=1S/C15H12F3NO2/c1-21-13-7-2-4-10(14(13)20)9-19-12-6-3-5-11(8-12)15(16,17)18/h2-9,20H,1H3",COc1cccc(C=Nc2cccc(C(F)(F)F)c2)c1O,666.2085728259892,False,['200630-43-9'],0.3811753596
POOL-00032382,"InChI=1S/C14H14FNO2S/c1-2-11-5-3-4-6-14(11)16-19(17,18)13-9-7-12(15)8-10-13/h3-10,16H,2H2,1H3",CCc1ccccc1NS(=O)(=O)c1ccc(F)cc1,666.1002492560061,False,['7454-77-5'],0.4181106264
POOL-00027751,"InChI=1S/C14H11NO3S/c16-12(10-5-2-1-3-6-10)9-19-13-11(14(17)18)7-4-8-15-13/h1-8H,9H2,(H,17,18)",O=C(CSc1ncccc1C(=O)O)c1ccccc1,598.6498889464652,False,['142221-23-6'],0.4622591194
POOL-00039549,"InChI=1S/C15H15NO3/c1-18-12-8-9-14(19-2)13(10-12)16-15(17)11-6-4-3-5-7-11/h3-10H,1-2H3,(H,16,17)",COc1ccc(OC)c(N=C(O)c2ccccc2)c1,579.1994875632181,False,['135-45-5'],0.3714875787
POOL-00032357,"InChI=1S/C15H14N2O3/c1-10-6-5-8-13(11(10)2)16-15(18)12-7-3-4-9-14(12)17(19)20/h3-9H,1-2H3,(H,16,18)",Cc1cccc(N=C(O)c2ccccc2[N+](=O)[O-])c1C,693.268023368677,False,['102630-94-4'],0.4377135079
POOL-00020746,"InChI=1S/C14H9F2NO3/c15-8-5-6-12(11(16)7-8)17-13(18)9-3-1-2-4-10(9)14(19)20/h1-7H,(H,17,18)(H,19,20)",O=C(O)c1ccccc1C(O)=Nc1ccc(F)cc1F,698.5684133939982,False,['198124-09-3'],0.3896390746
POOL-00034551,"InChI=1S/C15H12FNO3/c1-20-15(19)12-4-2-3-5-13(12)17-14(18)10-6-8-11(16)9-7-10/h2-9H,1H3,(H,17,18)",COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1,637.8218150192176,False,"['75541-83-2', '461681-88-9']",0.4300245874
POOL-00032384,"InChI=1S/C14H14FNO2S/c1-10-7-11(2)9-13(8-10)16-19(17,18)14-5-3-12(15)4-6-14/h3-9,16H,1-2H3",Cc1cc(C)cc(NS(=O)(=O)c2ccc(F)cc2)c1,673.6359456263777,False,['329941-60-8'],0.3692981064
POOL-00027399,"InChI=1S/C14H11BrFNO2/c15-12-3-1-2-4-13(12)17-14(18)9-19-11-7-5-10(16)6-8-11/h1-8H,9H2,(H,17,18)",OC(COc1ccc(F)cc1)=Nc1ccccc1Br,584.2547650907028,False,['611185-57-0'],0.4485390429
POOL-00029379,"InChI=1S/C13H12FNO2S/c1-10-2-8-13(9-3-10)18(16,17)15-12-6-4-11(14)5-7-12/h2-9,15H,1H3",Cc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1,633.6963912229312,False,['727-31-1'],0.4519744489
POOL-00029598,"InChI=1S/C15H13NO4/c1-19-14(17)12-9-5-6-10-13(12)16-15(18)20-11-7-3-2-4-8-11/h2-10H,1H3,(H,16,18)",COC(=O)c1ccccc1N=C(O)Oc1ccccc1,622.7804569178577,False,['259537-23-0'],0.4141361283
POOL-00034021,"InChI=1S/C14H14FNO2S/c1-10-3-8-14(11(2)9-10)16-19(17,18)13-6-4-12(15)5-7-13/h3-9,16H,1-2H3",Cc1ccc(NS(=O)(=O)c2ccc(F)cc2)c(C)c1,693.8859456263777,False,['329941-50-6'],0.4043476513
POOL-00028849,"InChI=1S/C14H12N2O3/c1-10-7-8-11(9-13(10)16(18)19)14(17)15-12-5-3-2-4-6-12/h2-9H,1H3,(H,15,17)",Cc1ccc(C(O)=Nc2ccccc2)cc1[N+](=O)[O-],636.3942659022198,False,['5344-15-0'],0.4053991096
POOL-00015346,"InChI=1S/C15H14N2O2/c1-11-2-4-12(5-3-11)10-16-17-15(19)13-6-8-14(18)9-7-13/h2-10,18H,1H3,(H,17,19)",Cc1ccc(C=NN=C(O)c2ccc(O)cc2)cc1,599.047630273375,False,['212575-51-4'],0.365428073
POOL-00025982,"InChI=1S/C13H10BrNO3/c14-11-6-10(13(17)18)8-15(12(11)16)7-9-4-2-1-3-5-9/h1-6,8H,7H2,(H,17,18)",O=C(O)c1cc(Br)c(=O)n(Cc2ccccc2)c1,634.4297707413987,False,['886361-76-8'],0.4236580635
POOL-00012700,"InChI=1S/C14H10F3NO/c15-14(16,17)10-6-7-12(18)11(8-10)13(19)9-4-2-1-3-5-9/h1-8H,18H2",Nc1ccc(C(F)(F)F)cc1C(=O)c1ccccc1,605.8332962041515,False,['732-34-3'],0.4175032046
POOL-00001913,"InChI=1S/C15H17NO3/c1-15(2)8-11(17)13(12(18)9-15)14(19)16-10-6-4-3-5-7-10/h3-7,13H,8-9H2,1-2H3,(H,16,19)",CC1(C)CC(=O)C(C(O)=Nc2ccccc2)C(=O)C1,511.5814854149727,False,['892-28-4'],0.4277266346
POOL-00029095,"InChI=1S/C15H15NO3/c1-18-13-9-7-12(8-10-13)16-15(17)11-19-14-5-3-2-4-6-14/h2-10H,11H2,1H3,(H,16,17)",COc1ccc(NC(=O)COc2ccccc2)cc1,522.8467672783902,False,['51988-03-5'],0.3587196863
POOL-00027188,"InChI=1S/C12H9NO4S/c1-17-11(15)8-4-2-7(3-5-8)6-9-10(14)13-12(16)18-9/h2-6H,1H3,(H,13,14,16)",COC(=O)c1ccc(C=C2SC(=O)N=C2O)cc1,559.9450719680672,False,['199167-77-6'],0.5441642236
POOL-00020223,"InChI=1S/C15H14BrNO2/c1-10-8-12(6-7-13(10)16)17-9-11-4-3-5-14(19-2)15(11)18/h3-9,18H,1-2H3",COc1cccc(C=Nc2ccc(Br)c(C)c2)c1O,623.5377936809936,False,['196082-27-6'],0.4513797661
POOL-00010411,"InChI=1S/C12H7BrFNO3/c13-9-6-7(14)3-4-10(9)18-11-8(12(16)17)2-1-5-15-11/h1-6H,(H,16,17)",O=C(O)c1cccnc1Oc1ccc(F)cc1Br,603.626436257062,False,['954563-46-3'],0.4060382248
POOL-00035005,"InChI=1S/C14H13NO4S/c1-19-14(16)12-9-5-6-10-13(12)15-20(17,18)11-7-3-2-4-8-11/h2-10,15H,1H3",COC(=O)c1ccccc1NS(=O)(=O)c1ccccc1,710.9635794103278,False,['10038-81-0'],0.4168005692
POOL-00019125,"InChI=1S/C14H12N2O4/c17-14(15-12-4-2-1-3-5-12)20-10-11-6-8-13(9-7-11)16(18)19/h1-9H,10H2,(H,15,17)",O=[N+]([O-])c1ccc(COC(O)=Nc2ccccc2)cc1,608.8308469431789,False,['74109-32-3'],0.3978173818
POOL-00032847,"InChI=1S/C14H15NO3S/c1-11-8-9-12(10-14(11)18-2)15-19(16,17)13-6-4-3-5-7-13/h3-10,15H,1-2H3",COc1cc(NS(=O)(=O)c2ccccc2)ccc1C,666.3453617538426,False,['6955-46-0'],0.4186619396
POOL-00032356,"InChI=1S/C15H14N2O4/c1-2-21-14-10-6-4-8-12(14)16-15(18)11-7-3-5-9-13(11)17(19)20/h3-10H,2H2,1H3,(H,16,18)",CCOc1ccccc1N=C(O)c1ccccc1[N+](=O)[O-],682.8787644770301,False,['17296-38-7'],0.3640652686
POOL-00014990,"InChI=1S/C15H11NO2/c16-9-12-4-6-13(7-5-12)11-18-15-3-1-2-14(8-15)10-17/h1-8,10H,11H2",N#Cc1ccc(COc2cccc(C=O)c2)cc1,582.1877511873505,False,['130205-10-6'],0.3930896803
POOL-00033884,"InChI=1S/C14H13FN2O2/c1-19-13-8-6-12(7-9-13)17-14(18)16-11-4-2-10(15)3-5-11/h2-9H,1H3,(H2,16,17,18)",COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1,552.6635769007231,False,['107676-55-1'],0.3692376493
POOL-00030288,"InChI=1S/C14H12BrNO2/c1-18-13-5-3-2-4-12(13)14(17)16-11-8-6-10(15)7-9-11/h2-9H,1H3,(H,16,17)",COc1ccccc1C(=O)Nc1ccc(Br)cc1,551.9753791161852,False,['304686-21-3'],0.5221482255
POOL-00035452,"InChI=1S/C14H12BrNO2/c1-18-13-4-2-3-10(14(13)17)9-16-12-7-5-11(15)6-8-12/h2-9,17H,1H3",COc1cccc(C=Nc2ccc(Br)cc2)c1O,564.5067166690932,False,"['17696-48-9', '623150-88-9']",0.5278052395
POOL-00029471,"InChI=1S/C15H14BrNO2/c1-10-3-8-14(13(16)9-10)17-15(18)11-4-6-12(19-2)7-5-11/h3-9H,1-2H3,(H,17,18)",COc1ccc(C(=O)Nc2ccc(C)cc2Br)cc1,593.5946114189804,False,['111270-65-6'],0.4232463252
POOL-00034988,"InChI=1S/C15H15NO2/c1-11-4-3-5-13(10-11)16-15(17)12-6-8-14(18-2)9-7-12/h3-10H,1-2H3,(H,16,17)",COc1ccc(C(=O)Nc2cccc(C)c2)cc1,546.6749890908637,False,['7464-53-1'],0.3962480603
POOL-00037025,"InChI=1S/C15H12F3NO/c16-15(17,18)12-7-4-8-13(10-12)19-14(20)9-11-5-2-1-3-6-11/h1-8,10H,9H2,(H,19,20)",OC(Cc1ccccc1)=Nc1cccc(C(F)(F)F)c1,606.0157328233128,False,['1939-21-5'],0.441812263
POOL-00036847,"InChI=1S/C15H12F3NO/c1-10-5-2-3-8-13(10)14(20)19-12-7-4-6-11(9-12)15(16,17)18/h2-9H,1H3,(H,19,20)",Cc1ccccc1C(O)=Nc1cccc(C(F)(F)F)c1,647.5620400148906,False,['1939-22-6'],0.4544936981
POOL-00024603,"InChI=1S/C14H12N2O4/c1-2-8-15-14(17)13-7-6-12(20-13)10-4-3-5-11(9-10)16(18)19/h2-7,9H,1,8H2,(H,15,17)",C=CCNC(=O)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,660.6984442414872,False,['6128-57-0'],0.5037915718
POOL-00035177,"InChI=1S/C13H11NO4S/c1-10-2-6-12(7-3-10)19(17,18)13-8-4-11(5-9-13)14(15)16/h2-9H,1H3",Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,703.3133660683521,False,['4094-37-5'],0.4008598249
POOL-00034562,"InChI=1S/C14H9F4NO/c15-10-7-5-9(6-8-10)13(20)19-12-4-2-1-3-11(12)14(16,17)18/h1-8H,(H,19,20)",O=C(Nc1ccccc1C(F)(F)F)c1ccc(F)cc1,619.8161844366884,False,['2053-99-8'],0.5344644212
POOL-00005373,"InChI=1S/C15H18N2O2/c1-9(2)12-5-7-13(8-6-12)17-11(4)14(15(18)19)10(3)16-17/h5-9H,1-4H3,(H,18,19)",Cc1nn(-c2ccc(C(C)C)cc2)c(C)c1C(=O)O,609.8209663243832,False,['1171764-30-9'],0.4272893626
POOL-00032380,"InChI=1S/C13H12FNO2S/c1-10-2-6-12(7-3-10)15-18(16,17)13-8-4-11(14)5-9-13/h2-9,15H,1H3",Cc1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,633.6963912229312,False,['339-41-3'],0.4999899725
POOL-00022965,"InChI=1S/C15H12F3NO/c16-15(17,18)13(11-7-3-1-4-8-11)19-14(20)12-9-5-2-6-10-12/h1-10,13H,(H,19,20)",OC(=NC(c1ccccc1)C(F)(F)F)c1ccccc1,579.0725505612995,False,['13652-10-3'],0.3917601889
