ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu
POOL-00005332,"InChI=1S/C14H12N2O2/c1-17-12-5-3-2-4-10(12)14-16-11-7-6-9(15)8-13(11)18-14/h2-8H,15H2,1H3",COc1ccccc1-c1nc2ccc(N)cc2o1,703.8354153932231,False,['1039945-84-0'],0.4386404568
POOL-00025140,"InChI=1S/C15H12N2O2/c18-15(19)12-7-5-11(6-8-12)9-17-10-16-13-3-1-2-4-14(13)17/h1-8,10H,9H2,(H,18,19)",O=C(O)c1ccc(Cn2cnc3ccccc32)cc1,729.245205754233,False,['139742-50-0'],0.4764214649
POOL-00031565,"InChI=1S/C14H12N2O/c1-9-4-2-3-5-11(9)14-16-12-8-10(15)6-7-13(12)17-14/h2-8H,15H2,1H3",Cc1ccccc1-c1nc2cc(N)ccc2o1,685.504999755912,False,['293737-82-3'],0.4989452415
POOL-00031431,"InChI=1S/C13H10N2O2S/c1-17-9-4-2-3-8(5-9)10-6-18-13-11(10)12(16)14-7-15-13/h2-7H,1H3,(H,14,15,16)",COc1cccc(-c2csc3ncnc(O)c23)c1,709.0326679661954,False,['282104-83-0'],0.4692586534
POOL-00027952,"InChI=1S/C13H9BrN2O/c14-10-4-2-1-3-9(10)13-16-11-7-8(15)5-6-12(11)17-13/h1-7H,15H2",Nc1ccc2oc(-c3ccccc3Br)nc2c1,690.7022523288842,False,['293737-80-1'],0.4987252594
POOL-00008647,"InChI=1S/C15H14N2O2/c16-12-6-7-14-13(8-12)17(15(18)10-19-14)9-11-4-2-1-3-5-11/h1-8H,9-10,16H2",Nc1ccc2c(c1)N(Cc1ccccc1)C(=O)CO2,610.7975686853205,False,['1007671-23-9'],0.3983010969
POOL-00027995,"InChI=1S/C14H12N2O/c1-9-2-4-10(5-3-9)14-16-12-8-11(15)6-7-13(12)17-14/h2-8H,15H2,1H3",Cc1ccc(-c2nc3cc(N)ccc3o2)cc1,668.2549997559121,False,['54995-50-5'],0.491732829
POOL-00041750,"InChI=1S/C15H10N2O2/c18-13-9-12(17-10-5-2-1-3-6-10)15(19)11-7-4-8-16-14(11)13/h1-9,17H",O=C1C(Nc2ccccc2)=CC(=O)c2ncccc21,690.301579179349,False,['91300-60-6'],0.5171712089
POOL-00038594,"InChI=1S/C15H10N2O2/c18-15(19)12-9-14(10-5-7-16-8-6-10)17-13-4-2-1-3-11(12)13/h1-9H,(H,18,19)",O=C(O)c1cc(-c2ccncc2)nc2ccccc12,754.4452490520598,False,['14228-23-0'],0.4018466871
POOL-00043707,"InChI=1S/C15H10N2O2/c18-15(19)12-8-14(10-4-3-7-16-9-10)17-13-6-2-1-5-11(12)13/h1-9H,(H,18,19)",O=C(O)c1cc(-c2cccnc2)nc2ccccc12,754.4452490520598,False,"['7482-91-9', '866402-81-5']",0.4040472528
POOL-00027955,"InChI=1S/C15H14N2O/c1-2-10-3-5-11(6-4-10)15-17-13-9-12(16)7-8-14(13)18-15/h3-9H,2,16H2,1H3",CCc1ccc(-c2nc3cc(N)ccc3o2)cc1,683.2850253679018,False,['116248-09-0'],0.4063937561
POOL-00031925,"InChI=1S/C14H10N2OS/c17-13(16-14-15-8-9-18-14)12-7-3-5-10-4-1-2-6-11(10)12/h1-9H,(H,15,16,17)",OC(=Nc1nccs1)c1cccc2ccccc12,699.4005533176643,False,['309734-88-1'],0.5347941122
POOL-00028161,"InChI=1S/C13H10N2OS/c1-8-2-4-9(5-3-8)10-6-17-13-11(10)12(16)14-7-15-13/h2-7H,1H3,(H,14,15,16)",Cc1ccc(-c2csc3ncnc(O)c23)cc1,673.4522523288844,False,['17509-21-6'],0.4517032825
POOL-00035052,"InChI=1S/C14H12N2O/c1-9-5-6-13-12(7-9)16-14(17-13)10-3-2-4-11(15)8-10/h2-8H,15H2,1H3",Cc1ccc2oc(-c3cccc(N)c3)nc2c1,685.504999755912,False,['7509-65-1'],0.4370047244
POOL-00016904,"InChI=1S/C14H12N2O2/c1-17-11-5-2-9(3-6-11)14-16-12-7-4-10(15)8-13(12)18-14/h2-8H,15H2,1H3",COc1ccc(-c2nc3ccc(N)cc3o2)cc1,686.5854153932231,False,['69657-62-1'],0.4353965276
POOL-00043708,"InChI=1S/C15H10N2O2/c18-15(19)11-9-14(13-7-3-4-8-16-13)17-12-6-2-1-5-10(11)12/h1-9H,(H,18,19)",O=C(O)c1cc(-c2ccccn2)nc2ccccc12,754.4452490520598,False,"['57882-27-6', '892866-88-5']",0.4027068431
POOL-00029470,"InChI=1S/C13H8N2O2S/c16-13(17)8-4-3-7-14-11(8)12-15-9-5-1-2-6-10(9)18-12/h1-7H,(H,16,17)",O=C(O)c1cccnc1-c1nc2ccccc2s1,703.4442655671558,False,['728-66-5'],0.5195745053
POOL-00028881,"InChI=1S/C13H10N2O2S/c1-8-10-7-11(13(16)17)18-12(10)15(14-8)9-5-3-2-4-6-9/h2-7H,1H3,(H,16,17)",Cc1nn(-c2ccccc2)c2sc(C(=O)O)cc12,728.1220328081081,False,['24086-27-9'],0.4852520895
POOL-00027946,"InChI=1S/C14H12N2O/c1-9-5-6-12-13(7-9)17-14(16-12)10-3-2-4-11(15)8-10/h2-8H,15H2,1H3",Cc1ccc2nc(-c3cccc(N)c3)oc2c1,685.504999755912,False,['292644-37-2'],0.4307895467
POOL-00032102,"InChI=1S/C13H10N2O2S/c1-8-11(12(16)17)18-13-14-10(7-15(8)13)9-5-3-2-4-6-9/h2-7H,1H3,(H,16,17)",Cc1c(C(=O)O)sc2nc(-c3ccccc3)cn12,728.1220328081082,False,['446829-85-2'],0.4663056795
POOL-00029443,"InChI=1S/C14H10N2O2/c17-13(9-4-2-1-3-5-9)10-6-7-11-12(8-10)16-14(18)15-11/h1-8H,(H2,15,16,18)",O=C(c1ccccc1)c1ccc2nc(O)[nH]c2c1,716.9970129941834,False,['21472-33-3'],0.4542631425
POOL-00033329,"InChI=1S/C15H10N2O2/c18-14-11-8-4-5-9-12(11)15(19)13(14)17-16-10-6-2-1-3-7-10/h1-9,16H",O=c1c(=NNc2ccccc2)c(=O)c2ccccc12,825.8898409863223,False,"['35117-30-7', '5306-65-0']",0.4702201852
POOL-00027942,"InChI=1S/C15H11NO2/c16-12-6-3-5-10(8-12)13-9-11-4-1-2-7-14(11)18-15(13)17/h1-9H,16H2",Nc1cccc(-c2cc3ccccc3oc2=O)c1,774.5456546799152,False,['292644-31-6'],0.4717978657
POOL-00028110,"InChI=1S/C12H7BrN2OS/c13-8-3-1-7(2-4-8)9-5-17-12-10(9)11(16)14-6-15-12/h1-6H,(H,14,15,16)",Oc1ncnc2scc(-c3ccc(Br)cc3)c12,678.5384186560647,False,['307512-24-9'],0.529949786
POOL-00031902,"InChI=1S/C12H8N2OS/c15-11-9-6-10(8-4-2-1-3-5-8)16-12(9)14-7-13-11/h1-7H,(H,13,14,15)",Oc1ncnc2sc(-c3ccccc3)cc12,633.8187329524246,False,['35970-78-6'],0.4447026519
POOL-00000054,"InChI=1S/C14H10N2O2/c17-10-7-5-9(6-8-10)15-13-11-3-1-2-4-12(11)16-14(13)18/h1-8,17H,(H,15,16,18)",O=C1Nc2ccccc2C1=Nc1ccc(O)cc1,645.0984970075721,False,['42407-83-0'],0.4000877181
POOL-00037869,"InChI=1S/C12H8N2OS/c15-11-10-9(8-4-2-1-3-5-8)6-16-12(10)14-7-13-11/h1-7H,(H,13,14,15)",Oc1ncnc2scc(-c3ccccc3)c12,633.8187329524246,False,['35978-39-3'],0.4813439252
POOL-00027953,"InChI=1S/C13H9BrN2O/c14-9-3-1-2-8(6-9)13-16-11-7-10(15)4-5-12(11)17-13/h1-7H,15H2",Nc1ccc2oc(-c3cccc(Br)c3)nc2c1,690.7022523288842,False,['293737-81-2'],0.4839917041
POOL-00037661,"InChI=1S/C16H12N2O/c17-16(19)13-10-15(11-6-2-1-3-7-11)18-14-9-5-4-8-12(13)14/h1-10H,(H2,17,19)",N=C(O)c1cc(-c2ccccc2)nc2ccccc12,751.0486079861877,False,['29197-45-3'],0.4265386223
POOL-00027944,"InChI=1S/C13H10N2S/c14-10-5-3-4-9(8-10)13-15-11-6-1-2-7-12(11)16-13/h1-8H,14H2",Nc1cccc(-c2nc3ccccc3s2)c1,609.9825666252442,False,['41230-21-1'],0.3999551273
POOL-00027951,"InChI=1S/C13H10N2O/c14-10-6-7-12-11(8-10)15-13(16-12)9-4-2-1-3-5-9/h1-8H,14H2",Nc1ccc2oc(-c3ccccc3)nc2c1,628.7325666252442,False,['41373-37-9'],0.4615576457
POOL-00027943,"InChI=1S/C13H10N2O/c14-10-5-3-4-9(8-10)13-15-11-6-1-2-7-12(11)16-13/h1-8H,14H2",Nc1cccc(-c2nc3ccccc3o2)c1,609.9825666252442,False,['41373-36-8'],0.407962509
POOL-00000430,"InChI=1S/C12H8N2O2/c15-11-8(4-3-7-13-11)12-14-9-5-1-2-6-10(9)16-12/h1-7H,(H,13,15)",Oc1ncccc1-c1nc2ccccc2o1,613.0687329524246,False,['292140-74-0'],0.4395372179
POOL-00032439,"InChI=1S/C12H8N2O2S/c15-11(9-5-3-7-16-9)14-12-13-8-4-1-2-6-10(8)17-12/h1-7H,(H,13,14,15)",O=C(Nc1nc2ccccc2s1)c1ccco1,625.0187628106884,False,['87874-18-8'],0.5076693062
POOL-00000431,"InChI=1S/C12H8N2O2/c15-11-6-5-8(7-13-11)12-14-9-3-1-2-4-10(9)16-12/h1-7H,(H,13,15)",Oc1ccc(-c2nc3ccccc3o2)cn1,595.8187329524246,False,['54627-93-9'],0.436703555
POOL-00000132,"InChI=1S/C14H10N2OS/c17-13-6-5-10-3-1-2-4-11(10)12(13)9-16-14-15-7-8-18-14/h1-9,17H",Oc1ccc2ccccc2c1C=Nc1nccs1,704.8956658155009,False,['890-33-5'],0.4127972915
