ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00004509,"InChI=1S/C11H20N2O4/c1-10(2,3)17-9(15)13-6-11(12,7-13)5-8(14)16-4/h5-7,12H2,1-4H3",COC(=O)CC1(N)CN(C(=O)OC(C)(C)C)C1,315.9233454919186,False,['1105662-89-2'],0.2682816761,0,,,,,,
POOL-00026796,"InChI=1S/C13H20N2O2/c14-9-5-2-6-10-15-13(16)17-11-12-7-3-1-4-8-12/h1,3-4,7-8H,2,5-6,9-11,14H2,(H,15,16)",NCCCCCN=C(O)OCc1ccccc1,325.45116411809533,False,['69747-36-0'],0.2982353377,0,$44.20/50 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/ena447958887?context=bbe,,,
POOL-00007002,"InChI=1S/C14H22N2O2/c1-14(2,3)18-13(17)16-10-12(15)9-11-7-5-4-6-8-11/h4-8,12H,9-10,15H2,1-3H3,(H,16,17)",CC(C)(C)OC(O)=NCC(N)Cc1ccccc1,382.5305068733243,False,['943323-35-1'],0.272879572,0,$212.75/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/achemblock/advh14dbb112?context=bbe,,,
POOL-00007808,"InChI=1S/C13H20N2O2/c1-13(2,3)17-12(16)15-8-7-10-5-4-6-11(14)9-10/h4-6,9H,7-8,14H2,1-3H3,(H,15,16)",CC(C)(C)OC(O)=NCCc1cccc(N)c1,394.6510902194273,False,['180079-94-1'],0.3380706251,0,$55.00/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6ebaa5?context=bbe,,,
POOL-00025014,"InChI=1S/C9H17NO2/c10-8(6-9(11)12)7-4-2-1-3-5-7/h7-8H,1-6,10H2,(H,11,12)",NC(CC(=O)O)C1CCCCC1,152.6075250475963,False,['129042-71-3'],0.2618014148,0,$68.40/500 mg,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/keyorganicsbionet/key003450708?context=bbe,,,
POOL-00014413,"InChI=1S/C11H23NO3/c1-10(2,3)14-7-8(12)9(13)15-11(4,5)6/h8H,7,12H2,1-6H3",CC(C)(C)OCC(N)C(=O)OC(C)(C)C,212.85337365291565,False,['17083-22-6'],0.2582829928,0,,,,,,
POOL-00035224,"InChI=1S/C13H20N2O2/c1-13(2,3)17-12(16)15-9-8-10-4-6-11(14)7-5-10/h4-7H,8-9,14H2,1-3H3,(H,15,16)",CC(C)(C)OC(O)=NCCc1ccc(N)cc1,377.4010902194273,False,['94838-59-2'],0.3386753057,0,$5.50/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6fb0d4?context=bbe,"$88.00
Each/1g",Check Availability,https://www.fishersci.com/shop/products/4-2-boc-amino-ethyl-aniline-97-thermo-scientific/AAH6332403#94838-59-2
POOL-00011309,"InChI=1S/C10H21NO3S/c12-15(13,14)9-5-4-8-11-10-6-2-1-3-7-10/h10-11H,1-9H2,(H,12,13,14)",O=S(=O)(O)CCCCNC1CCCCC1,257.8410661183165,False,['161308-34-5'],0.2900554692,0,$451.00/25 G,"Estimated to ship on January 30, 2023",https://www.sigmaaldrich.com/US/en/product/sigma/c5580,,,
POOL-00009881,"InChI=1S/C9H17NO2/c10-8-6-4-2-1-3-5-7(8)9(11)12/h7-8H,1-6,10H2,(H,11,12)",NC1CCCCCCC1C(=O)O,158.6075250475963,False,['1384510-65-9'],0.2652562865,0,$388.70/1 g,Ships in 30 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah3045a86c?context=bbe,,,
POOL-00016007,"InChI=1S/C11H21NO3/c1-2-3-4-5-8-15-11(14)7-6-10(13)9-12/h2-9,12H2,1H3",CCCCCCOC(=O)CCC(=O)CN,192.272055383662,False,['140898-97-1'],0.2545684057,0,$105.00/10 MG,"Only 5 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/sigma/sml1637,,,
POOL-00014378,"InChI=1S/C8H17NO3/c1-5(6(9)7(10)11)12-8(2,3)4/h5-6H,9H2,1-4H3,(H,10,11)",CC(OC(C)(C)C)C(N)C(=O)O,162.17613301301972,False,['1352748-38-9'],0.2900247322,0,$36.40/1 g,Ships in 30 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah3047926a?context=bbe,,,
POOL-00000668,"InChI=1S/C11H20N2O3/c1-10(2,3)16-9(14)13-6-11(7-13)4-8(12)5-15-11/h8H,4-7,12H2,1-3H3",CC(C)(C)OC(=O)N1CC2(CC(N)CO2)C1,292.0950254250104,False,['1250998-24-3'],0.2752286091,0,,,,,,
POOL-00028748,"InChI=1S/C8H12N2O/c1-3-7-8(11)6(9)4-5(2)10-7/h4,11H,3H2,1-2H3,(H2,9,10)",CCc1nc(C)cc(N)c1O,271.03972257956417,False,['125695-92-3'],0.2719809983,0,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/l211184,,,
POOL-00013653,"InChI=1S/C8H12N2O2S/c1-13(11,12)10-8-4-2-3-7(5-8)6-9/h2-5,10H,6,9H2,1H3",CS(=O)(=O)Nc1cccc(CN)c1,386.8854295941668,False,['114100-09-3'],0.2605651304,0,$150.00/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/jwpharmlabllc/jwph3249c7fe?context=bbe,,,
POOL-00004903,"InChI=1S/C11H15BrN2O2/c1-11(2,3)16-10(15)14-9-5-4-7(12)6-8(9)13/h4-6H,13H2,1-3H3,(H,14,15)",CC(C)(C)OC(O)=Nc1ccc(Br)cc1N,410.9358564831848,False,['954239-15-7'],0.2980276599,0,$150.00/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/jwpharmlabllc/jwph3249c986?context=bbe,,,
POOL-00038304,"InChI=1S/C8H15NO2/c9-7(8(10)11)5-6-3-1-2-4-6/h6-7H,1-5,9H2,(H,10,11)",NC(CC1CCCC1)C(=O)O,141.0274844075218,False,"['96539-87-6', '5455-46-9']",0.2665546097,0,"$1,700.00/1 G","Estimated to ship on January 06, 2023",https://www.sigmaaldrich.com/US/en/product/aldrich/38473,,,
POOL-00010430,"InChI=1S/C9H15NO2/c10-8-6-4-2-1-3-5-7(8)9(11)12/h1-2,7-8H,3-6,10H2,(H,11,12)",NC1CCC=CCCC1C(=O)O,188.967556752381,False,['736127-53-0'],0.26308991,0,,,,,,
POOL-00023390,"InChI=1S/C11H14N2O2S/c14-10(15)7-4-8-12-11(16)13-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,14,15)(H2,12,13,16)",O=C(O)CCCN=C(S)Nc1ccccc1,365.5071288922052,False,['25759-76-6'],0.2744215359,0,$134.00/25 MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph007518,,,
