ligand,amount,y_real,mean,std,uci
2-pyridin-2-ylpyridine,22.5,0.29460582,0.3001774401420755,0.014915906923344619,0.30220164606803723
2-pyridin-2-ylpyridine,11.15,0.4702875,0.46148862096185567,0.018908947085007895,0.4640547138544887
2-pyridin-2-ylpyridine,16.8,0.26652342,0.28232269794301984,0.02624157594557414,0.2858838862642256
2-pyridin-2-ylpyridine,5.7,0.52563721,0.5380094266451085,0.03450230747720642,0.5426916612295448
2-pyridin-2-ylpyridine,8.4,0.53467697,0.5413528394900444,0.024812417393789043,0.5447200797513347
2-pyridin-2-ylpyridine,13.850000000000001,0.45198578,0.45879543703893305,0.022106745315297213,0.46179549631128725
2-pyridin-2-ylpyridine,19.55,0.2891227,0.3054109341925133,0.016931909983572635,0.3077087275954044
2-pyridin-2-ylpyridine,2.75,0.85240072,0.8440643574581198,0.027642711189181084,0.8478156908558374
2-pyridin-2-ylpyridine,20.900000000000002,0.2574096,0.2811310235856924,0.01866952967141825,0.2836646256515955
2-pyridin-2-ylpyridine,4.1000000000000005,0.80490518,0.8043109387088274,0.02867136539643974,0.8082018685757909
2-pyridin-2-ylpyridine,7.050000000000001,0.68049794,0.6793157937459471,0.023888342559202788,0.6825576297816804
2-pyridin-2-ylpyridine,9.75,0.37433314,0.38913435816715003,0.03211564089253102,0.39349270331805586
2-pyridin-2-ylpyridine,12.5,0.42471844,0.42999397729856603,0.024858781274072417,0.4333675095031959
2-pyridin-2-ylpyridine,15.25,0.31387079,0.33573261760137163,0.031341394432442785,0.3399858914159705
2-pyridin-2-ylpyridine,1.35,0.97510374,0.9750948301398954,0.035935582454945846,0.9799715714156366
2-pyridin-2-ylpyridine,18.2,0.25807646,0.2842980502126057,0.02796630261817925,0.28809329751321466
2-pyridin-2-ylpyridine,15.9,0.4365738,0.43517757031236604,0.023101252094145243,0.4383125919792631
2-pyridin-2-ylpyridine,20.25,0.35388264,0.33751746870266613,0.015240616213890876,0.3395857402341265
2-pyridin-2-ylpyridine,21.8,0.3192057,0.3238192042602093,0.013084231297542834,0.3255948373923583
2-pyridin-2-ylpyridine,3.4000000000000004,0.68790752,0.7019770960662972,0.030993437160272277,0.7061831493413788
2-pyridin-2-ylpyridine,4.75,0.91508597,0.9020564225445425,0.03257940914435017,0.90647770469609
2-pyridin-2-ylpyridine,0.7000000000000001,1.1360403,1.13471349033743,0.03630413264851197,1.1396402467741444
2-pyridin-2-ylpyridine,2.0500000000000003,0.8112033,0.8168130389974527,0.02816075193615618,0.8206346746004137
2-pyridin-2-ylpyridine,6.3500000000000005,0.7176941,0.7082819586706406,0.026764587239482655,0.7119141237394162
2-pyridin-2-ylpyridine,7.75,0.62996441,0.6269399008784424,0.02624939909393307,0.630502150862432
2-pyridin-2-ylpyridine,9.1,0.70909899,0.6976756975669159,0.03263421283403016,0.7021044170103414
2-pyridin-2-ylpyridine,10.450000000000001,0.46613812,0.469250866669866,0.019309289750815264,0.47187128921209437
2-pyridin-2-ylpyridine,11.8,0.32654119,0.34389380027859895,0.029057104637749243,0.3478370779955555
2-pyridin-2-ylpyridine,13.200000000000001,0.47043568,0.4804728301872086,0.022284296205271233,0.4834969845122801
2-pyridin-2-ylpyridine,14.55,0.42701542,0.4265978816887339,0.02005008648309339,0.42931883617602723
2-pyridin-2-ylpyridine,17.5,0.3282454,0.3425750206961397,0.023340038443372107,0.34574244754936756
2-pyridin-2-ylpyridine,18.85,0.41286308,0.39183828707704715,0.021449644362227464,0.3947491725800828
2-pyridin-2-ylpyridine,5.25,0.73125368,0.7320464254650115,0.030056679074207542,0.7361253532975204
2-pyridin-2-ylpyridine,16.35,0.27193242,0.2812663779084538,0.023768888563155018,0.28449200309707456
2-pyridin-2-ylpyridine,21.35,0.3846325,0.36624971208172175,0.015780065773745088,0.3683911911627751
2-pyridin-2-ylpyridine,8.85,0.5615738,0.5630591105036188,0.02446612117732286,0.5663793556437199
2-pyridin-2-ylpyridine,10.25,0.57550383,0.5625013020695642,0.028040492579813888,0.5663066175316842
2-pyridin-2-ylpyridine,10.9,0.43353587,0.44003851439227076,0.0164532042117852,0.442271343655534
2-pyridin-2-ylpyridine,12.75,0.61395967,0.5950526984935793,0.03021034825816408,0.5991524804434007
2-pyridin-2-ylpyridine,13.4,0.55764669,0.5462293694485557,0.02143257082299469,0.549137937937985
2-pyridin-2-ylpyridine,15.450000000000001,0.54030824,0.5165288735863435,0.03150471752209738,0.5208043116292138
2-pyridin-2-ylpyridine,17.05,0.52222884,0.4971179871504406,0.0343523608556126,0.5017798727985655
