ligand,amount,fom,window
2-pyridin-2-ylpyridine,0.0050999999999999995,0.984727382870333,small
2-pyridin-2-ylpyridine,0.005699999999999999,0.9815652800589078,small
dodecanoic acid,22.5,0.91985527884488,large
dodecanoic acid,11.15,0.943033845542456,large
dodecanoic acid,16.8,0.8588935620612,large
dodecanoic acid,5.7,1.1637617565240428,large
dodecanoic acid,8.4,0.977891111405484,large
dodecanoic acid,13.850000000000001,0.9307590409325738,large
dodecanoic acid,19.55,0.831537289707246,large
dodecanoic acid,2.75,1.520739501920784,large
dodecanoic acid,20.900000000000002,0.8716551861173665,large
dodecanoic acid,4.1000000000000005,1.472708305735859,large
dodecanoic acid,7.050000000000001,1.031933037488409,large
dodecanoic acid,9.75,0.957593721022652,large
dodecanoic acid,12.5,0.8471999602596371,large
dodecanoic acid,15.25,0.8056017353291826,large
dodecanoic acid,1.35,1.3781113392502318,large
dodecanoic acid,18.2,0.971333951516757,large
dodecanoic acid,15.9,0.9751241886342562,large
dodecanoic acid,20.25,0.8518793879984105,large
dodecanoic acid,21.8,0.8752318187839448,large
dodecanoic acid,3.4000000000000004,1.2477083057358591,large
dodecanoic acid,4.75,1.2074066101470393,large
dodecanoic acid,0.7000000000000001,1.508539210491456,large
dodecanoic acid,2.0500000000000003,1.2684776129288646,large
dodecanoic acid,6.3500000000000005,1.3394290634521127,large
dodecanoic acid,7.75,1.191699231686316,large
dodecanoic acid,9.1,1.1029341634653596,large
dodecanoic acid,10.450000000000001,0.9898976685653728,large
dodecanoic acid,11.8,0.9414193932971254,large
dodecanoic acid,13.200000000000001,0.9378179229036959,large
dodecanoic acid,14.55,0.8946151808186514,large
dodecanoic acid,17.5,0.6988094449595973,large
dodecanoic acid,18.85,0.9458206384951648,large
dodecanoic acid,5.25,1.3418035501390913,large
dodecanoic acid,16.35,0.9351255133130215,large
dodecanoic acid,21.35,0.898316002119486,large
dodecanoic acid,8.85,1.1958769373426943,large
dodecanoic acid,10.25,1.1255066896277652,large
dodecanoic acid,10.9,1.0429262153927672,large
dodecanoic acid,12.75,0.9369138296463108,large
dodecanoic acid,13.4,1.0919757583785932,large
dodecanoic acid,15.450000000000001,1.0045817326798252,large
dodecanoic acid,17.05,0.9653530268909789,large
dodecanoic acid,17.75,0.9186332626837992,large
dodecanoic acid,0.019999999999999997,1.3569760391105385,small
dodecanoic acid,0.009899999999999999,1.0619913403507444,small
dodecanoic acid,0.014899999999999998,1.255507025306262,small
dodecanoic acid,0.0048,1.0997707182582168,small
dodecanoic acid,0.012299999999999998,1.1128383563720428,small
dodecanoic acid,0.0024,1.0181222583304121,small
dodecanoic acid,0.007299999999999999,1.0234563748851224,small
dodecanoic acid,0.0174,1.2318161577306794,small
dodecanoic acid,0.0186,1.19145972884118,small
dodecanoic acid,0.008499999999999999,1.0376893706121444,small
dodecanoic acid,0.011099999999999999,1.1424033842743044,small
dodecanoic acid,0.0012,0.9944195476896549,small
dodecanoic acid,0.0036,1.025313367504524,small
dodecanoic acid,0.0060999999999999995,1.0443712279837418,small
dodecanoic acid,0.013499999999999998,1.105355907794632,small
dodecanoic acid,0.0162,1.238052715851706,small
dodecanoic acid,0.007899999999999999,1.109382549954049,small
dodecanoic acid,0.009099999999999999,1.0204434991046645,small
dodecanoic acid,0.010499999999999999,1.097826086956522,small
dodecanoic acid,0.014099999999999998,1.209435133163425,small
dodecanoic acid,0.0156,1.151659924014894,small
dodecanoic acid,0.018,1.252484675073664,small
dodecanoic acid,0.019399999999999997,1.3912403952741434,small
dodecanoic acid,0.0006,0.9198200801538652,small
dodecanoic acid,0.0018,0.9184368101414537,small
dodecanoic acid,0.0029999999999999996,0.9524240385799692,small
dodecanoic acid,0.0042,1.0345320094365544,small
dodecanoic acid,0.0055,1.0255312799037397,small
dodecanoic acid,0.006699999999999999,1.0599874937231757,small
dodecanoic acid,0.011699999999999999,1.1261925966630981,small
dodecanoic acid,0.012899999999999998,1.2528091750594523,small
dodecanoic acid,0.0168,1.2350208911669684,small
dodecanoic acid,0.0095,1.0803125621760923,small
dodecanoic acid,0.014499999999999999,1.1960477322898804,small
dodecanoic acid,0.019,1.264924630733228,small
dodecanoic acid,0.0121,1.158647332468,small
dodecanoic acid,0.016,1.2236965522468664,small
dodecanoic acid,0.017599999999999998,1.196699100874492,small
dodecanoic acid,0.0184,1.2588444010725082,small
dodecanoic acid,0.0196,1.267842761992288,small
dodecanoic acid,0.0037999999999999996,1.0675410006916353,small
dodecanoic acid,0.0050999999999999995,1.0814044927852047,small
dodecanoic acid,0.005699999999999999,1.1895956303826734,small
"N,N-dibutylbutan-1-amine",22.5,0.011778711437649992,large
"N,N-dibutylbutan-1-amine",11.15,0.204918417418585,large
"N,N-dibutylbutan-1-amine",16.8,0.08999155348787322,large
"N,N-dibutylbutan-1-amine",5.7,0.3009266024910507,large
"N,N-dibutylbutan-1-amine",8.4,0.294113585477362,large
"N,N-dibutylbutan-1-amine",13.850000000000001,0.07515334441658733,large
"N,N-dibutylbutan-1-amine",19.55,0.07533182726212341,large
"N,N-dibutylbutan-1-amine",2.75,0.6112057060881922,large
"N,N-dibutylbutan-1-amine",20.900000000000002,0.06825184013299904,large
"N,N-dibutylbutan-1-amine",4.1000000000000005,0.46931586603563613,large
"N,N-dibutylbutan-1-amine",7.050000000000001,0.3372043720755627,large
"N,N-dibutylbutan-1-amine",9.75,0.18415105849544824,large
"N,N-dibutylbutan-1-amine",12.5,0.139668608470645,large
"N,N-dibutylbutan-1-amine",15.25,0.038014181425717615,large
"N,N-dibutylbutan-1-amine",1.35,0.690034791585665,large
"N,N-dibutylbutan-1-amine",18.2,0.06076410768632603,large
"N,N-dibutylbutan-1-amine",15.9,0.06147653076273345,large
"N,N-dibutylbutan-1-amine",20.25,0.01972019252684784,large
"N,N-dibutylbutan-1-amine",21.8,0.030291203560942254,large
"N,N-dibutylbutan-1-amine",3.4000000000000004,0.5660017831525601,large
"N,N-dibutylbutan-1-amine",4.75,0.5217279820880314,large
"N,N-dibutylbutan-1-amine",0.7000000000000001,0.8821527209835494,large
"N,N-dibutylbutan-1-amine",2.0500000000000003,0.6959372947028302,large
"N,N-dibutylbutan-1-amine",6.3500000000000005,0.22876070897073217,large
"N,N-dibutylbutan-1-amine",7.75,0.26496859372276665,large
"N,N-dibutylbutan-1-amine",9.1,0.21214018528698025,large
"N,N-dibutylbutan-1-amine",10.450000000000001,0.09799462372799549,large
"N,N-dibutylbutan-1-amine",11.8,0.1318224020271629,large
"N,N-dibutylbutan-1-amine",13.200000000000001,0.03635916781744808,large
"N,N-dibutylbutan-1-amine",14.55,0.0635635231340582,large
"N,N-dibutylbutan-1-amine",17.5,0.029422268625899955,large
"N,N-dibutylbutan-1-amine",18.85,0.0,large
"N,N-dibutylbutan-1-amine",5.25,0.43611202354297657,large
"N,N-dibutylbutan-1-amine",16.35,0.01257997372196227,large
"N,N-dibutylbutan-1-amine",21.35,0.006680085001407752,large
"N,N-dibutylbutan-1-amine",8.85,0.1881561129955622,large
"N,N-dibutylbutan-1-amine",10.25,0.16320270288388056,large
"N,N-dibutylbutan-1-amine",10.9,0.10663017684046817,large
"N,N-dibutylbutan-1-amine",12.75,0.07652188048855697,large
"N,N-dibutylbutan-1-amine",13.4,0.05059611594513789,large
"N,N-dibutylbutan-1-amine",15.450000000000001,0.014458367409870351,large
"N,N-dibutylbutan-1-amine",17.05,0.006228146325767224,large
"N,N-dibutylbutan-1-amine",17.75,0.010744365640124954,large
"N,N-dibutylbutan-1-amine",0.019999999999999997,0.9604806931204184,small
"N,N-dibutylbutan-1-amine",0.009899999999999999,1.0128863096672058,small
"N,N-dibutylbutan-1-amine",0.014899999999999998,1.0048138142272085,small
"N,N-dibutylbutan-1-amine",0.0048,0.8897941976115908,small
"N,N-dibutylbutan-1-amine",0.012299999999999998,0.9995483016140687,small
"N,N-dibutylbutan-1-amine",0.0024,0.9278637677668031,small
"N,N-dibutylbutan-1-amine",0.007299999999999999,0.9847498021130879,small
"N,N-dibutylbutan-1-amine",0.0174,0.9028740923013386,small
"N,N-dibutylbutan-1-amine",0.0186,0.9372913583645937,small
"N,N-dibutylbutan-1-amine",0.008499999999999999,0.961014127404756,small
"N,N-dibutylbutan-1-amine",0.011099999999999999,0.9479557421619574,small
"N,N-dibutylbutan-1-amine",0.0012,0.8541724025191864,small
"N,N-dibutylbutan-1-amine",0.0036,0.8971697869704374,small
"N,N-dibutylbutan-1-amine",0.0060999999999999995,0.909797983274254,small
"N,N-dibutylbutan-1-amine",0.013499999999999998,0.8976472966927073,small
"N,N-dibutylbutan-1-amine",0.0162,0.9956916577760953,small
"N,N-dibutylbutan-1-amine",0.007899999999999999,0.9959454692500945,small
"N,N-dibutylbutan-1-amine",0.009099999999999999,1.0749087999449358,small
"N,N-dibutylbutan-1-amine",0.010499999999999999,1.0569914306363355,small
"N,N-dibutylbutan-1-amine",0.014099999999999998,1.018833671748632,small
"N,N-dibutylbutan-1-amine",0.0156,1.1103090477337645,small
"N,N-dibutylbutan-1-amine",0.018,1.1362731011460232,small
"N,N-dibutylbutan-1-amine",0.019399999999999997,1.053371390714802,small
"N,N-dibutylbutan-1-amine",0.0006,1.0175603124892452,small
