ligand,y_real,mean,std,uci
octanoic acid,,1.08247129782,0.15788348750321518,1.3016487158549297
dodecanoic acid,1.462567,1.3242114171800001,0.08718187108090493,1.445239256792282
octadecanoic acid,,1.3302441855599998,0.09512169897640685,1.4622942733205715
(Z)-octadec-9-enoic acid,,1.3284084006199997,0.0993042879171912,1.4662648526764188
octan-1-amine,,0.89795322592,0.11588647695465505,1.0588294467696848
dodecan-1-amine,,1.0195035693399999,0.06332216195307049,1.1074088226425722
octadecan-1-amine,,1.10177863476,0.0705096061607791,1.1996616602072598
(Z)-octadec-9-en-1-amine,,1.09331121626,0.07136427898347168,1.1923807177948151
octadecane-1-thiol,1.1559242,1.1749417649400002,0.07553676463070737,1.2798036051507031
octylphosphonic acid,0.23803173,0.3016206620999999,0.11776130296403503,0.46509955869810493
dodecylphosphonic acid,,0.5407072565800002,0.16505019113976893,0.7698336542309865
octadecylphosphonic acid,,0.5615389384800001,0.15580973016605676,0.7778375198108691
N-butylbutan-1-amine,,0.8525472763200002,0.10891619697242176,1.00374719730042
N-octyloctan-1-amine,,1.0485797186199999,0.07553311667067787,1.1534364946503188
"N,N-dibutylbutan-1-amine",0.85785228,0.9307277378000002,0.06255090043718646,1.0175623084722707
"N,N-dioctyloctan-1-amine",,1.1040736790999999,0.11186325188254642,1.259364768170402
2-amino-3-phenylpropanoic acid,,1.0321957774599997,0.14709771887431064,1.2364001482371705
"3,3-diphenylpropan-1-amine",,1.1376243700600002,0.07191185191512377,1.2374540246877272
"decane-1,10-diamine",,0.9242663969599999,0.16999163674355114,1.1602526208405972
10-phosphonodecylphosphonic acid,,0.4316768111800001,0.273253548415649,0.8110135496682793
"decane-1,10-dithiol",,0.90105844176,0.1322154979849532,1.0846029778658064
2-pyridin-2-ylpyridine,1.1360403,1.16193705602,0.098474125694913,1.2986410581571368
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,,1.19974519676,0.09151675452446612,1.3267908193315212
"1,10-phenanthroline",,1.1864281345799998,0.09087994816827666,1.3125897282062207
