ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu
POOL-00031095,"InChI=1S/C9H7F3O2/c10-9(11,12)7-4-2-1-3-6(7)5-8(13)14/h1-4H,5H2,(H,13,14)",O=C(O)Cc1ccccc1C(F)(F)F,344.15545779319825,False,['3038-48-0'],0.2169328159
POOL-00025376,"InChI=1S/C9H6F4O2/c10-7-3-5(4-8(14)15)1-2-6(7)9(11,12)13/h1-3H,4H2,(H,14,15)",O=C(O)Cc1ccc(C(F)(F)F)c(F)c1,384.1890010832792,False,['238754-67-1'],0.2249993471
POOL-00030188,"InChI=1S/C8H4F4O2/c9-6-2-1-4(7(13)14)3-5(6)8(10,11)12/h1-3H,(H,13,14)",O=C(O)c1ccc(F)c(C(F)(F)F)c1,370.0942955973681,False,['67515-55-3'],0.2222791252
POOL-00026523,"InChI=1S/C9H6BrF3O2/c10-7-4-6(9(11,12)13)2-1-5(7)3-8(14)15/h1-2,4H,3H2,(H,14,15)",O=C(O)Cc1ccc(C(F)(F)F)cc1Br,387.43411358111575,False,['518070-15-0'],0.2157985209
POOL-00010011,"InChI=1S/C11H11F3O2/c12-11(13,14)9(10(15)16)7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H,15,16)",O=C(O)C(CCc1ccccc1)C(F)(F)F,345.9973496198969,False,['932710-62-8'],0.2223924612
POOL-00022361,"InChI=1S/C10H9F3O2/c11-10(12,13)8-4-1-7(2-5-8)3-6-9(14)15/h1-2,4-5H,3,6H2,(H,14,15)",O=C(O)CCc1ccc(C(F)(F)F)cc1,340.68028790799787,False,['53473-36-2'],0.2250497146
POOL-00008735,"InChI=1S/C8H4BrF3O2/c9-6-2-1-4(7(13)14)3-5(6)8(10,11)12/h1-3H,(H,13,14)",O=C(O)c1ccc(Br)c(C(F)(F)F)c1,373.3394080952047,False,"['161622-14-6', '1622-14-6']",0.2200737108
POOL-00003449,"InChI=1S/C10H8F4O2/c11-8-3-1-6(2-4-9(15)16)5-7(8)10(12,13)14/h1,3,5H,2,4H2,(H,15,16)",O=C(O)CCc1ccc(F)c(C(F)(F)F)c1,398.2957698029687,False,['916420-42-3'],0.2173798113
POOL-00010677,"InChI=1S/C9H9F3O2/c10-9(11,12)14-8-3-1-7(2-4-8)5-6-13/h1-4,13H,5-6H2",OCCc1ccc(OC(F)(F)F)cc1,279.1036953172777,False,['196811-90-2'],0.2509652982
POOL-00009610,"InChI=1S/C8H6BrFO2/c9-6-1-5(3-8(11)12)2-7(10)4-6/h1-2,4H,3H2,(H,11,12)",O=C(O)Cc1cc(F)cc(Br)c1,291.6762119661022,False,['202000-99-5'],0.2220669606
POOL-00010009,"InChI=1S/C11H10F4O2/c12-8-4-1-7(2-5-8)3-6-9(10(16)17)11(13,14)15/h1-2,4-5,9H,3,6H2,(H,16,17)",O=C(O)C(CCc1ccc(F)cc1)C(F)(F)F,383.4530587502513,False,['932710-60-6'],0.2193451494
POOL-00005321,"InChI=1S/C11H9F3O2/c12-11(13,14)8-3-1-7(2-4-8)10(5-6-10)9(15)16/h1-4H,5-6H2,(H,15,16)",O=C(O)C1(c2ccc(C(F)(F)F)cc2)CC1,415.85096995966194,False,['886366-13-8'],0.2271169988
POOL-00009957,"InChI=1S/C8H6BrFO2/c9-7(8(11)12)5-1-3-6(10)4-2-5/h1-4,7H,(H,11,12)",O=C(O)C(Br)c1ccc(F)cc1,283.6142639365964,False,['29270-33-5'],0.2210345922
POOL-00005754,"InChI=1S/C10H8F2O2/c11-7-2-1-3-8(12)9(7)5-4-6(5)10(13)14/h1-3,5-6H,4H2,(H,13,14)",O=C(O)C1CC1c1c(F)cccc1F,369.4584301263921,False,['1157561-48-2'],0.218288329
POOL-00013041,"InChI=1S/C8H11F3O2/c9-8(10,11)6-3-1-2-5(4-6)7(12)13/h5-6H,1-4H2,(H,12,13)",O=C(O)C1CCCC(C(F)(F)F)C1,200.0560450493849,False,"['104907-44-0', '31003-70-0']",0.2186591916
POOL-00026494,"InChI=1S/C9H7F3O2S/c10-9(11,12)15-7-4-2-1-3-6(7)5-8(13)14/h1-4H,5H2,(H,13,14)",O=C(O)Cc1ccccc1SC(F)(F)F,362.62024384389065,False,['239080-01-4'],0.2212944624
POOL-00026562,"InChI=1S/C8H11F3O2/c9-8(10,11)6-3-1-5(2-4-6)7(12)13/h5-6H,1-4H2,(H,12,13)",O=C(O)C1CCC(C(F)(F)F)CC1,192.0560450493849,False,"['95233-30-0', '133261-33-3', '1202578-27-5']",0.2184611859
POOL-00006576,"InChI=1S/C8H11F3O2/c9-8(10,11)6-4-2-1-3-5(6)7(12)13/h5-6H,1-4H2,(H,12,13)",O=C(O)C1CCCCC1C(F)(F)F,200.0560450493849,False,['384-20-3'],0.2199070538
POOL-00007706,"InChI=1S/C12H11F3O2/c13-12(14,15)9-4-1-3-8(7-9)11(10(16)17)5-2-6-11/h1,3-4,7H,2,5-6H2,(H,16,17)",O=C(O)C1(c2cccc(C(F)(F)F)c2)CCC1,447.309117658435,False,['151157-58-3'],0.2251002678
POOL-00009650,"InChI=1S/C8H11F3O2/c9-8(10,11)7(6(12)13)4-2-1-3-5-7/h1-5H2,(H,12,13)",O=C(O)C1(C(F)(F)F)CCCCC1,203.9249038079664,False,['180918-40-5'],0.2182033787
POOL-00010010,"InChI=1S/C11H10BrF3O2/c12-8-4-1-7(2-5-8)3-6-9(10(16)17)11(13,14)15/h1-2,4-5,9H,3,6H2,(H,16,17)",O=C(O)C(CCc1ccc(Br)cc1)C(F)(F)F,386.69817124808776,False,['932710-61-7'],0.2230236435
POOL-00009651,"InChI=1S/C7H9F3O2/c8-7(9,10)6(5(11)12)3-1-2-4-6/h1-4H2,(H,11,12)",O=C(O)C1(C(F)(F)F)CCCC1,191.31839426780132,False,['277756-44-2'],0.215968903
,,,,,,
POOL-00024991,"InChI=1S/C8H3F4NO/c9-6-3-1-2-5(8(10,11)12)7(6)13-4-14/h1-3H",O=C=Nc1c(F)cccc1C(F)(F)F,392.8180196606487,False,['190774-53-9'],0.2491539815
POOL-00024989,"InChI=1S/C8H3F4NO/c9-7-5(8(10,11)12)2-1-3-6(7)13-4-14/h1-3H",O=C=Nc1cccc(C(F)(F)F)c1F,392.8180196606487,False,['190774-52-8'],0.2453464284
POOL-00042497,"InChI=1S/C8H4F3NO/c9-8(10,11)6-2-1-3-7(4-6)12-5-13/h1-4H",O=C=Nc1cccc(C(F)(F)F)c1,352.651926258578,False,['329-01-1'],0.2526975691
POOL-00026445,"InChI=1S/C9H6F3NO/c10-9(11,12)14-8-4-2-1-3-7(8)5-6-13/h1-4H,5H2",N#CCc1ccccc1OC(F)(F)F,353.8100788142424,False,['137218-25-8'],0.250093331
