ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00025611,"InChI=1S/C11H10F2O3/c1-2-16-11(15)6-10(14)7-3-4-8(12)9(13)5-7/h3-5H,2,6H2,1H3",CCOC(=O)CC(=O)c1ccc(F)c(F)c1,415.69074398534826,False,['252955-07-0'],0.1454855118
POOL-00026229,"InChI=1S/C11H9F3O3/c1-2-17-10(16)9(15)7-3-5-8(6-4-7)11(12,13)14/h3-6H,2H2,1H3",CCOC(=O)C(=O)c1ccc(C(F)(F)F)cc1,420.58295075875424,False,['73790-06-4'],0.1465457895
POOL-00001581,"InChI=1S/C11H11F3O2/c12-11(13,14)6-10(15)8-16-7-9-4-2-1-3-5-9/h1-5H,6-8H2",O=C(COCc1ccccc1)CC(F)(F)F,332.83295359452586,False,['1344733-45-4'],0.1543234845
POOL-00026469,"InChI=1S/C10H11F3O/c1-9(2,14)7-3-5-8(6-4-7)10(11,12)13/h3-6,14H,1-2H3",CC(C)(O)c1ccc(C(F)(F)F)cc1,272.6243750996258,False,['2252-62-2'],0.1428991226
POOL-00025739,"InChI=1S/C11H11F3O/c1-2-3-8-4-6-9(7-5-8)10(15)11(12,13)14/h4-7H,2-3H2,1H3",CCCc1ccc(C(=O)C(F)(F)F)cc1,337.84582105186126,False,['107713-67-7'],0.1469426496
POOL-00030483,"InChI=1S/C8H8F6O2/c1-4(2)5(15)16-3-7(10,11)6(9)8(12,13)14/h6H,1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F,282.7433477087454,False,"['36405-47-7', '64376-86-9']",0.1518617584
POOL-00026109,"InChI=1S/C10H6BrF3O2/c11-7-3-1-6(2-4-7)8(15)5-9(16)10(12,13)14/h1-4H,5H2",O=C(CC(=O)C(F)(F)F)c1ccc(Br)cc1,409.067472964048,False,['18931-61-8'],0.1586215186
POOL-00037701,"InChI=1S/C10H5F5O2/c1-3(2)10(16)17-9-7(14)5(12)4(11)6(13)8(9)15/h1H2,2H3",C=C(C)C(=O)Oc1c(F)c(F)c(F)c(F)c1F,480.9031007183648,False,"['13642-97-2', '111886-03-4']",0.1584421159
POOL-00026262,"InChI=1S/C7H6F6O2/c1-2-4(14)15-3-6(9,10)5(8)7(11,12)13/h2,5H,1,3H2",C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,246.35518981440748,False,"['54052-90-3', '86227-80-7']",0.1522031418
POOL-00014407,"InChI=1S/C8H5F5O/c1-2(14)3-4(9)6(11)8(13)7(12)5(3)10/h2,14H,1H3",CC(O)c1c(F)c(F)c(F)c(F)c1F,345.4797676207678,False,"['830-50-2', '75853-08-6', '7583-08-6']",0.1439453504
POOL-00026942,"InChI=1S/C9H7F3O2S/c10-9(11,12)6-2-1-3-7(4-6)15-5-8(13)14/h1-4H,5H2,(H,13,14)",O=C(O)CSc1cccc(C(F)(F)F)c1,362.62024384389065,False,['349-83-7'],0.1443727815
POOL-00031204,"InChI=1S/C10H8F5NO/c1-4(2)16-17-3-5-6(11)8(13)10(15)9(14)7(5)12/h3H2,1-2H3",CC(C)=NOCc1c(F)c(F)c(F)c(F)c1F,439.2494410041995,False,['899828-53-6'],0.1446793106
POOL-00032934,"InChI=1S/C10H15F3O2/c11-10(12,13)9(14)15-8-6-4-2-1-3-5-7-8/h8H,1-7H2",O=C(OC1CCCCCCC1)C(F)(F)F,205.2032654573864,False,['1478-73-5'],0.1479719301
POOL-00031102,"InChI=1S/C12H13F3O/c1-2-3-4-9-5-7-10(8-6-9)11(16)12(13,14)15/h5-8H,2-4H2,1H3",CCCCc1ccc(C(=O)C(F)(F)F)cc1,351.52177667990776,False,['40739-44-4'],0.1470738793
POOL-00036869,"InChI=1S/C7H7F5O2/c1-4(2)5(13)14-3-6(8,9)7(10,11)12/h1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)F,242.95493431897629,False,['45115-53-5'],0.1502303898
POOL-00040523,"InChI=1S/C7H6F6O2/c1-3(2)4(14)15-5(6(8,9)10)7(11,12)13/h5H,1H2,2H3",C=C(C)C(=O)OC(C(F)(F)F)C(F)(F)F,249.6344251019696,False,"['3063-94-3', '28825-23-2']",0.1506990639
POOL-00026228,"InChI=1S/C11H9F3O3/c1-2-17-10(16)9(15)7-4-3-5-8(6-7)11(12,13)14/h3-6H,2H2,1H3",CCOC(=O)C(=O)c1cccc(C(F)(F)F)c1,437.8329507587544,False,['110193-60-7'],0.1503638916
POOL-00030973,"InChI=1S/C8H11F3O2/c1-2-3-4-6(12)5-7(13)8(9,10)11/h2-5H2,1H3",CCCCC(=O)CC(=O)C(F)(F)F,196.0560450493849,False,['81944-89-0'],0.151509869
POOL-00039636,"InChI=1S/C8H11F3O2/c1-5(2)3-6(12)4-7(13)8(9,10)11/h5H,3-4H2,1-2H3",CC(C)CC(=O)CC(=O)C(F)(F)F,205.9249038079664,False,['461-92-7'],0.1471428632
POOL-00030718,"InChI=1S/C8H7F3O3S/c1-6-2-4-7(5-3-6)14-15(12,13)8(9,10)11/h2-5H,1H3",Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,433.194853060382,False,['29540-83-8'],0.1469162683
POOL-00035602,"InChI=1S/C8H11F3O2/c1-7(2,3)5(12)4-6(13)8(9,10)11/h4H2,1-3H3",CC(C)(C)C(=O)CC(=O)C(F)(F)F,198.52408831375308,False,['22767-90-4'],0.1561339483
POOL-00006762,"InChI=1S/C9H13F3O2/c1-14-8(13)6-2-4-7(5-3-6)9(10,11)12/h6-7H,2-5H2,1H3",COC(=O)C1CCC(C(F)(F)F)CC1,204.59283136795787,False,['1204296-05-8'],0.1497128042
