ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu
POOL-00034040,"InChI=1S/C15H16N2O3/c1-19-13-9-5-3-7-11(13)16-15(18)17-12-8-4-6-10-14(12)20-2/h3-10H,1-2H3,(H2,16,17,18)",COc1ccccc1N=C(O)Nc1ccccc1OC,611.5725505612996,False,['1226-63-7'],0.1436354078
POOL-00032508,"InChI=1S/C16H16N2O2/c19-15(11-13-7-3-1-4-8-13)17-18-16(20)12-14-9-5-2-6-10-14/h1-10H,11-12H2,(H,17,19)(H,18,20)",OC(Cc1ccccc1)=NN=C(O)Cc1ccccc1,536.8886417660943,False,['793-25-9'],0.1623596866
POOL-00029450,"InChI=1S/C15H16N2O2/c1-11-3-5-12(6-4-11)16-15(18)17-13-7-9-14(19-2)10-8-13/h3-10H,1-2H3,(H2,16,17,18)",COc1ccc(NC(=O)Nc2ccc(C)cc2)cc1,547.3631868754018,False,['5578-28-9'],0.1380571011
POOL-00033988,"InChI=1S/C16H18N2O2/c1-3-12-8-10-13(11-9-12)17-16(19)18-14-6-4-5-7-15(14)20-2/h4-11H,3H2,1-2H3,(H2,17,18,19)",CCc1ccc(NC(O)=Nc2ccccc2OC)cc1,591.6807969975908,False,['76393-39-0'],0.1360011965
POOL-00023360,"InChI=1S/C14H16N2O3/c1-8-4-6-10(7-5-8)12-11(13(17)19-3)9(2)15-14(18)16-12/h4-7,12H,1-3H3,(H2,15,16,18)",COC(=O)C1=C(C)N=C(O)NC1c1ccc(C)cc1,558.5587382952176,False,['193623-15-3'],0.1532995139
POOL-00034037,"InChI=1S/C15H14N2O3/c1-20-14(18)12-9-5-6-10-13(12)17-15(19)16-11-7-3-2-4-8-11/h2-10H,1H3,(H2,16,17,19)",COC(=O)c1ccccc1NC(O)=Nc1ccccc1,624.0255694156942,False,['2321-50-8'],0.1440645246
POOL-00033884,"InChI=1S/C14H13FN2O2/c1-19-13-8-6-12(7-9-13)17-14(18)16-11-4-2-10(15)3-5-11/h2-9H,1H3,(H2,16,17,18)",COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1,552.6635769007231,False,['107676-55-1'],0.1401775771
POOL-00039772,"InChI=1S/C15H14N2O2/c18-14(16-12-7-3-1-4-8-12)11-15(19)17-13-9-5-2-6-10-13/h1-10H,11H2,(H,16,18)(H,17,19)",OC(CC(O)=Nc1ccccc1)=Nc1ccccc1,524.1092739254708,False,['621-10-3'],0.1380692255
POOL-00014146,"InChI=1S/C14H14N2O3/c1-10-12(7-8-19-10)14(17)16-15-9-11-5-3-4-6-13(11)18-2/h3-9H,1-2H3,(H,16,17)",COc1ccccc1C=NN=C(O)c1ccoc1C,614.6585672011378,False,['304906-48-7'],0.1433308665
POOL-00007608,"InChI=1S/C16H18N2O/c17-16(19)13-18(11-14-7-3-1-4-8-14)12-15-9-5-2-6-10-15/h1-10H,11-13H2,(H2,17,19)",N=C(O)CN(Cc1ccccc1)Cc1ccccc1,469.28684684679496,False,['861056-03-3'],0.1389275688
POOL-00034039,"InChI=1S/C15H16N2O2/c1-2-19-14-10-8-13(9-11-14)17-15(18)16-12-6-4-3-5-7-12/h3-11H,2H2,1H3,(H2,16,17,18)",CCOc1ccc(NC(O)=Nc2ccccc2)cc1,535.8318493224938,False,['4345-85-1'],0.1391753936
POOL-00023209,"InChI=1S/C15H16N2O2/c1-19-14-9-5-8-13(10-14)17-15(18)16-11-12-6-3-2-4-7-12/h2-10H,11H2,1H3,(H2,16,17,18)",COc1cccc(NC(O)=NCc2ccccc2)c1,553.0818493224938,False,['122020-37-5'],0.1389423394
