ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00004517,"InChI=1S/C8H6BrFO2/c1-12-8-5(4-11)2-6(10)3-7(8)9/h2-4H,1H3",COc1c(Br)cc(F)cc1C=O,312.1713244639388,False,['1009093-60-0'],0.230618365,1,,,,$25.30/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6f4ec6?context=bbe
POOL-00026646,"InChI=1S/C10H11FO2/c11-6-1-7-13-10-4-2-9(8-12)3-5-10/h2-5,8H,1,6-7H2",O=Cc1ccc(OCCCF)cc1,256.13218516584146,False,['400825-68-5'],0.250177982,1,,,,$14.30/10 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/apolloscientificltd/apo455834232?context=bbe
POOL-00007329,"InChI=1S/C8H6BrFO2/c1-12-8(11)6-4-5(9)2-3-7(6)10/h2-4H,1H3",COC(=O)c1cc(Br)ccc1F,311.92621196610224,False,['57381-59-6'],0.2447744878,1,,,,$16.50/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d67fe06?context=bbe
POOL-00007500,"InChI=1S/C8H6BrFO2/c1-12-8(11)5-2-3-6(9)7(10)4-5/h2-4H,1H3",COC(=O)c1ccc(Br)c(F)c1,311.92621196610224,False,['849758-12-9'],0.2491633149,1,,,,$16.50/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d67fe05?context=bbe
POOL-00031008,"InChI=1S/C10H8F3NO/c1-15-9(7-14,10(11,12)13)8-5-3-2-4-6-8/h2-6H,1H3",COC(C#N)(c1ccccc1)C(F)(F)F,368.49415764522297,False,['80866-87-1'],0.2486251164,1,,,,$106.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/t340758
POOL-00024873,"InChI=1S/C8H7F3O2/c1-12-6-2-4-7(5-3-6)13-8(9,10)11/h2-5H,1H3",COc1ccc(OC(F)(F)F)cc1,265.7127825957457,False,['710-18-9'],0.2618906792,1,"$514.50
Each of 1/100 μg",Check Availability,,$55.80/5 G,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/465356
POOL-00004961,"InChI=1S/C8H6BrF3O2S/c1-15(13,14)7-3-2-5(4-6(7)9)8(10,11)12/h2-4H,1H3",CS(=O)(=O)c1ccc(C(F)(F)F)cc1Br,479.150415978043,False,['1820703-37-4'],0.2427527787,1,,,,$78.00/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/combiblocksinc/com448684530?context=bbe
POOL-00004448,"InChI=1S/C9H9F2NO2/c1-2-14-9(13)6-3-4-12-7(5-6)8(10)11/h3-5,8H,2H2,1H3",CCOC(=O)c1ccnc(C(F)F)c1,328.3429223461079,False,['1192539-75-5'],0.2141317263,1,,,,$539.00/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3432448424?context=bbe
POOL-00030103,"InChI=1S/C10H6F3NO/c11-10(12,13)8-3-1-2-7(6-8)9(15)4-5-14/h1-3,6H,4H2",N#CCC(=O)c1cccc(C(F)(F)F)c1,417.41105689384887,False,['27328-86-5'],0.2153366213,1,,,,$25.30/1 g,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh97f06faf?context=bbe
POOL-00013692,"InChI=1S/C10H6F3NO/c11-10(12,13)8-3-1-7(2-4-8)9(15)5-6-14/h1-4H,5H2",N#CCC(=O)c1ccc(C(F)(F)F)cc1,400.1610568938488,False,['71682-94-5'],0.2173922301,1,,,,,,
POOL-00025280,"InChI=1S/C8H6F2O2/c9-8(10)12-7-3-1-6(5-11)2-4-7/h1-5,8H",O=Cc1ccc(OC(F)F)cc1,256.2652997875348,False,['73960-07-3'],0.2445246408,1,"$31.80
Each/1g",Check Availability,,$61.90/5 G,"Estimated to ship on November 02, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/470112
POOL-00009270,"InChI=1S/C9H9BrO3/c1-12-8-5-6(9(11)13-2)3-4-7(8)10/h3-5H,1-2H3",COC(=O)c1ccc(Br)c(OC)c1,322.63589476880867,False,['17100-63-9'],0.2566397095,1,,,,$16.50/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d68052a?context=bbe
POOL-00026368,"InChI=1S/C10H6F3NO/c11-10(12,13)9(15)8(6-14)7-4-2-1-3-5-7/h1-5,8H",N#CC(C(=O)C(F)(F)F)c1ccccc1,391.36879477128576,False,"['492-16-0', '175205-70-6']",0.2137606665,1,,,,,,
POOL-00009384,"InChI=1S/C8H8F3NO2/c1-13-6-3-5(8(9,10)11)4-12-7(6)14-2/h3-4H,1-2H3",COc1cc(C(F)(F)F)cnc1OC,324.8526973504348,False,['124432-61-7'],0.2458382986,1,,,,,,
POOL-00035602,"InChI=1S/C8H11F3O2/c1-7(2,3)5(12)4-6(13)8(9,10)11/h4H2,1-3H3",CC(C)(C)C(=O)CC(=O)C(F)(F)F,198.52408831375308,False,['22767-90-4'],0.2433828471,1,,,,$132.00/5 ML,"Only 4 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/469548
POOL-00025611,"InChI=1S/C11H10F2O3/c1-2-16-11(15)6-10(14)7-3-4-8(12)9(13)5-7/h3-5H,2,6H2,1H3",CCOC(=O)CC(=O)c1ccc(F)c(F)c1,415.69074398534826,False,['252955-07-0'],0.2155779355,1,,,,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/l132535
POOL-00039636,"InChI=1S/C8H11F3O2/c1-5(2)3-6(12)4-7(13)8(9,10)11/h5H,3-4H2,1-2H3",CC(C)CC(=O)CC(=O)C(F)(F)F,205.9249038079664,False,['461-92-7'],0.2345733681,1,$104.67 / Each/nan,,,$18.70/250 mg,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh9884bac3?context=bbe
POOL-00034194,"InChI=1S/C7H4BrF3O2S/c8-5-1-3-6(4-2-5)14(12,13)7(9,10)11/h1-4H",O=S(=O)(c1ccc(Br)cc1)C(F)(F)F,421.2432838202363,False,['312-20-9'],0.2471665853,1,,,,,,
POOL-00030973,"InChI=1S/C8H11F3O2/c1-2-3-4-6(12)5-7(13)8(9,10)11/h2-5H2,1H3",CCCCC(=O)CC(=O)C(F)(F)F,196.0560450493849,False,['81944-89-0'],0.249435954,1,,,,,,
