PS0519_SL02_wellLabel,PS0519_SL02_wallTag,PS0519_SL02_PL_pos,PS0519_SL02_PL_pos_s,PS0519_SL02_PL_FWHM,PS0519_SL02_PL_FWHM_s,PS0519_SL02_PL_height,PS0519_SL02_PL_height_s,PS0519_SL02_PL_area,PS0519_SL02_PL_area_s,PS0519_SL02_PL_sum,PS0519_SL02_PL_OD390,'PS0519_SL02_PL_sum/OD390',PS0519_SL02_PL_ref_sum,PS0519_SL02_PL_ref_OD390,'PS0519_SL02_PL_ref_sum/OD390',PS0519_SL02_PL_FOM,PS0519_SL02_PL_sum_a,PS0519_SL02_PL_sum_b,PS0519_SL02_PL_OD390_a,PS0519_SL02_PL_OD390_b,'PS0519_SL02_PL_sum/OD390_a','PS0519_SL02_PL_sum/OD390_b',PS0519_SL02_PL_FOM_a,PS0519_SL02_PL_FOM_b,PS0519_SL02_conc
A1,1,509.507,0.15062,21.5675,0.586502,33742.1,2509.86,1.14312e+06,65810.6,385048,1.24564,309118,400162,1.26642,315978,0.911958,385048,,1.24564,,309118,,0.911958,,3.4
A2,1,509.739,0.15013,21.7861,0.586735,40316.4,2972.25,1.37969e+06,78765,463421,1.38039,335718,434821,1.33802,324974,0.990433,463421,,1.38039,,335718,,0.990433,,27.2
A3,1,509.841,0.147907,21.8043,0.578226,43751.7,3176.28,1.4985e+06,84245.8,503182,1.39166,361569,451702,1.34806,335076,1.0667,503182,,1.39166,,361569,,1.0667,,45.8
A4,1,509.516,0.140909,21.5467,0.548498,50323.2,3503.8,1.70321e+06,91779.6,576706,1.34516,428728,433555,1.27197,340854,1.26483,576706,,1.34516,,428728,,1.26483,,216
A5,1,509.52,0.145806,21.7413,0.569404,51843.1,3716.19,1.7705e+06,98266.7,596873,1.38125,432126,414234,1.24107,333771,1.27486,596873,,1.38125,,432126,,1.27486,,1482
A6,3,509.668,0.147736,21.5975,0.575567,35024.7,2553.42,1.18822e+06,67050.6,400162,1.26642,315978,407068,1.14166,356557,0.932199,400162,,1.26642,,315978,,0.932199,,0
A7,1,509.768,0.144824,21.5698,0.563963,36945,2642.25,1.25176e+06,69289.7,422030,1.31769,320280,405862,1.13649,357117,0.94489,,422030,,1.31769,,320280,,0.94489,2.8
A8,1,509.979,0.144893,21.6411,0.564907,40554.4,2896.39,1.3786e+06,76218.1,464047,1.41603,327710,425819,1.22589,347355,0.96681,,464047,,1.41603,,327710,,0.96681,32.4
A9,1,509.93,0.146703,21.7208,0.572723,41371.1,2985.44,1.41154e+06,78865.4,474388,1.41379,335544,,,,0.989921,,474388,,1.41379,,335544,,0.989921,19.2
A10,1,509.45,0.148745,21.5069,0.578616,37908.8,2789.14,1.28067e+06,72917.6,430987,1.24902,345060,,,,1.01799,,430987,,1.24902,,345060,,1.01799,156
A11,1,509.456,0.151251,21.5884,0.589161,36361.5,2714.54,1.23305e+06,71249.7,413928,1.25893,328794,,,,0.970007,,413928,,1.25893,,328794,,0.970007,258
A12,3,509.62,0.145459,21.5598,0.566337,38069,2735.26,1.28924e+06,71693.9,434821,1.33802,324974,,,,0.958738,,434821,,1.33802,,324974,,0.958738,0
B1,1,509.529,0.146013,21.5609,0.5685,34571.1,2493.31,1.17085e+06,65355.6,395059,1.30604,302487,,,,0.892395,395059,,1.30604,,302487,,0.892395,,4.8
B2,1,509.754,0.147261,21.7071,0.574764,42307.3,3065.67,1.44257e+06,80930.9,485538,1.31094,370373,,,,1.09267,485538,,1.31094,,370373,,1.09267,,54.4
B3,1,509.574,0.147352,21.7913,0.575924,50688.1,3667.21,1.73504e+06,97206,583484,1.30269,447908,,,,1.32142,583484,,1.30269,,447908,,1.32142,,186
B4,1,509.583,0.142528,21.6782,0.556019,50841.3,3568.29,1.73125e+06,94068,584614,1.31664,444018,,,,1.30994,584614,,1.31664,,444018,,1.30994,,312
B5,1,509.65,0.146101,21.8612,0.571701,50868.9,3642.52,1.74681e+06,96876.9,587077,1.28932,455340,,,,1.34334,587077,,1.28932,,455340,,1.34334,,522
B6,2,,,,,,,,,,,,,,,,,,,,,,,,0
