ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00008734,"InChI=1S/C6H3BrFNO2/c7-3-1-4(6(10)11)5(8)9-2-3/h1-2H,(H,10,11)",O=C(O)c1cc(Br)cnc1F,302.6337992264623,False,['29241-66-5'],1.8855428911,0,$5.50/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6f03f0?context=bbe,,,
POOL-00027120,"InChI=1S/C7H4BrFO2/c8-6-3-4(9)1-2-5(6)7(10)11/h1-3H,(H,10,11)",O=C(O)c1ccc(F)cc1Br,298.492089776386,False,"['1006-41-3', '14632-85-0']",1.900533718,0,,,,"$196.40
Each/25 g",Check Availability,
POOL-00038437,"InChI=1S/C6H4BrNO2/c7-5-4(6(9)10)2-1-3-8-5/h1-3H,(H,9,10)",O=C(O)c1cccnc1Br,261.67965837655686,False,['35905-85-2'],1.8980681145,0,$27.00/1 G,"Available to ship on March 06, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/632465,"$43.85
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/2-bromonicotinic-acid-97-thermo-scientific/AAH3023903#35905-85-2
POOL-00014865,"InChI=1S/C7H4BrFO2/c8-5-1-4(3-10)7(11)2-6(5)9/h1-3,11H",O=Cc1cc(Br)c(F)cc1O,298.73720227422257,False,['399-00-8'],1.8879012659,0,$20.90/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6f0c12?context=bbe,,,
POOL-00031086,"InChI=1S/C6H4BrNO2/c7-5-3-1-2-4(8-5)6(9)10/h1-3H,(H,9,10)",O=C(O)c1cccc(Br)n1,261.67965837655686,False,['21190-87-4'],1.890870767,0,$65.10/1 G,"Available to ship on March 06, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/484652,"$51.80
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/6-bromopicolinic-acid-98-thermo-scientific/AC379930010#21190-87-4
POOL-00040498,"InChI=1S/C7H5BrO2/c8-6-3-5(4-9)1-2-7(6)10/h1-4,10H",O=Cc1ccc(O)c(Br)c1,257.78306142431705,False,['2973-78-6'],1.8946256006,0,$42.50/5 G,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/516775,"$69.30
Each of 1/5 g",Check Availability,
POOL-00039974,"InChI=1S/C7H4BrFO2/c8-5-3-4(7(10)11)1-2-6(5)9/h1-3H,(H,10,11)",O=C(O)c1ccc(F)c(Br)c1,298.492089776386,False,['1007-16-5'],1.8900168404,0,$24.00/1 G,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/341355,"$62.00
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/3-bromo-4-fluorobenzoic-acid-96-thermo-scientific/AAB2471103#1007-16-5
POOL-00026172,"InChI=1S/C7H4BrFO2/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3H,(H,10,11)",O=C(O)c1ccc(Br)c(F)c1,298.492089776386,False,['153556-42-4'],1.8900388491,0,$16.50/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d6774a3?context=bbe,"$61.70
Each of 1/5 g",Check Availability,https://www.fishersci.com/shop/products/4-bromo-3-fluorobenzoic-acid-98-thermo-scientific/AAB2547506#153556-42-4
POOL-00006666,"InChI=1S/C8H5FO3/c9-7-2-1-5(4-10)3-6(7)8(11)12/h1-4H,(H,11,12)",O=Cc1ccc(F)c(C(=O)O)c1,333.0748996548372,False,['550363-85-4'],1.8905059337,0,$36.30/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh95e07f54?context=bbe,,,
POOL-00026846,"InChI=1S/C8H5FO3/c9-7-2-1-5(8(11)12)3-6(7)4-10/h1-4H,(H,11,12)",O=Cc1cc(C(=O)O)ccc1F,333.0748996548373,False,['845885-90-7'],1.9007432602,0,$44.00/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d67e471?context=bbe,"$1,077.00
Each/5 g",Check Availability,https://www.fishersci.com/shop/products/4-fluoro-3-formyl-benzoic-acid-97-thermo-scientific/MO07323DE#845885-90-7
