ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00032965,"InChI=1S/C6H12Br3O3P/c7-1-4-11-13(10,6-3-9)12-5-2-8/h1-6H2",O=P(CCBr)(OCCBr)OCCBr,155.20346637910353,False,['78-45-5'],1.0618940595,5,"$24.75
Each/0.25g",Check Availability,https://www.fishersci.com/shop/products/2-bromo-5-trifluoromethyl-pyridine-96-thermo-scientific/AA4338101#78-45-5,$134.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph004034
POOL-00036869,"InChI=1S/C7H7F5O2/c1-4(2)5(13)14-3-6(8,9)7(10,11)12/h1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)F,242.95493431897629,False,['45115-53-5'],1.0421274693,5,"$199.30
Each/25g",Check Availability,,$241.00/5 ML,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/474193
POOL-00043591,"InChI=1S/C10H21NO/c1-8(12)11-10(5,6)7-9(2,3)4/h7H2,1-6H3,(H,11,12)",CC(O)=NC(C)(C)CC(C)(C)C,170.76782581216128,False,['5459-42-7'],1.0626321324,5,,,,,,
POOL-00004057,"InChI=1S/C13H29N/c1-5-6-7-8-9-10-11-12-13(2)14(3)4/h13H,5-12H2,1-4H3",CCCCCCCCCC(C)N(C)C,109.80319039058516,False,['68989-38-8'],1.0574027428,5,,,,,,
POOL-00030483,"InChI=1S/C8H8F6O2/c1-4(2)5(15)16-3-7(10,11)6(9)8(12,13)14/h6H,1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F,282.7433477087454,False,"['36405-47-7', '64376-86-9']",1.0173339966,5,"$206.00
Each/25g",Check Availability,https://www.fishersci.com/shop/products/2-2-3-4-4-4-hexafluorobutyl-methacrylate-96-stab-thermo-scientific/AAL0954314#36405-47-7,$63.00/5 G,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/371971
POOL-00041351,"InChI=1S/C8H14O2S2/c1-7(2,5-9)11-12-8(3,4)6-10/h5-6H,1-4H3",CC(C)(C=O)SSC(C)(C)C=O,155.8966738041484,False,['15581-80-3'],1.0428236369,5,,,,$398.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph007058
POOL-00032618,"InChI=1S/C8H14O2S2/c1-7(9)11-5-3-4-6-12-8(2)10/h3-6H2,1-2H3",CC(=O)SCCCCSC(C)=O,139.13685006057713,False,['6633-90-5'],1.0389180993,5,,,,,,
POOL-00042946,"InChI=1S/C6H15O3PS2/c1-4-11-5-6-12-10(7,8-2)9-3/h4-6H2,1-3H3",CCSCCSP(=O)(OC)OC,145.72862410467502,False,['919-86-8'],1.0344338351,5,,,,$108.00/2 ML,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/sial/34234
POOL-00026262,"InChI=1S/C7H6F6O2/c1-2-4(14)15-3-6(9,10)5(8)7(11,12)13/h2,5H,1,3H2",C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,246.35518981440748,False,"['54052-90-3', '86227-80-7']",1.0154505976,5,,,,$325.00/25 ML,"Estimated to ship on November 11, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/474452
POOL-00036095,"InChI=1S/C7H18NO3P/c1-5-10-12(9,11-6-2)8-7(3)4/h7H,5-6H2,1-4H3,(H,8,9)",CCOP(=O)(NC(C)C)OCC,150.7304781040104,False,['22685-19-4'],1.0569661895,5,,,,$172.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s419818
POOL-00040523,"InChI=1S/C7H6F6O2/c1-3(2)4(14)15-5(6(8,9)10)7(11,12)13/h5H,1H2,2H3",C=C(C)C(=O)OC(C(F)(F)F)C(F)(F)F,249.6344251019696,False,"['3063-94-3', '28825-23-2']",1.053799333,5,"$47.00
Each/5g",Check Availability,https://www.fishersci.com/shop/products/1-1-1-3-3-3-hexafluoroisopropyl-methacrylate-99-stab-thermo-scientific-2/AAB2144706#3063-94-3,$7.70/1 g,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh97ba07cc?context=bbe
POOL-00041274,"InChI=1S/C8H7F7O2/c1-4(2)5(16)17-3-6(9,10)7(11,12)8(13,14)15/h1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,318.32560884252564,False,"['13695-31-3', '152751-58-1', '31623-04-8']",1.0316811032,5,"$341.30
Each of 1/25g",Check Availability,https://www.fishersci.com/shop/products/2-2-3-3-4-4-4-heptafluorobutyl-methacrylate-97-stab-thermo-scientific/AAL1292214#13695-31-3,$245.00/5 G,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/444006
POOL-00042484,"InChI=1S/C8H19O3PS2/c1-4-9-12(13,10-5-2)11-7-8-14-6-3/h4-8H2,1-3H3",CCOP(=S)(OCC)OCCSCC,167.96932691749922,False,['298-03-3'],1.0499958166,5,,,,,,
POOL-00011423,"InChI=1S/C10H22N2O/c1-7(2)11-10(12-8(3)4)13-9(5)6/h7-9H,1-6H3,(H,11,12)",CC(C)N=C(NC(C)C)OC(C)C,150.30768089781685,False,['63460-32-2'],1.0610208791,5,,,,$134.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph007969
POOL-00042506,"InChI=1S/C6H5F7O2/c1-2-15-3(14)4(7,8)5(9,10)6(11,12)13/h2H2,1H3",CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,244.35518981440748,False,['356-27-4'],1.0443033433,5,"$242.00
Each of 1/100g",Check Availability,https://www.fishersci.com/shop/products/ethyl-heptafluorobutyrate-98-thermo-scientific-2/AAA1674222#356-27-4,$36.25/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/astatechinc/ateh97f46efc?context=bbe
POOL-00033924,"InChI=1S/C8H18S2/c1-3-9-7-5-6-8-10-4-2/h3-8H2,1-2H3",CCSCCCCSCC,47.21928094887362,False,['54576-32-8'],1.0385471825,5,,,,$106.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s347833
POOL-00033926,"InChI=1S/C10H22S2/c1-3-7-11-9-5-6-10-12-8-4-2/h3-10H2,1-2H3",CCCSCCCCSCCC,64.2388309575275,False,['56348-39-1'],1.0480664541,5,,,,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s347868
POOL-00039607,"InChI=1S/C8H6F8O2/c1-2-4(17)18-3-6(11,12)8(15,16)7(13,14)5(9)10/h2,5H,1,3H2",C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,325.05865002596164,False,['376-84-1'],1.041359718,5,"$154.00
Each/25g",Check Availability,,$17.60/25 g,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh97f074ad?context=bbe
POOL-00039604,"InChI=1S/C9H8F8O2/c1-4(2)5(18)19-3-7(12,13)9(16,17)8(14,15)6(10)11/h6H,1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,363.231108928595,False,['355-93-1'],1.0502716392,5,"$81.00
Each/5g",Check Availability,https://www.fishersci.com/shop/products/2-2-3-3-4-4-5-5-octafluoropentyl-methacrylate-98-stab-thermo-scientific/AAL1204406#355-93-1,$302.00/25 ML,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/470988
POOL-00011680,"InChI=1S/C12H14O2/c1-8(2)9-3-4-12-10(7-9)11(13)5-6-14-12/h3-4,7-8H,5-6H2,1-2H3",CC(C)c1ccc2c(c1)C(=O)CCO2,366.58452059304113,False,['198341-11-6'],1.0607915381,6,,,,,,
POOL-00008725,"InChI=1S/C11H11FO2/c1-11(2)6-9(13)7-4-3-5-8(12)10(7)14-11/h3-5H,6H2,1-2H3",CC1(C)CC(=O)c2cccc(F)c2O1,396.2740468599653,False,['885266-62-6'],1.0550009086,6,,,,$449.80/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah97ede995?context=bbe
POOL-00011752,"InChI=1S/C11H12O2/c1-6-4-7(2)10-9(12)5-13-11(10)8(6)3/h4H,5H2,1-3H3",Cc1cc(C)c2c(c1C)OCC2=O,391.5670192826661,False,['20895-49-2'],1.0524379328,6,,,,$68.10/5MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/t311790
POOL-00007232,"InChI=1S/C11H12O2/c1-7-3-4-9-10(12)5-6-13-11(9)8(7)2/h3-4H,5-6H2,1-2H3",Cc1ccc2c(c1C)OCCC2=O,366.598182721549,False,['91142-52-8'],1.0518168147,6,,,,$24.70/50 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah049f1cd0?context=bbe
POOL-00012269,"InChI=1S/C11H12O2/c1-7-5-8(2)11-9(12)3-4-13-10(11)6-7/h5-6H,3-4H2,1-2H3",Cc1cc(C)c2c(c1)OCCC2=O,366.598182721549,False,['3649-03-4'],1.0533043401,6,,,,$134.00/250 MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph010284
POOL-00011045,"InChI=1S/C12H16O2/c1-8-9-4-3-5-11(14)12(9,2)7-6-10(8)13/h3-7H2,1-2H3",CC1=C2CCCC(=O)C2(C)CCC1=O,338.2308921051757,False,"['41019-71-0', '28255-08-5']",1.0556770468,6,,,,,,
POOL-00012777,"InChI=1S/C13H14O2/c1-13(2,3)12(14)11-8-9-6-4-5-7-10(9)15-11/h4-8H,1-3H3",CC(C)(C)C(=O)c1cc2ccccc2o1,467.4754644911423,False,['75566-46-0'],1.0605020279,6,,,,,,
POOL-00022479,"InChI=1S/C11H12O2/c1-8-4-2-5-9-10(12)6-3-7-13-11(8)9/h2,4-5H,3,6-7H2,1H3",Cc1cccc2c1OCCCC2=O,341.9435574325235,False,['82710-08-5'],1.0531731357,6,,,,$138.00/1MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/t322490
POOL-00026884,"InChI=1S/C11H12O2/c1-11(2)6-8-4-3-5-9(7-12)10(8)13-11/h3-5,7H,6H2,1-2H3",CC1(C)Cc2cccc(C=O)c2O1,353.1079534578946,False,['38002-88-9'],1.0629209888,6,,,,$362.50/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/astatechinc/ateh0430a014?context=bbe
POOL-00028323,"InChI=1S/C11H10O4/c1-7(12)15-11-6-14-10-5-8(13-2)3-4-9(10)11/h3-6H,1-2H3",COc1ccc2c(OC(C)=O)coc2c1,498.2572725125965,False,['415714-37-3'],1.0574733002,6,,,,$28.60/50MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r538582
